,index,Text,Label,Question,RepQuestion,TextAll
10,4566,"grigia, con grande paura di tutto. Senza forze, senza voglia di uscire e di vedere nessuno. Con voglia che questo finisca, e di smettere di chiedere perdono. Senza speranze per il futuro. Pensa che nessuno la comprenda, né che sappia quanto doloroso è quello che sta vivendo. Vuole solo stare sola, senza sentire la forte necessità di fare e non potere, desidera che la lascino tranquilla e riposare. Desidera poter dormire, non stare sempre allerta. Pensa che non potrà tornare ad essere la stessa, nonostante non lo ricorda come positivo. A volte pensa che sparire sarebbe una soluzione per smettere di sofffrire.",giudizioX6+descrizioneX69+previsioneX15+possibilitaX12,Come descriverebbe una persona con diagnosi di depressione?,descrizione,"['grigia, con grande paura di tutto.', 'Senza forze, senza voglia di uscire e di vedere nessuno. Con voglia che questo finisca, e di smettere di chiedere perdono. Senza speranze per il futuro. Pensa che nessuno la comprenda, né che sappia quanto doloroso è quello che sta vivendo. Vuole solo stare sola, senza sentire la forte necessità di fare e non potere, desidera che la lascino tranquilla e riposare. Desidera poter dormire, non stare sempre allerta', 'Pensa che non potrà tornare ad essere la stessa, nonostante non lo ricorda come positivo', 'A volte pensa che sparire sarebbe una soluzione per smettere di soffrire.']"
11,5397,penso che non terminerò mai i trattamenti psicoterapeutici,commentoX8,Come descriverebbe un utente dei servizi psichiatrici?,descrizione,['penso che non terminerò mai i trattamenti psicoterapeutici']
12,1803,"La futura situazione terroristica la immagino come una situazione non diversa da quella attuale. In quanto le cose non possono cambiare se e soltanto i nostri governanti continuano soltanto a prendere misure di sicurezza senza risolvere il problema alla matrice, il problema che sta alla base dell’ intera questione.",sancireX49,Come descriverebbe il terrorismo?,descrizione,"['La futura situazione terroristica la immagino come una situazione non diversa da quella attuale. In quanto le cose non possono cambiare se e soltanto i nostri governanti  continuano soltanto a prendere misure di sicurezza senza risolvere il problema alla matrice, il problema che sta alla base dell’ intera questione.']"
13,983,"Ballerina, non sarei tranquilla per dare una risposta esatta",giudizioX9,Come descriverebbe un paziente oncologico operato per neoplasia?,descrizione,"['Ballerina, non sarei tranquilla per dare una risposta esatta']"
14,1249,"Con serenità, con la pacatezza che gli è tipica, saprebbe anche cambiare visione delle cose senza lamentarsi",giudizioX9+possibilitaX8,Come descriverebbe un paziente oncologico operato per neoplasia?,descrizione,"['Con serenità, con la pacatezza che gli è tipica,', 'saprebbe anche cambiare visione delle cose senza lamentarsi']"
15,834,Speriamo bene,opinioneX2,Come descriverebbe un paziente oncologico operato per neoplasia?,descrizione,['Speriamo bene']
16,5467,"normale come tutti, tranne quando sono un po' depresso, è raro.",confrontoX11,Come descriverebbe un utente dei servizi psichiatrici?,descrizione,"[""normale come tutti, tranne quando sono un po' depresso, è raro.""]"
17,464,"Per agire su queste implicazioni io ho trovato utile informarmi il più possibile sulle condizioni di mio figlio e sulle sue possibilità ma anche confrontarmi con altre famiglie che hanno o no vissuto questa esperienza perché il confronto mi dà modo di riflettere sul mio modo di agire come genitore e di ""aggiustare il tiro"" quando mi accorgo di seguire la direzione sbagliata. Un'altra cosa utile è la sensibilizzazione e l'informazione verso persone che non conoscono la storia di questi ragazzi.",opinioneX22+valutazioneX41+giudizioX18,Come descriverebbe i possibili interventi clinico-assistenziali?,descrizione,"['Per agire su queste IMPLICAZIONE io ho trovato utile informarmi il più possibile sulle condizioni di mio figlio e sulle sue POSSIBILITA', 'ma anche confrontarmi con altre famiglie che hanno o no vissuto questa esperienza perché il confronto mi dà modo di riflettere sul mio modo di agire come genitore e di ""aggiustare il tiro"" quando mi accorgo di seguire la direzione sbagliata.', ""Un'altra cosa utile è la sensibilizzazione e l'informazione verso persone che non conoscono la storia di questi ragazzi.""]"
18,4451,la persona è triste e depressa. Non è felice.,giudizioX9,Come descriverebbe una persona con diagnosi di depressione?,descrizione,['la persona è triste e depressa. Non è felice.']
19,3402,Vita ricca di alti e bassi. ,sancireX6,Come descriverebbe una persona entro un percorso in REMS?,descrizione,['Vita ricca di alti e bassi. ']
20,3702,"Non frequentare più le vecchie amicizie, stando lontano da posti in cui c'è un rischio, e vivere e accontettarsi di quello che si ha senza cercare di strafare per avere quello che non si può",riferimento_obiettivoX35,Come descriverebbe una persona detenuta?,descrizione,"[""Non frequentare più le vecchie amicizie, stando lontano da posti in cui c'è un rischio, e vivere e accontettarsi di quello che si ha senza cercare di strafare per avere quello che non si può""]"
21,4504,"si descriverebbe in maniera totalmente negativa: ""mi sento inutile, infelice, non servo a niente, nessuno mi vuole"".",giudizioX17,Come descriverebbe una persona con diagnosi di depressione?,descrizione,"['si descriverebbe in maniera totalmente negativa: ""mi sento inutile, infelice, non servo a niente, nessuno mi vuole"".']"
22,5310,non capivano il mio forte disagio all'inizio mi sono stati vicino,commentoX11,Come descriverebbe un utente dei servizi psichiatrici?,descrizione,"[""non capivano il mio forte disagio all'inizio mi sono stati vicino""]"
23,5876,"fortunatamente negli ultimi anni la psicologia si è aperta trasversalmente alle aziende ed alla sanità, offrendo un panorama di contesti e utenti piu vasto di 10 anni fa",possibilitaX28,Come descriverebbe una persona che si laurea  in psicologia?,descrizione,"['fortunatamente negli ultimi anni la psicologia si è aperta trasversalmente alle aziende ed alla sanità, offrendo un panorama di contesti e utenti piu vasto di 10 anni fa']"
24,227,Come genitore penso che la cosa migliore sarebbe avere vicino la famiglia e gli amici ma anche avere altri genitori con cui confrontarmi.,sancireX23,Come descriverebbe i possibili interventi clinico-assistenziali?,descrizione,['Come genitore penso che la cosa migliore sarebbe avere vicino la famiglia e gli amici ma anche avere altri genitori con cui confrontarmi.']
25,3738,Sicuramente ho imparato ad avere fiducia in me stesso e negli altri e non agire di impulso,sancireX17,Come descriverebbe una persona detenuta?,descrizione,['Sicuramente ho imparato ad avere fiducia in me stesso e negli altri e non agire di impulso']
26,3510,"gli elementi che mi portano a riconoscere la violenza sessuale sono appunto tutti quegli atti legati strettamente alla sfera sessuale, dalla palpata al seno al bacio rubato con uso della forza passando dalla fellatio o penetrazione.",descrizioneX36,Come descriverebbe una violenza sessuale?,descrizione,"['gli elementi che mi portano a riconoscere la violenza sessuale sono appunto tutti quegli atti legati strettamente alla sfera sessuale, dalla palpata al seno al bacio rubato con uso della forza passando dalla fellatio o penetrazione.']"
27,3808,"Ci portava a dormire fuori in campeggio o in campagna dalla madre, ci accorgemmo presto però che per lui erano uscite piuttosto macabre quelle. Per lui era l'occasione ideale per rimanere solo con i ragazzi, avvicinarli e poi molestarli. Io don nello e altri due miei coetanei andammo in una casa con una scusa mi attirò nella stanza in cui dormiva e iniziò a toccarmi e dopodichè abusò di me. Mise la mia mano sul suo pene iniziò a toccare il mio...mi masturbò e e dopodichè mi lascò andare. Ero mortificato cercavo di rimuovere l'accaduto, mi fidvo di lui non avrei mai pensato che un uomo di Chiesa potesse fare qualcosa di male. Avevo vergogna paura che qualcuno capisse. Dopo lui si è comportato normalmente come tutti i giorni facendo l'occhiolino a colazione. (..) Poi iniziò ad essere anche abbastanza spudorato con noi, ovvero tutte le volte che vedevo sparire un ragazzino era perchè faceva qiuello che aveva fatto a noi. Inizialmente usava la scusa che aveva il pene molto piccolo e voleva vedere i nostri che erano più grossi, poi purtroppo finiva in abusi sessuali. Quando era in preda a questi momenti diventava cattivo violento, era come posseduto da un istinto irrefrenabile quindi...ero un ragazzino. Qualche volta sono riuscito a respingerlo, poi te la faceva pagare dal lato psicologico, non ti guardava più per qualche giorno, ti faceva sentire solo e abbandonato. Cercava di conquistarci con quelle piccole cose che magari la famiglia ci faceva mancare. Un giorno addirittura organizzò la mia festa di compleanno. Io mi sono sentito importante perchè mi aveva fatto questa festa poi purtroppo dopo la festa volle qualcosa in cambio.",non_rispostaX12+sancireX27+descrizioneX50+sancireX30+giudizioX23+specificazioneX18+giudizioX25+sancireX47+descrizioneX43,Come descriverebbe una violenza sessuale?,descrizione,"['Ci portava a dormire fuori in campeggio o in campagna dalla madre,', "" ci accorgemmo presto però che per lui erano uscite piuttosto macabre quelle.  Per lui era l'occasione ideale per rimanere solo con i ragazzi, avvicinarli e poi molestarli. "", 'Io don nello e altri due miei coetanei  andammo in una casa con una scusa mi attirò nella stanza in cui dormiva e iniziò a toccarmi e dopodichè abusò di me. Mise la mia mano sul suo pene iniziò a toccare il mio...mi masturbò e e dopodichè mi lascò andare. ', "" Ero mortificato cercavo di rimuovere l'accaduto, mi fidvo di lui non avrei mai pensato che un uomo  di Chiesa potesse fare qualcosa di male. Avevo vergogna paura che qualcuno capisse. "", ""Dopo lui si è comportato normalmente come tutti i giorni facendo l'occhiolino a colazione. Poi iniziò ad essere anche abbastanza spudorato con noi,"", 'ovvero tutte le volte che vedevo sparire un ragazzino era perchè faceva qiuello che aveva fatto a noi. ', ' Inizialmente usava la scusa che aveva  il pene molto piccolo e voleva vedere i nostri che erano più grossi, poi purtroppo finiva in abusi sessuali. ', 'Quando era in preda a questi momenti diventava cattivo violento, era come posseduto da un istinto irrefrenabile quindi...ero un ragazzino.  Qualche volta sono riuscito a respingerlo, poi te la faceva pagare dal lato psicologico, non ti guardava più per qualche giorno, ti faceva sentire solo e abbandonato. ', 'Cercava di conquistarci con quelle piccole cose che magari la famiglia ci faceva mancare. Un giorno addirittura organizzò la mia festa di compleanno. Io mi sono sentito importante perchè mi aveva fatto questa festa poi purtroppo dopo la festa volle qualcosa in cambio. ']"
28,2199,"1) sono causa di difficoltà economiche e sociali per molte famiglie
2) comporta rischi per i residenti
",causaX11,Come descriverebbe gli aspetti critici del territorio e della comunità?,descrizione,['1) sono causa di difficoltà economiche e sociali per molte famiglie']
29,2197,perché lo constato nella difficoltà di svolgere le nostre attività in mancanza di luoghi adeguati.,giustificazioneX15,Come descriverebbe gli aspetti critici del territorio e della comunità?,descrizione,['perché lo constato nella difficoltà di svolgere le nostre attività in mancanza di luoghi adeguati. ']
30,5523,non lo so,non_rispostaX3,Come descriverebbe un utente dei servizi psichiatrici?,descrizione,['non lo so']
31,387,Troppo apprensivo e sfortunato.,giudizioX4,Come descriverebbe una persona che ha fatto esperienza di una cardiopatia congenita?,descrizione,['Troppo apprensivo e sfortunato.']
32,3693,"Vivere una vita con la mia famiglia in modo onesto e trasparente, e soprattutto continuare a crescere con i miei figli e imparare loro come non fare i stessi sbagli",sancireX7+giudizioX5+confermaX18,Come descriverebbe una persona detenuta?,descrizione,"['Vivere una vita con la mia famiglia, ', ' in modo onesto e trasparente', 'e soprattutto continuare a crescere con i miei figli e imparare loro come non fare i stessi sbagli']"
33,1787,"Secondo me è un movimento di persone di religione islamica che, non sentendosi più rappresentate da uno stato, cercano di creare e far parte di un gruppo che costituisca una propria identità in maniera opposta all’Occidente. La guerra contro l’Occidente è solo un modo per affermare la propria Identità.",opinioneX36+sancireX13,Come descriverebbe il terrorismo?,descrizione,"['Secondo me è un movimento di persone di religione islamica che, non sentendosi più rappresentate da uno stato, cercano di creare e far parte di un gruppo che costituisca una propria identità in maniera opposta all’Occidente. ', 'La guerra contro l’Occidente è solo un modo per affermare la propria Identità.']"
34,1560,Non ho proprio idea.,non_rispostaX4,Come descriverebbe la gestione delle attività di un paziente oncologico post-operazione?,descrizione,['Non ho proprio idea.']
35,5810,"sollecitando a fare pratica, sfruttando i momenti messi a disposizione nei laboratori",descrizioneX12,Come descriverebbe il ruolo di Professore di psicologia?,descrizione,"['sollecitando a fare pratica, sfruttando i momenti messi a disposizione nei laboratori']"
36,471,"Secondo me dipende da chi ci si trova davanti, o si lascia passare la cosa senza dare troppo peso o si cerca di spiegare chi è un genitore di figlio cardiopatico.",opinioneX31,Come descriverebbe i possibili interventi clinico-assistenziali?,descrizione,"['Secondo me dipende da chi ci si trova davanti, o si lascia passare la cosa senza dare troppo peso o si cerca di spiegare chi è un genitore di figlio cardiopatico.']"
37,972,Sensazione.,sancireX1,Come descriverebbe un paziente oncologico operato per neoplasia?,descrizione,['Sensazione.']
38,4277,"Una persona con diagnosi di depressione ha presentato per almeno due settimane una sintomatologia specifica tale da compromettere il suo funzionamento in diverse aree della vita, ad esempio nel lavoro, famiglia, relazioni sociali ecc..I sintomi sono principalmente un tono d’umore depresso per la maggior parte del giorno quasi ogni giorno e la mancanza di interesse per attività che prima erano considerate piacevoli.La persona quindi può arrivare a ritirarsi dalle interazioni sociali ed evitare in generale le relazioni.Rispetto al futuro si sente senza speranza e può avere difficoltà nell’affrontare i problemi e le attività di ogni giorno a causa di una scarsa reattività e motivazione.A livello personale presenta una tendenza a svalutarsi e una bassa autostima.
Possono presentarsi cambiamenti nel ritmo sonno veglia e nell’appetito.",descrizioneX21+specificazioneX13+descrizioneX17+confrontoX12+implicazioneX16+causaX28+descrizioneX12+possibilitaX9,Come descriverebbe una persona con diagnosi di depressione?,descrizione,"['Una persona con diagnosi di depressione ha presentato per almeno due settimane una sintomatologia specifica tale da compromettere il suo funzionamento', 'in diverse aree della vita, ad esempio nel lavoro, famiglia, relazioni sociali ecc.', 'I sintomi sono principalmente un tono d’umore depresso per la maggior parte del giorno quasi ogni giorno.', 'e la mancanza di interesse per attività che prima erano considerate piacevoli.', 'La persona quindi può arrivare a ritirarsi dalle interazioni sociali ed evitare in generale le relazioni', 'Rispetto al futuro si sente senza speranza e può avere difficoltà nell’affrontare i problemi e le attività di ogni giorno a causa di una scarsa reattività e motivazione.', 'A livello personale presenta una tendenza a svalutarsi e una bassa autostima.', 'Possono presentarsi cambiamenti nel ritmo sonno veglia e nell’appetito']"
39,2523,Come un quartiere vivo pieno di iniziative e di interventi,giudizioX10,Come descriverebbe il luogo in cui abita?,descrizione,['Come un quartiere vivo pieno di iniziative e di interventi']
40,3554,Il ruolo di colei che si ritrova costretta a subire delle offese a sfondo sessuale ed impotente non riuscendo a reagire.,descrizioneX21,Come descriverebbe una violenza sessuale?,descrizione,['Il ruolo di colei che si ritrova costretta a subire delle offese a sfondo sessuale ed impotente non riuscendo a reagire.']
41,2165,"Bel territorio, ma serve una politica di valorizzazione della città, che ne limiti lo sviluppo e migliori l'esistente",giudizioX2+prescrizioneX16,Come descriverebbe gli aspetti critici del territorio e della comunità?,descrizione,"['Bel territorio, ', ""ma serve una politica di valorizzazione della città, che ne limiti lo sviluppo e migliori l'esistente""]"
42,5207,"Consultori famigliari, , Continuità Assistenziale ( guardia medica ), Servizi sanitari di tipo preventivo,
Servizio di Igiene  degli Alimenti e della Nutrizione ( SIAN )
",sancireX25,Come descriverebbe un utente dei servizi psichiatrici?,descrizione,"['Consultori famigliari, , Continuità Assistenziale ( guardia medica ), Servizi sanitari di tipo preventivo,\n Servizio di Igiene degli Alimenti e della Nutrizione ( SIAN )']"
43,5350,aprirmi un po' di più con gli altri,dichiarazione_intentiX8,Come descriverebbe una persona che “vive in salute”?,descrizione,"[""aprirmi un po' di più con gli altri""]"
44,764,"Io credo che la cosa più importante sia appunto intanto non…cioè riconoscere le difficoltà, la sofferenza che c’è, però aiutare a sdrammatizzare, cioè e quindi, nel senso appunto, in primo luogo quelli che vivono intorno non devono vivere, non vivere la persona come un malato, come un diverso, però nello stesso tempo nemmeno negare il suo disagio, cioè il suo problema, cioè cercare di aiutarlo a trovare delle strategie quando si sbatte contro il limite insomma, se non può fare quella cosa che, non puoi dire lo stesso anche se non puoi farlo, perché se lui voleva fare calcio e non può farlo, è giusto dire “mi dispiace che tu non possa fare calcio”, cioè stargli vicino rispetto a questa cosa, dopo, se si può, aiutarlo a trovare delle vie che comunque gli permettano di realizzarsi in qualche modo e di superare questa, la sua problematica, nel senso sapendo, consapevole che ce l’ha, però vedere che comunque ci sono tante possibilità e che può cavarsela bene lo stesso insomma.",giudizioX18+prescrizioneX43+dichiarazione_intentiX15+prescrizioneX45+dichiarazione_intentiX48,Come descriverebbe i possibili interventi clinico-assistenziali?,descrizione,"['Io credo che la cosa più importante sia appunto intanto non…cioè riconoscere le difficoltà, la sofferenza che c’è,', 'però aiutare a sdrammatizzare, cioè e quindi, nel senso appunto, in primo luogo quelli che vivono intorno non devono vivere, non vivere la persona come un malato, come un diverso, però nello stesso tempo nemmeno negare il suo disagio, cioè il suo problema,', 'cioè cercare di aiutarlo a trovare delle strategie quando si sbatte contro il limite insomma,', 'se non può fare quella cosa che, non puoi dire lo stesso anche se non puoi farlo, perché se lui voleva fare calcio e non può farlo, è giusto dire “mi dispiace che tu non possa fare calcio”, cioè stargli vicino rispetto a questa cosa,', 'dopo, se si può, aiutarlo a trovare delle vie che comunque gli permettano di realizzarsi in qualche modo e di superare questa, la sua problematica, nel senso sapendo, consapevole che ce l’ha, però vedere che comunque ci sono tante POSSIBILITA e che può cavarsela bene lo stesso insomma.']"
45,3972,"Nel corso dell'adolescenza entrambi i fratelli iniziarono ad utilizzare stupefacenti fino a sviluppare una forte dipendenza. 
E. ha tentato, da maggiorenne, un riavvicinamento con il padre naturale, residente a V., avviando anche una temporanea convivenza con lui.   
 L'ombra del senso di colpa, e la presenza di forti incomprensioni, hanno fatto fallire questa esperienza.
.      A detta dell'utente, che non sembrava soddisfatto di tale inserimento lavorativo, 
A detta dell'utente, l'ambiente di lavoro stesso avrebbe, in qualche modo, influenzato la ricaduta stessa.
Di nuovo in carcere, e non disponendo nuovamente del sostegno da parte della famiglia, l'unico punto di riferimento per E. sono stati gli operatori del Ser.T., ai quali l'utente non ha mai smesso di scrivere.
Sfortunatamente la struttura di personalità di E. non era compatibile con un contesto rigido come quello di 'S. P.'; 
questo molto probabilmente il principale motivo del fallimento di questo intervento.
Le problematiche affettive di E., nucleo centrale intorno al quale è stato costruito il disturbo borderline  di personalità, necessitano da sempre di uno spazio di elaborazione e contenimento, 
spazio rispetto al quale, da quanto apprendiamo dalla corrispondenza, il paziente sembra essere oggi maggiormente motivato.
",implicazioneX16+generalizzazioneX21+causaX16+opinioneX12+descrizioneX15+sancireX35+sancireX19+giustificazioneX11+prescrizioneX28+opinioneX16,Come descriverebbe una violenza sessuale?,descrizione,"[""Nel corso dell'adolescenza entrambi i fratelli iniziarono ad utilizzare stupefacenti fino a sviluppare una forte dipendenza. "", 'E. ha tentato, da maggiorenne, un riavvicinamento con il padre naturale, residente a V., avviando anche una temporanea convivenza con lui.   ', "" L'ombra del senso di colpa, e la presenza di forti incomprensioni, hanno fatto fallire questa esperienza."", "".      A detta dell'utente, che non sembrava soddisfatto di tale inserimento lavorativo, "", ""A detta dell'utente, l'ambiente di lavoro stesso avrebbe, in qualche modo, influenzato la ricaduta stessa."", ""Di nuovo in carcere, e non disponendo nuovamente del sostegno da parte della famiglia, l'unico punto di riferimento per E. sono stati gli operatori del Ser.T., ai quali l'utente non ha mai smesso di scrivere."", ""Sfortunatamente la struttura di personalità di E. non era compatibile con un contesto rigido come quello di 'S. P.'; "", 'questo molto probabilmente il principale motivo del fallimento di questo intervento.', 'Le problematiche affettive di E., nucleo centrale intorno al quale è stato costruito il disturbo borderline  di personalità, necessitano da sempre di uno spazio di elaborazione e contenimento, ', 'spazio rispetto al quale, da quanto apprendiamo dalla corrispondenza, il paziente sembra essere oggi maggiormente motivato.']"
46,1468,"Dopo tanto vado in pensione, mi auguro di godermeli",descrizioneX5+sancireX4,Come descriverebbe un paziente oncologico operato per neoplasia?,descrizione,"['Dopo tanto vado in pensione,', 'mi auguro di godermeli']"
47,652,"Che può avere dei deficit, diventa a volte blu, ma sono delle persone che non mollano mai. Abituate a guerreggiare con la vita.",giudizioX20+descrizioneX4,Come descriverebbe una persona che ha fatto esperienza di una cardiopatia congenita?,descrizione,"['Che può avere dei deficit, (…) ma sono delle persone che non mollano mai. Abituate a guerreggiare con la vita.', 'diventa a volte blu,']"
48,497,"Ecco, come ho accennato prima magari avere un supporto economico dall’INPS o, insomma dall’istituto che segue insomma delle cardiopatie come in questo caso, magari a livello economico; ce le abbiamo già, perché ogni volta che noi facciamo delle visite specifiche non paghiamo il ticket ecc. ecc., però magari nelle trasferte o nelle visite un po’ più specifiche magari un supporto un po’ più sostanzioso a livello economico potrebbe essere positivo. Si, servirebbe appunto per gestire in maniera migliore insomma la situazione anche a livello lavorativo, perché per esempio io se vado via questo weekend, come ho già detto, a Massa, devo prendermi dei giorni di ferie dal lavoro, ecc. ecc., quindi questo potrebbe essere un po’ un fattore su cui migliorare insomma, a livello di Stato, ma, vedremo come andrà.",propostaX27+specificazioneX43+valutazioneX40+possibilitaX16+commentoX4,Come descriverebbe i possibili interventi clinico-assistenziali?,descrizione,"['Ecco, come ho accennato prima magari avere un supporto economico dall’INPS o, insomma dall’istituto che segue insomma delle cardiopatie come in questo caso, magari a livello economico;', 'ce le abbiamo già, perché ogni volta che noi facciamo delle visite specifiche non paghiamo il ticket ecc. ecc., però magari nelle trasferte o nelle visite un po’ più specifiche magari un supporto un po’ più sostanzioso a livello economico potrebbe essere positivo.', 'Si, servirebbe appunto per gestire in maniera migliore insomma la situazione anche a livello lavorativo, perché per esempio io se vado via questo weekend, come ho già detto, a Massa, devo prendermi dei giorni di ferie dal lavoro, ecc. ecc.,', 'quindi questo potrebbe essere un po’ un fattore su cui migliorare insomma, a livello di Stato,', 'ma, vedremo come andrà.']"
49,5778,la capacità di ascoltare gli altri e di rendersi conto di quello che gli capita attorno; la capacità di sfruttare le teorie studiate per aiutare le persone che richiedono un loro aiuto; la capacità di risolvere conflitti personali o interpersonali,descrizioneX40,Come descriverebbe una persona che si laurea  in psicologia?,descrizione,['la capacità di ascoltare gli altri e di rendersi conto di quello che gli capita attorno; la capacità di sfruttare le teorie studiate per aiutare le persone che richiedono un loro aiuto; la capacità di risolvere conflitti personali o interpersonali']
50,4982,"impaurita, euforica, angosciata, sola o troppo oppressa dagli altri, più sicura ma con molte insicurezze",giudizioX15,Come descriverebbe un utente dei servizi psichiatrici?,descrizione,"['impaurita, euforica, angosciata, sola o troppo oppressa dagli altri, più sicura ma con molte insicurezze']"
51,5365,"prendere le medicine che mi hanno dato e poi fare gli esami che mi dicono di fare,del sangue, ECG",descrizioneX19,Come descriverebbe una persona che “vive in salute”?,descrizione,"['prendere le medicine che mi hanno dato e poi fare gli esami che mi dicono di fare,del sangue, ECG']"
