,Unnamed: 0,Question,Qrep,Answer,Rep,Skill,Dataset,p,MacroCat,text,label,label2
31,31,"Come descriverebbe il suo lavoro? Ovvero, che obiettivo persegue all’interno dell’organizzazione?",descrizione,Coordinamento dell'equipe curante (tutte le figure professionali) e del gruppo dei pazienti (attraverso attività individuali e gruppali). Presa in carico psicologica individuale.,descrizione,J,AG,"('green', 0, 1)",green,Coordinamento dell'equipe curante (tutte le figure professionali) e del gruppo dei pazienti (attraverso attività individuali e gruppali). Presa in carico psicologica individuale.,green,descrizione
32,32,"Come descriverebbe il suo lavoro? Ovvero, che obiettivo persegue all’interno dell’organizzazione?",descrizione,Lavoro in equipe multiprofessionale; lavoro in rete sul territorio; contatti con organi giuridici; SMOP.,descrizione,J,AG,"('green', 0, 1)",green,Lavoro in equipe multiprofessionale; lavoro in rete sul territorio; contatti con organi giuridici; SMOP.,green,descrizione
33,33,"Come descriverebbe il suo lavoro? Ovvero, che obiettivo persegue all’interno dell’organizzazione?",descrizione,"Uno degli obiettivi del mio lavoro è quello di coinvolgere i pazienti nelle diverse attività svolte all'interno e all'esterno delle strutture, favorendo il dialogo e il rispetto tra pazienti e opratori.",descrizione,J,AG,"('green', 0, 1)",green,"Uno degli obiettivi del mio lavoro è quello di coinvolgere i pazienti nelle diverse attività svolte all'interno e all'esterno delle strutture, favorendo il dialogo e il rispetto tra pazienti e opratori.",green,descrizione
35,35,"Come descriverebbe il suo lavoro? Ovvero, che obiettivo persegue all’interno dell’organizzazione?",descrizione,"Il mio lavoro consiste nell'adempimento di tutte le funzioni giuridico-attive, relative ai fascicoli giudiziari degli utenti.",descrizione,J,AG,"('green', 0, 1)",green,"Il mio lavoro consiste nell'adempimento di tutte le funzioni giuridico-attive, relative ai fascicoli giudiziari degli utenti.",green,descrizione
39,39,"Come descriverebbe il suo lavoro? Ovvero, che obiettivo persegue all’interno dell’organizzazione?",descrizione,Il mio obiettivo è quello della valutazione/rivalutazione ed ottimizzazione della terapia farmacologica per ogni singolo utente,descrizione,J,AG,"('green', 0, 1)",green,Il mio obiettivo è quello della valutazione/rivalutazione ed ottimizzazione della terapia farmacologica per ogni singolo utente,green,descrizione
45,45,"Come descriverebbe il suo lavoro? Ovvero, che obiettivo persegue all’interno dell’organizzazione?",descrizione,"Formare il personale alla cura e alla riabilitazione dei pazienti con disturbo psichiatrico, organizzare il servizio al fine di dare un buon servizio sia per l'utenza che per il committente. Seguire l'organizzazione e la pianificazione di tutti gli interventi sanitari di competenza di OSS, infermieri e collaborare all'organizzazione del servizio educativo.",descrizione,J,AG,"('green', 0, 1)",green,"Formare il personale alla cura e alla riabilitazione dei pazienti con disturbo psichiatrico, organizzare il servizio al fine di dare un buon servizio sia per l'utenza che per il committente. Seguire l'organizzazione e la pianificazione di tutti gli interventi sanitari di competenza di OSS, infermieri e collaborare all'organizzazione del servizio educativo.",green,descrizione
57,57,"Come descriverebbe il suo lavoro? Ovvero, che obiettivo persegue all’interno dell’organizzazione?",descrizione,"Trasferimento dell'esperienza, indirizzare il personale a un percorso formativo adeguato, favorire il lavoro in equipe e la comunicazione fra le varie figure professionali, applicazione di sistemi riassuntivi e griglie di controllo.",descrizione,J,AG,"('green', 0, 1)",green,"Trasferimento dell'esperienza, indirizzare il personale a un percorso formativo adeguato, favorire il lavoro in equipe e la comunicazione fra le varie figure professionali, applicazione di sistemi riassuntivi e griglie di controllo.",green,descrizione
58,58,"Come descriverebbe il suo lavoro? Ovvero, che obiettivo persegue all’interno dell’organizzazione?",descrizione,"Colloqui individuali, osservazione clinica nella quotidianità con interventi di chiarificazione e discussione volti a migliorare la consapevolezza critica e la funzione riflessiva.",descrizione,J,AG,"('green', 0, 1)",green,"Colloqui individuali, osservazione clinica nella quotidianità con interventi di chiarificazione e discussione volti a migliorare la consapevolezza critica e la funzione riflessiva.",green,descrizione
64,64,"Come descriverebbe il suo lavoro? Ovvero, che obiettivo persegue all’interno dell’organizzazione?",descrizione,Osservazione clinica e confronto coi colleghi per la formulazione diagnostica e l'individuazione della terapia farmacologica. Contatti con servizi territoriali e familiari. Rapporti con l'ufficio di sorveglianza. Eventuale indicazione e ricovero in ambito psichiatrico in situazioni di crisi.,descrizione,J,AG,"('green', 0, 1)",green,Osservazione clinica e confronto coi colleghi per la formulazione diagnostica e l'individuazione della terapia farmacologica. Contatti con servizi territoriali e familiari. Rapporti con l'ufficio di sorveglianza. Eventuale indicazione e ricovero in ambito psichiatrico in situazioni di crisi.,green,descrizione
68,68,"Come descriverebbe il suo lavoro? Ovvero, che obiettivo persegue all’interno dell’organizzazione?",descrizione,Il dialogo è fondamentale.,giudizio,J,AG,"('red', 3, 1)",red,Il dialogo è fondamentale.,red,giudizio
82,82,"Come descriverebbe il suo lavoro? Ovvero, che obiettivo persegue all’interno dell’organizzazione?",descrizione,"Faccio da raccordo tra la dirigenza e il comparto. Il mio ruolo è di mediazione tra operatori e utenti, dirigenza e operatori.",descrizione,J,AG,"('green', 0, 1)",green,"Faccio da raccordo tra la dirigenza e il comparto. Il mio ruolo è di mediazione tra operatori e utenti, dirigenza e operatori.",green,descrizione
86,86,"Come descriverebbe il suo lavoro? Ovvero, che obiettivo persegue all’interno dell’organizzazione?",descrizione,"Fornisco sia supporto interno agli ospiti con colloqui di sostegno e faccio da ponte con la parte sociale del territorio, sia per creare una cultura attorno alla REMS. Su ogni singolo ospite temgo i rapporti con il servizio sociale del CSM o del comune, a seconda delle necessità dei vari ospiti.",descrizione,J,AG,"('green', 0, 1)",green,"Fornisco sia supporto interno agli ospiti con colloqui di sostegno e faccio da ponte con la parte sociale del territorio, sia per creare una cultura attorno alla REMS. Su ogni singolo ospite temgo i rapporti con il servizio sociale del CSM o del comune, a seconda delle necessità dei vari ospiti.",green,descrizione
87,87,"Come descriverebbe il suo lavoro? Ovvero, che obiettivo persegue all’interno dell’organizzazione?",descrizione,"All'interno dell'equipe collaboro alla valutazione del funzionamento personale e sociale, elaborare progetti terapeutico-riabilitativi residenziali - in struttura - coerenti con quelli del territorio (PTRI). L'obiettivo è organizzare e pianificare tutti gli interventi all'interno della struttura.",descrizione,J,AG,"('green', 0, 1)",green,"All'interno dell'equipe collaboro alla valutazione del funzionamento personale e sociale, elaborare progetti terapeutico-riabilitativi residenziali - in struttura - coerenti con quelli del territorio (PTRI). L'obiettivo è organizzare e pianificare tutti gli interventi all'interno della struttura.",green,descrizione
88,88,"Come descriverebbe il suo lavoro? Ovvero, che obiettivo persegue all’interno dell’organizzazione?",descrizione,"Le REMS sono strutture composte da una parte ospedaliera (farmacia, studio fisioterapeutico, studio psichiatrico, studio psicologico e di assistenza sociale) dove i pazienti hanno modo di curare, capire e conoscere le proprie malattie psicofisiche; e una parte è dedicata alla riabilitazione e soddisfacimento dei propri bisogni psico-fisici (polo culturale, palestra, bar e altre piccole strutture interne in grado di poter offrire attività di intrattenimento e svago, sinanche attività lavorative e di apprendimento) con l'obiettivo di stabilizzare i pazienti",descrizione,J,AG,"('green', 0, 1)",green,"Le REMS sono strutture composte da una parte ospedaliera (farmacia, studio fisioterapeutico, studio psichiatrico, studio psicologico e di assistenza sociale) dove i pazienti hanno modo di curare, capire e conoscere le proprie malattie psicofisiche; e una parte è dedicata alla riabilitazione e soddisfacimento dei propri bisogni psico-fisici (polo culturale, palestra, bar e altre piccole strutture interne in grado di poter offrire attività di intrattenimento e svago, sinanche attività lavorative e di apprendimento) con l'obiettivo di stabilizzare i pazienti",green,descrizione
90,90,"Come descriverebbe il suo lavoro? Ovvero, che obiettivo persegue all’interno dell’organizzazione?",descrizione,Le REMS sono strutture che aiutano persone che hanno un reato ma sono con una patologia.,descrizione,J,AG,"('green', 0, 1)",green,Le REMS sono strutture che aiutano persone che hanno un reato ma sono con una patologia.,green,descrizione
93,93,"Come descriverebbe il suo lavoro? Ovvero, che obiettivo persegue all’interno dell’organizzazione?",descrizione,Le REMS sono le case di cura e custodia,descrizione,J,AG,"('green', 0, 1)",green,Le REMS sono le case di cura e custodia,green,descrizione
97,97,"Come descriverebbe il suo lavoro? Ovvero, che obiettivo persegue all’interno dell’organizzazione?",descrizione,Le strutture REMS sono dei luoghi dove sono ospitate persone diverse e con problemi diversi sempre inerenti alla giustizia.,descrizione,J,AG,"('green', 0, 1)",green,Le strutture REMS sono dei luoghi dove sono ospitate persone diverse e con problemi diversi sempre inerenti alla giustizia.,green,descrizione
99,99,"Come descriverebbe il suo lavoro? Ovvero, che obiettivo persegue all’interno dell’organizzazione?",descrizione,La finalità ultima del soggiorno in REMS dovrebbe essere quella di favorire punti di incontro tra persone diverse che convivono e scambiano relazioni nel quotidiano e dove nascono anche sentimenti reciproci.,descrizione,J,AG,"('green', 0, 1)",green,La finalità ultima del soggiorno in REMS dovrebbe essere quella di favorire punti di incontro tra persone diverse che convivono e scambiano relazioni nel quotidiano e dove nascono anche sentimenti reciproci.,green,descrizione
105,105,"Come descriverebbe il suo lavoro? Ovvero, che obiettivo persegue all’interno dell’organizzazione?",descrizione,"Le REMS sono delle carceri psichiatriche in cui vengono internate le persone che hanno commesso reati in stato di incapacità di intendere e di volere, quindi con patologie psichiatriche. Il primario obiettivo di queste REMS sono la riabilitazione psichiatrica e sociale dell'individuo.",descrizione,J,AG,"('green', 0, 1)",green,"Le REMS sono delle carceri psichiatriche in cui vengono internate le persone che hanno commesso reati in stato di incapacità di intendere e di volere, quindi con patologie psichiatriche. Il primario obiettivo di queste REMS sono la riabilitazione psichiatrica e sociale dell'individuo.",green,descrizione
109,109,"Come descriverebbe il suo lavoro? Ovvero, che obiettivo persegue all’interno dell’organizzazione?",descrizione,Le strutture REMS sono dei luoghi dove sono ospitate persone diverse e con problemi diversi sempre inerenti alla giustizia.,descrizione,J,AG,"('green', 0, 1)",green,Le strutture REMS sono dei luoghi dove sono ospitate persone diverse e con problemi diversi sempre inerenti alla giustizia.,green,descrizione
111,111,"Come descriverebbe il suo lavoro? Ovvero, che obiettivo persegue all’interno dell’organizzazione?",descrizione,La finalità ultima del soggiorno in REMS dovrebbe essere quella di favorire punti di incontro tra persone diverse che convivono e scambiano relazioni nel quotidiano e dove nascono anche sentimenti reciproci.,descrizione,J,AG,"('green', 0, 1)",green,La finalità ultima del soggiorno in REMS dovrebbe essere quella di favorire punti di incontro tra persone diverse che convivono e scambiano relazioni nel quotidiano e dove nascono anche sentimenti reciproci.,green,descrizione
117,117,"Come descriverebbe il suo lavoro? Ovvero, che obiettivo persegue all’interno dell’organizzazione?",descrizione,"Le REMS sono delle carceri psichiatriche in cui vengono internate le persone che hanno commesso reati in stato di incapacità di intendere e di volere, quindi con patologie psichiatriche. Il primario obiettivo di queste REMS sono la riabilitazione psichiatrica e sociale dell'individuo.",descrizione,J,AG,"('green', 0, 1)",green,"Le REMS sono delle carceri psichiatriche in cui vengono internate le persone che hanno commesso reati in stato di incapacità di intendere e di volere, quindi con patologie psichiatriche. Il primario obiettivo di queste REMS sono la riabilitazione psichiatrica e sociale dell'individuo.",green,descrizione
122,122,"Come descriverebbe il suo lavoro? Ovvero, che obiettivo persegue all’interno dell’organizzazione?",descrizione,L’obiettivo del servizio erogato dalle Residenze per l’Esecuzione delle Misure di Sicurezza è quello di avere una duplice vocazione- terapeutica riabilitativa e di sicurezza e custodia- al fine di inserire il paziente in un percorso terapeutico riabilitativo che vede la sua conclusione nel reinserimento sociale dello stesso. ,descrizione,J,AG,"('green', 0, 1)",green,L’obiettivo del servizio erogato dalle Residenze per l’Esecuzione delle Misure di Sicurezza è quello di avere una duplice vocazione- terapeutica riabilitativa e di sicurezza e custodia- al fine di inserire il paziente in un percorso terapeutico riabilitativo che vede la sua conclusione nel reinserimento sociale dello stesso. ,green,descrizione
123,123,"Come descriverebbe il suo lavoro? Ovvero, che obiettivo persegue all’interno dell’organizzazione?",descrizione,"L'obiettivo della REMS è quello di accogliere la persona con disturbo psichico e autrice di reato per garantire: la stabilizzazione e l'approfondimento della psicopatologia, l'elaborazione del reato, la costruzione (se non presente) di una rete di servizi (di salute mentale, sociali, familiari, lavorativi) o la collaborazione con essa per l'individuazione di un progetto riabilitativo individualizzato che permetta all'utente di avviare un percorso post-REMS.",descrizione,J,AG,"('green', 0, 1)",green,"L'obiettivo della REMS è quello di accogliere la persona con disturbo psichico e autrice di reato per garantire: la stabilizzazione e l'approfondimento della psicopatologia, l'elaborazione del reato, la costruzione (se non presente) di una rete di servizi (di salute mentale, sociali, familiari, lavorativi) o la collaborazione con essa per l'individuazione di un progetto riabilitativo individualizzato che permetta all'utente di avviare un percorso post-REMS.",green,descrizione
130,130,"Come descriverebbe il suo lavoro? Ovvero, che obiettivo persegue all’interno dell’organizzazione?",descrizione,Dare più completa assistenza al paziente e orientare maggiormente l’intervento alla promozione del benessere psico-fisico; mettere in evidenza il bisogno del paziente e le esigenze non riconosciute attraverso il potenziamento delle sue risorse affettive e relazionali; formulare ipotesi sul funzionamento psichico del paziente (attraverso l’utilizzo di valutazioni psicodiagnostiche e psicometriche) e in sinergia con l’equipe multi professionale della REMS.,descrizione,J,AG,"('green', 0, 1)",green,Dare più completa assistenza al paziente e orientare maggiormente l’intervento alla promozione del benessere psico-fisico; mettere in evidenza il bisogno del paziente e le esigenze non riconosciute attraverso il potenziamento delle sue risorse affettive e relazionali; formulare ipotesi sul funzionamento psichico del paziente (attraverso l’utilizzo di valutazioni psicodiagnostiche e psicometriche) e in sinergia con l’equipe multi professionale della REMS.,green,descrizione
131,131,"Come descriverebbe il suo lavoro? Ovvero, che obiettivo persegue all’interno dell’organizzazione?",descrizione,"In quanto tecnico della riabilitazione psichiatrica il mio obiettivo è l'osservazione del paziente per individuarne risorse, abilità, fragilità. Mantenere i contatti con i servizi territoriali e le figure significative e organizzare periodici momenti di condivisione per definire assieme un progetto riabilitativo adatto al paziente;",descrizione,J,AG,"('green', 0, 1)",green,"In quanto tecnico della riabilitazione psichiatrica il mio obiettivo è l'osservazione del paziente per individuarne risorse, abilità, fragilità. Mantenere i contatti con i servizi territoriali e le figure significative e organizzare periodici momenti di condivisione per definire assieme un progetto riabilitativo adatto al paziente;",green,descrizione
132,132,"Come descriverebbe il suo lavoro? Ovvero, che obiettivo persegue all’interno dell’organizzazione?",descrizione,un altro obiettivo è la conduzione di gruppi con varie tematiche; sostegno e ascolto nel quotidiano e organizzazione delle attività settimanali; accompagnamento e collaborazione nelle pratiche e tematiche dell'ambito giudiziario.,descrizione,J,AG,"('green', 0, 1)",green,un altro obiettivo è la conduzione di gruppi con varie tematiche; sostegno e ascolto nel quotidiano e organizzazione delle attività settimanali; accompagnamento e collaborazione nelle pratiche e tematiche dell'ambito giudiziario.,green,descrizione
133,133,"Come descriverebbe il suo lavoro? Ovvero, che obiettivo persegue all’interno dell’organizzazione?",descrizione,"Il mio lavoro oltre che in senso medico – psichiatrico stretto, consiste in un ruolo di coordinamento sia all’interno della struttura sia all’esterno. All’interno si coordinano tutte le attività rivolte alla promozione della salute del pz insieme alle varie figure dell’équipe multidisciplinare (IP , OSS, TRP, Psicologi). All’esterno il ruolo è di coordinamento con le UOSM territorialmente competenti, i Ser.D, l’A.G. e gli altri vari interlocutori del caso. Fondamentale è il lavoro svolto sulla relazione medico – paziente",descrizione,J,AG,"('green', 0, 1)",green,"Il mio lavoro oltre che in senso medico – psichiatrico stretto, consiste in un ruolo di coordinamento sia all’interno della struttura sia all’esterno. All’interno si coordinano tutte le attività rivolte alla promozione della salute del pz insieme alle varie figure dell’équipe multidisciplinare (IP , OSS, TRP, Psicologi). All’esterno il ruolo è di coordinamento con le UOSM territorialmente competenti, i Ser.D, l’A.G. e gli altri vari interlocutori del caso. Fondamentale è il lavoro svolto sulla relazione medico – paziente",green,descrizione
135,135,"Come descriverebbe il suo lavoro? Ovvero, che obiettivo persegue all’interno dell’organizzazione?",descrizione,"Il mio lavoro oltre che in senso medico – psichiatrico stretto, consiste in un ruolo di coordinamento sia all’interno della struttura sia all’esterno. All’interno si coordinano tutte le attività rivolte alla promozione della salute del pz insieme alle varie figure dell’équipe multidisciplinare (IP , OSS, TRP, Psicologi). All’esterno il ruolo è di coordinamento con le UOSM territorialmente competenti, i Ser.D, l’A.G. e gli altri vari interlocutori del caso. Fondamentale è il lavoro svolto sulla relazione medico – paziente",descrizione,J,AG,"('green', 0, 1)",green,"Il mio lavoro oltre che in senso medico – psichiatrico stretto, consiste in un ruolo di coordinamento sia all’interno della struttura sia all’esterno. All’interno si coordinano tutte le attività rivolte alla promozione della salute del pz insieme alle varie figure dell’équipe multidisciplinare (IP , OSS, TRP, Psicologi). All’esterno il ruolo è di coordinamento con le UOSM territorialmente competenti, i Ser.D, l’A.G. e gli altri vari interlocutori del caso. Fondamentale è il lavoro svolto sulla relazione medico – paziente",green,descrizione
139,139,"Come descriverebbe il suo lavoro? Ovvero, che obiettivo persegue all’interno dell’organizzazione?",descrizione,E’ un lavoro soprattutto empatico dove si cerca e si prova nei modi migliori di poter aiutare.,giudizio,J,AG,"('red', 3, 1)",red,E’ un lavoro soprattutto empatico dove si cerca e si prova nei modi migliori di poter aiutare.,red,giudizio
140,140,"Come descriverebbe il suo lavoro? Ovvero, che obiettivo persegue all’interno dell’organizzazione?",descrizione,"Attraverso interventi educativi si  risponde ai bisogni del singolo soggetto, ponendo l’attenzione sulla sua autonomia, sulle sue potenzialità, migliorando o recuperando il rapporto con i familiari, facendogli comprendere l’importanza delle regole e il rispetto verso queste ultime, il rispetto verso se stessi e verso gli altri. ",descrizione,J,AG,"('green', 0, 1)",green,"Attraverso interventi educativi si  risponde ai bisogni del singolo soggetto, ponendo l’attenzione sulla sua autonomia, sulle sue potenzialità, migliorando o recuperando il rapporto con i familiari, facendogli comprendere l’importanza delle regole e il rispetto verso queste ultime, il rispetto verso se stessi e verso gli altri. ",green,descrizione
148,148,"Come descriverebbe il suo lavoro? Ovvero, che obiettivo persegue all’interno dell’organizzazione?",descrizione,Il ruolo del TeRP è quello di sostenere all'interno di un lavoro integrato con altre figure professionali l'insight dell'internato attraverso interventi riabilitativi volti a promuovere una migliore compliance.,descrizione,J,AG,"('green', 0, 1)",green,Il ruolo del TeRP è quello di sostenere all'interno di un lavoro integrato con altre figure professionali l'insight dell'internato attraverso interventi riabilitativi volti a promuovere una migliore compliance.,green,descrizione
150,150,"Come descriverebbe il suo lavoro? Ovvero, che obiettivo persegue all’interno dell’organizzazione?",descrizione,"Il mio lavoro prevede diversi interventi, a più livelli, dalla valutazione (assessment) clinica per individuare bisogni specifici e terapeutici, per individuare le aree deficitarie e impostare un percorso terapeutico individualizzato, percorsi psicoterapici in setting individuale e di gruppo, gruppi di abilità specifiche e psicosociali (dall'acquisizione di abilità specifiche, alla psicoeducazione, ecc.), affiancamento in attività di vario genere (ludico-ricreative, tecnico-pratiche ecc.).",descrizione,J,AG,"('green', 0, 1)",green,"Il mio lavoro prevede diversi interventi, a più livelli, dalla valutazione (assessment) clinica per individuare bisogni specifici e terapeutici, per individuare le aree deficitarie e impostare un percorso terapeutico individualizzato, percorsi psicoterapici in setting individuale e di gruppo, gruppi di abilità specifiche e psicosociali (dall'acquisizione di abilità specifiche, alla psicoeducazione, ecc.), affiancamento in attività di vario genere (ludico-ricreative, tecnico-pratiche ecc.).",green,descrizione
221,221,Come descriverebbe l’intervento attuato nei confronti dell’utenza?,descrizione,Riabilitativo.,giudizio,J,AG,"('red', 3, 1)",red,Riabilitativo.,red,giudizio
223,223,Come descriverebbe l’intervento attuato nei confronti dell’utenza?,descrizione,"Pratico, psicologico, umano, farmacologico.",giudizio,J,AG,"('red', 3, 1)",red,"Pratico, psicologico, umano, farmacologico.",red,giudizio
224,224,Come descriverebbe l’intervento attuato nei confronti dell’utenza?,descrizione,"Farmacologico, psicologico, pratico.",giudizio,J,AG,"('red', 3, 1)",red,"Farmacologico, psicologico, pratico.",red,giudizio
225,225,Come descriverebbe l’intervento attuato nei confronti dell’utenza?,descrizione,"Molto ottimale,",giudizio,J,AG,"('red', 3, 1)",red,"Molto ottimale,",red,giudizio
231,231,Come descriverebbe l’intervento attuato nei confronti dell’utenza?,descrizione,"Farmacologico, ricreativo.",giudizio,J,AG,"('red', 3, 1)",red,"Farmacologico, ricreativo.",red,giudizio
235,235,Come descriverebbe l’intervento attuato nei confronti dell’utenza?,descrizione,Con maggiore prevalenza degli aspetti terapeutici sul controllo sociale.,giudizio,J,AG,"('red', 3, 1)",red,Con maggiore prevalenza degli aspetti terapeutici sul controllo sociale.,red,giudizio
236,236,Come descriverebbe l’intervento attuato nei confronti dell’utenza?,descrizione,Psico-socio-farmacologico.,giudizio,J,AG,"('red', 3, 1)",red,Psico-socio-farmacologico.,red,giudizio
237,237,Come descriverebbe l’intervento attuato nei confronti dell’utenza?,descrizione,"L'intervento attuato nei confronti dei nostri utenti è farmacologico, riabilitativo, psicologico, relazionale, di vigilanza, etico e professionale.",giudizio,J,AG,"('red', 3, 1)",red,"L'intervento attuato nei confronti dei nostri utenti è farmacologico, riabilitativo, psicologico, relazionale, di vigilanza, etico e professionale.",red,giudizio
238,238,Come descriverebbe l’intervento attuato nei confronti dell’utenza?,descrizione,"Complesso, a tratti acerbo, ma sicuramente in costante miglioramento seppur non ancora privo di criticità.",giudizio,J,AG,"('red', 3, 1)",red,"Complesso, a tratti acerbo, ma sicuramente in costante miglioramento seppur non ancora privo di criticità.",red,giudizio
239,239,Come descriverebbe l’intervento attuato nei confronti dell’utenza?,descrizione,"Farmacologico, terapeutico, relazionale, di vigilanza.",giudizio,J,AG,"('red', 3, 1)",red,"Farmacologico, terapeutico, relazionale, di vigilanza.",red,giudizio
240,240,Come descriverebbe l’intervento attuato nei confronti dell’utenza?,descrizione,"Farmacologico, ricreativo, ascolto.",giudizio,J,AG,"('red', 3, 1)",red,"Farmacologico, ricreativo, ascolto.",red,giudizio
241,241,Come descriverebbe l’intervento attuato nei confronti dell’utenza?,descrizione,Intervento di tipo: psicofarmacologico; riabilitativo e ricreativo; educativo e psicoterapeutico; detentivo.,giudizio,J,AG,"('red', 3, 1)",red,Intervento di tipo: psicofarmacologico; riabilitativo e ricreativo; educativo e psicoterapeutico; detentivo.,red,giudizio
242,242,Come descriverebbe l’intervento attuato nei confronti dell’utenza?,descrizione,Buono,giudizio,J,AG,"('red', 3, 1)",red,Buono,red,giudizio
243,243,Come descriverebbe l’intervento attuato nei confronti dell’utenza?,descrizione,Ottimo,giudizio,J,AG,"('red', 3, 1)",red,Ottimo,red,giudizio
244,244,Come descriverebbe l’intervento attuato nei confronti dell’utenza?,descrizione,Fondamentale,giudizio,J,AG,"('red', 3, 1)",red,Fondamentale,red,giudizio
247,247,Come descriverebbe l’intervento attuato nei confronti dell’utenza?,descrizione,Un intervento caratterizzato dall'apporto multidisciplinare di tutte le figure coinvolte nella presa in carico del paziente.,descrizione,J,AG,"('green', 0, 1)",green,Un intervento caratterizzato dall'apporto multidisciplinare di tutte le figure coinvolte nella presa in carico del paziente.,green,descrizione
