,Question,Qrep,Answer,Rep,Skill,Dataset,p,MacroCat,text,label,label2,is_valid,set_tag,is_test,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20
10,Come descriverebbe un trattamento efficace?,DESCRIZIONE,"un_elemento necessario ed utile_al_reinserimen dei detenuti 
nella_vita_sociale
",giudizio,S,RD,"('red', 3, 1)",red,"un_elemento necessario ed utile_al_reinserimen dei detenuti 
nella_vita_sociale
",red,giudizio,False,0,False,,,,,,
11,Come descriverebbe un trattamento efficace?,DESCRIZIONE,"per avere un trattamento efficace bisogna avere delle_strutture adeguate ai detenuti ristretti
",valutazione,S,RD,"('yellow', 5, 5)",yellow,"per avere un trattamento efficace bisogna avere delle_strutture adeguate ai detenuti ristretti
",yellow,valutazione,False,0,False,,,,,,
12,Come descriverebbe un trattamento efficace?,DESCRIZIONE,"capace di dare inizio ad un processo di rivisitazione critica del vissuto 
deviante; che permetta l' espressione delle potenzialità positive insite 
nel_soggetto e valorizzarle; capace di produrre un cambiamento di 
atteggiamento e di comportamento; capace di ricucire la frattura sociale 
dovuta alla commissione del reato
",giudizio,S,RD,"('red', 3, 1)",red,"capace di dare inizio ad un processo di rivisitazione critica del vissuto 
deviante; che permetta l' espressione delle potenzialità positive insite 
nel_soggetto e valorizzarle; capace di produrre un cambiamento di 
atteggiamento e di comportamento; capace di ricucire la frattura sociale 
dovuta alla commissione del reato
",red,giudizio,False,0,False,,,,,,
13,Come descriverebbe un trattamento efficace?,DESCRIZIONE,il detenuto non delinqua più,sancire,S,RD,"('red', 1, 0)",red,il detenuto non delinqua più,red,sancire,False,0,False,,,,,,
14,Come descriverebbe un trattamento efficace?,DESCRIZIONE,un_trattamento dia almeno il 50% dei_risultati positivi,giudizio,S,RD,"('red', 3, 1)",red,un_trattamento dia almeno il 50% dei_risultati positivi,red,giudizio,True,1,False,,,,,,
15,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,DESCRIZIONE,importante,giudizio,S,RD,"('red', 3, 1)",red,importante,red,giudizio,False,0,False,,,,,,
16,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,DESCRIZIONE,lavorare all-int dell' istituto,descrizione,S,RD,"('green', 0, 1)",green,lavorare all-int dell' istituto,green,descrizione,False,0,False,,,,,,
17,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,DESCRIZIONE,la-conosco xche-ho-usuf di questa-opport di trattam-ried,descrizione,S,RD,"('green', 0, 1)",green,la-conosco xche-ho-usuf di questa-opport di trattam-ried,green,descrizione,False,0,False,,,,,,
18,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,DESCRIZIONE,tr-l-educ,descrizione,S,RD,"('green', 0, 1)",green,tr-l-educ,green,descrizione,False,0,False,,,,,,
19,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,DESCRIZIONE,l-interno dell' istituto,generalizzazione,S,RD,"('red', 3, 1)",red,l-interno dell' istituto,red,generalizzazione,False,0,False,,,,,,
20,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,DESCRIZIONE,non-ho-capito,giustificazione,S,RD,"('red', 4, 1)",red,non-ho-capito,red,giustificazione,False,0,False,,,,,,
21,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,DESCRIZIONE,quando-ero-malato,generalizzazione,S,RD,"('red', 3, 1)",red,quando-ero-malato,red,generalizzazione,False,0,False,,,,,,
22,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,DESCRIZIONE,attr la perman in-carc,generalizzazione,S,RD,"('red', 3, 1)",red,attr la perman in-carc,red,generalizzazione,False,0,False,,,,,,
23,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,DESCRIZIONE,attr la prec-perman in-carc,generalizzazione,S,RD,"('red', 3, 1)",red,attr la prec-perman in-carc,red,generalizzazione,False,0,False,,,,,,
24,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,DESCRIZIONE,tr noi-stessi,descrizione,S,RD,"('green', 0, 1)",green,tr noi-stessi,green,descrizione,True,1,False,,,,,,
25,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,DESCRIZIONE,dallo-scritto,generalizzazione,S,RD,"('red', 3, 1)",red,dallo-scritto,red,generalizzazione,False,0,False,,,,,,
26,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,DESCRIZIONE,dalle-lettere e dagli-altri-deten,descrizione,S,RD,"('green', 0, 1)",green,dalle-lettere e dagli-altri-deten,green,descrizione,False,0,False,,,,,,
27,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,DESCRIZIONE,dalle-lettere e dagli amici-di-un-altro,descrizione,S,RD,"('green', 0, 1)",green,dalle-lettere e dagli amici-di-un-altro,green,descrizione,True,1,False,,,,,,
28,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,DESCRIZIONE,"non-vedendoc-ben, ho-segnato tut-cio-si-dov-fa per il reinserimento di queste-pers;",descrizione,S,RD,"('green', 0, 1)",green,"non-vedendoc-ben, ho-segnato tut-cio-si-dov-fa per il reinserimento di queste-pers;",green,descrizione,False,0,False,,,,,,
29,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,DESCRIZIONE,ho-av-l-info di-trattam-rieduc con-la-scuola,descrizione,S,RD,"('green', 0, 1)",green,ho-av-l-info di-trattam-rieduc con-la-scuola,green,descrizione,True,1,False,,,,,,
30,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,DESCRIZIONE,in una maniera-positiva,giudizio,S,RD,"('red', 3, 1)",red,in una maniera-positiva,red,giudizio,True,1,False,,,,,,
31,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,DESCRIZIONE,le opport sono-tante per il trattam-rieduc,giudizio,S,RD,"('red', 3, 1)",red,le opport sono-tante per il trattam-rieduc,red,giudizio,False,0,False,,,,,,
32,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,DESCRIZIONE,"la prigione uccide-l-anima interiormente
",causa,S,RD,"('red', 2, 1)",red,"la prigione uccide-l-anima interiormente
",red,causa,False,0,False,,,,,,
33,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,DESCRIZIONE,"se non ha ness in-partic-se-stran 
",causa,S,RD,"('red', 2, 1)",red,"se non ha ness in-partic-se-stran 
",red,causa,False,0,False,,,,,,
34,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,DESCRIZIONE,ho-av-l-info grazie-all' indicazione,descrizione,S,RD,"('green', 0, 1)",green,ho-av-l-info grazie-all' indicazione,green,descrizione,False,0,False,,,,,,
35,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,DESCRIZIONE,"qlch-xs-ne-ha-par xche-io le-ho-ancora-viste 
",descrizione,S,RD,"('green', 0, 1)",green,"qlch-xs-ne-ha-par xche-io le-ho-ancora-viste 
",green,descrizione,True,1,False,,,,,,
36,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,DESCRIZIONE,perche le-vedo-sempre,sancire,S,RD,"('red', 1, 0)",red,perche le-vedo-sempre,red,sancire,False,0,False,,,,,,
37,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,DESCRIZIONE,dentro-il-carc,generalizzazione,S,RD,"('red', 3, 1)",red,dentro-il-carc,red,generalizzazione,False,0,False,,,,,,
38,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,DESCRIZIONE,non-lo-so,sancire,S,RD,"('red', 1, 0)",red,non-lo-so,red,sancire,True,1,False,,,,,,
39,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,DESCRIZIONE,"avevo gia disc-cn-mio-amic di-questo, 
",descrizione,S,RD,"('green', 0, 1)",green,"avevo gia disc-cn-mio-amic di-questo, 
",green,descrizione,False,0,False,,,,,,
40,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,DESCRIZIONE,era-nella-prig aveva gia avuto l' accesso,specificazione,S,RD,"('yellow', 1, 1)",yellow,era-nella-prig aveva gia avuto l' accesso,yellow,specificazione,False,0,False,,,,,,
41,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,DESCRIZIONE,attr-i-deten,descrizione,S,RD,"('green', 0, 1)",green,attr-i-deten,green,descrizione,False,0,False,,,,,,
42,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,DESCRIZIONE,ho-conosciuto domande xche-leggo dei libri,descrizione,S,RD,"('green', 0, 1)",green,ho-conosciuto domande xche-leggo dei libri,green,descrizione,False,0,False,,,,,,
43,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,DESCRIZIONE,non-lo-so ,sancire,S,RD,"('red', 1, 0)",red,non-lo-so ,red,sancire,False,0,False,,,,,,
44,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,DESCRIZIONE,ness-risposta perche non-ho-capito il significato,giustificazione,S,RD,"('red', 4, 1)",red,ness-risposta perche non-ho-capito il significato,red,giustificazione,False,0,False,,,,,,
45,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,DESCRIZIONE,non-rispondo perche non-capisco la domanda,giustificazione,S,RD,"('red', 4, 1)",red,non-rispondo perche non-capisco la domanda,red,giustificazione,True,1,False,,,,,,
46,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,DESCRIZIONE,"ho-conosciuto l' opport-trattam che ho-segnato nella-dom-prec perche ho-av-l-esp come-straniero per 
8-anni-in-liberta e in-carc e 30-anni-sono-passati della-mia-vita 
",descrizione,S,RD,"('green', 0, 1)",green,"ho-conosciuto l' opport-trattam che ho-segnato nella-dom-prec perche ho-av-l-esp come-straniero per 
8-anni-in-liberta e in-carc e 30-anni-sono-passati della-mia-vita 
",green,descrizione,False,0,False,,,,,,
47,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,DESCRIZIONE,"dai deten-sono-con-me 
",descrizione,S,RD,"('green', 0, 1)",green,"dai deten-sono-con-me 
",green,descrizione,False,0,False,,,,,,
48,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,DESCRIZIONE,"attr-massmedia 
",descrizione,S,RD,"('green', 0, 1)",green,"attr-massmedia 
",green,descrizione,False,0,False,,,,,,
49,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,DESCRIZIONE,l-ho-visto,sancire,S,RD,"('red', 1, 0)",red,l-ho-visto,red,sancire,False,0,False,,,,,,
50,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,DESCRIZIONE,"non-lo-so 
",sancire,S,RD,"('red', 1, 0)",red,"non-lo-so 
",red,sancire,False,0,False,,,,,,
51,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,DESCRIZIONE,"ho-conosciuto delle-opport di trat-rieduc dalla-massmedia, dall-istituto",descrizione,S,RD,"('green', 0, 1)",green,"ho-conosciuto delle-opport di trat-rieduc dalla-massmedia, dall-istituto",green,descrizione,True,1,False,,,,,,
52,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,DESCRIZIONE,"ho-av-l-info tr-le-deten 
",descrizione,S,RD,"('green', 0, 1)",green,"ho-av-l-info tr-le-deten 
",green,descrizione,False,0,False,,,,,,
53,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,DESCRIZIONE,con il freq-altri-deten ,descrizione,S,RD,"('green', 0, 1)",green,con il freq-altri-deten ,green,descrizione,True,1,False,,,,,,
54,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,DESCRIZIONE,attr gli agenti-penit,descrizione,S,RD,"('green', 0, 1)",green,attr gli agenti-penit,green,descrizione,True,1,False,,,,,,
55,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,DESCRIZIONE,"non-conosco-ness xche-io sono sano-di-salute e 
sano-di-mente,",sancire,S,RD,"('red', 1, 0)",red,"non-conosco-ness xche-io sono sano-di-salute e 
sano-di-mente,",red,sancire,False,0,False,,,,,,
56,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,DESCRIZIONE,ma credo che queste-cose facciano-bene psicologicamente,opinione,S,RD,"('red', 5, 3)",red,ma credo che queste-cose facciano-bene psicologicamente,red,opinione,False,0,False,,,,,,
57,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,DESCRIZIONE,me-lo-hanno-detto i miei-amici,descrizione,S,RD,"('green', 0, 1)",green,me-lo-hanno-detto i miei-amici,green,descrizione,False,0,False,,,,,,
58,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,DESCRIZIONE,"mi e-stato-detto da-un-operatore, dai comp-di-cella 
",descrizione,S,RD,"('green', 0, 1)",green,"mi e-stato-detto da-un-operatore, dai comp-di-cella 
",green,descrizione,False,0,False,,,,,,
59,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,DESCRIZIONE,"xche-sono i benefici che si-hanno in-galera 
",sancire,S,RD,"('red', 1, 0)",red,"xche-sono i benefici che si-hanno in-galera 
",red,sancire,True,1,False,,,,,,
60,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,DESCRIZIONE,"partecipando alle lezioni-proposte scuola parlando, chiedendo-consig alle agenti, assistendo a tutte-le-attiv",descrizione,S,RD,"('green', 0, 1)",green,"partecipando alle lezioni-proposte scuola parlando, chiedendo-consig alle agenti, assistendo a tutte-le-attiv",green,descrizione,False,0,False,,,,,,
61,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,DESCRIZIONE,i deten parlano,generalizzazione,S,RD,"('red', 3, 1)",red,i deten parlano,red,generalizzazione,True,1,False,,,,,,
62,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,DESCRIZIONE,dagli-altri-deten. ,descrizione,S,RD,"('green', 0, 1)",green,dagli-altri-deten. ,green,descrizione,False,0,False,,,,,,
63,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,DESCRIZIONE,l-ho-visti ,sancire,S,RD,"('red', 1, 0)",red,l-ho-visti ,red,sancire,True,1,False,,,,,,
64,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,DESCRIZIONE,dalla-direttrice ,descrizione,S,RD,"('green', 0, 1)",green,dalla-direttrice ,green,descrizione,False,0,False,,,,,,
65,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,DESCRIZIONE,in-carc,generalizzazione,S,RD,"('red', 3, 1)",red,in-carc,red,generalizzazione,False,0,False,,,,,,
66,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,DESCRIZIONE,"lo-so perche lo-sto-vivendo 
",sancire,S,RD,"('red', 1, 0)",red,"lo-so perche lo-sto-vivendo 
",red,sancire,False,0,False,,,,,,
67,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,DESCRIZIONE,"ho-letto sul-muro 
",descrizione,S,RD,"('green', 0, 1)",green,"ho-letto sul-muro 
",green,descrizione,True,1,False,,,,,,
68,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,DESCRIZIONE,"tra-pop-deten si-parla-sempre 
dei-carc e i prob-che-esist sempre. 
",descrizione,S,RD,"('green', 0, 1)",green,"tra-pop-deten si-parla-sempre 
dei-carc e i prob-che-esist sempre. 
",green,descrizione,False,0,False,,,,,,
69,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,DESCRIZIONE,"ho-visto delle pers-hanno-pass
questa-esp 
",descrizione,S,RD,"('green', 0, 1)",green,"ho-visto delle pers-hanno-pass
questa-esp 
",green,descrizione,False,0,False,,,,,,
70,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,DESCRIZIONE,attr-tv e attr-gli-amici,descrizione,S,RD,"('green', 0, 1)",green,attr-tv e attr-gli-amici,green,descrizione,True,1,False,,,,,,
71,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,DESCRIZIONE,ripeto che non-so-bene la legge-della-prig.,giustificazione,S,RD,"('red', 4, 1)",red,ripeto che non-so-bene la legge-della-prig.,red,giustificazione,False,0,False,,,,,,
72,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,DESCRIZIONE,ho-conosciuto le opport-trattam perche le-ho-capite,sancire,S,RD,"('red', 1, 0)",red,ho-conosciuto le opport-trattam perche le-ho-capite,red,sancire,False,0,False,,,,,,
73,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,DESCRIZIONE,"ho-conosciuto opport dai-deten in-questa prigione,",descrizione,S,RD,"('green', 0, 1)",green,"ho-conosciuto opport dai-deten in-questa prigione,",green,descrizione,True,1,False,,,,,,
74,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,DESCRIZIONE,"ho-seguito un-corso dentro 
l' istituto e ho-lavorato per-un-periodo determinato",descrizione,S,RD,"('green', 0, 1)",green,"ho-seguito un-corso dentro 
l' istituto e ho-lavorato per-un-periodo determinato",green,descrizione,True,1,False,,,,,,
75,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,DESCRIZIONE,"ho-conosciuto l' opport-trattam attr-aiutanti, e attr-resp presenti-qui",descrizione,S,RD,"('green', 0, 1)",green,"ho-conosciuto l' opport-trattam attr-aiutanti, e attr-resp presenti-qui",green,descrizione,False,0,False,,,,,,
76,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,DESCRIZIONE,mi-hanno-detto,specificazione,S,RD,"('yellow', 1, 1)",yellow,mi-hanno-detto,yellow,specificazione,True,1,False,,,,,,
77,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,DESCRIZIONE,mi-ha-detto qualcuno,giudizio,S,RD,"('red', 3, 1)",red,mi-ha-detto qualcuno,red,giudizio,False,0,False,,,,,,
78,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,DESCRIZIONE,"comp-di-cella 
",giudizio,S,RD,"('red', 3, 1)",red,"comp-di-cella 
",red,giudizio,True,1,False,,,,,,
79,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,DESCRIZIONE,"xche-lo-so queste-cose in-carc 
",giudizio,S,RD,"('red', 3, 1)",red,"xche-lo-so queste-cose in-carc 
",red,giudizio,False,0,False,,,,,,
80,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,DESCRIZIONE,"xche-lo-so che queste-cose in-carc 
",commento,S,RD,"('red', 3, 1)",red,"xche-lo-so che queste-cose in-carc 
",red,commento,False,0,False,,,,,,
81,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,DESCRIZIONE,"con-la-pratica 
",commento,S,RD,"('red', 3, 1)",red,"con-la-pratica 
",red,commento,False,0,False,,,,,,
82,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,DESCRIZIONE,"dai propri-connazion e da-tv 
",descrizione,S,RD,"('green', 0, 1)",green,"dai propri-connazion e da-tv 
",green,descrizione,False,0,False,,,,,,
83,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,DESCRIZIONE,con un avviso nella-sezione sono-riusc-a-sapere le seguenti opport-trattam,commento,S,RD,"('red', 3, 1)",red,con un avviso nella-sezione sono-riusc-a-sapere le seguenti opport-trattam,red,commento,False,0,False,,,,,,
84,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,DESCRIZIONE,ho-av-l-info da (amici),descrizione,S,RD,"('green', 0, 1)",green,ho-av-l-info da (amici),green,descrizione,False,0,False,,,,,,
85,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,DESCRIZIONE,ho-visto dentro un-altro,specificazione,S,RD,"('yellow', 1, 1)",yellow,ho-visto dentro un-altro,yellow,specificazione,False,0,False,,,,,,
86,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,DESCRIZIONE,ho-saputo da-altri-imputati,descrizione,S,RD,"('green', 0, 1)",green,ho-saputo da-altri-imputati,green,descrizione,False,0,False,,,,,,
87,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,DESCRIZIONE,che sono-stati in-altri,commento,S,RD,"('red', 3, 1)",red,che sono-stati in-altri,red,commento,False,0,False,,,,,,
88,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,DESCRIZIONE,li-ho nei manifesti,giustificazione,S,RD,"('red', 4, 1)",red,li-ho nei manifesti,red,giustificazione,False,0,False,,,,,,
89,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,DESCRIZIONE,tutti i trattam-rieduc che noi conosciamo possiamo-ringr al direttore del-carc,descrizione,S,RD,"('green', 0, 1)",green,tutti i trattam-rieduc che noi conosciamo possiamo-ringr al direttore del-carc,green,descrizione,True,1,False,,,,,,
90,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,DESCRIZIONE,"che si 
e sempre dimostrato molto int-al-beness di-noi,",sancire,S,RD,"('red', 1, 0)",red,"che si 
e sempre dimostrato molto int-al-beness di-noi,",red,sancire,False,0,False,,,,,,
91,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,DESCRIZIONE,"ed anche alla coll-person-peni
",descrizione,S,RD,"('green', 0, 1)",green,"ed anche alla coll-person-peni
",green,descrizione,False,0,False,,,,,,
92,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,DESCRIZIONE,perche e-molto-normale qui,giustificazione,S,RD,"('red', 4, 1)",red,perche e-molto-normale qui,red,giustificazione,False,0,False,,,,,,
