,Question,Qrep,Answer,Rep,Skill,Dataset,p,MacroCat,text,label,label2,is_valid,set_tag,is_test
10,Come descriverebbe un trattamento efficace?,descrizione,"in_grado_di rispondere_ai_bisogn primari dell' utente, di soddisfare le sue 
esigenze di reinserimento_social e di prevenire eventuali ricadute in 
comportamenti antisociali. 
",giudizio,S,RD,"('red', 3, 1)",red,"in_grado_di rispondere_ai_bisogn primari dell' utente, di soddisfare le sue 
esigenze di reinserimento_social e di prevenire eventuali ricadute in 
comportamenti antisociali. 
",red,giudizio,False,0,False
11,Come descriverebbe un trattamento efficace?,descrizione,utile_per_la_popolaz detenuta,giudizio,S,RD,"('red', 3, 1)",red,utile_per_la_popolaz detenuta,red,giudizio,False,0,False
12,Come descriverebbe un trattamento efficace?,descrizione,"un_elemento necessario ed utile_al_reinserimen dei detenuti 
nella_vita_sociale
",giudizio,S,RD,"('red', 3, 1)",red,"un_elemento necessario ed utile_al_reinserimen dei detenuti 
nella_vita_sociale
",red,giudizio,False,0,False
13,Come descriverebbe un trattamento efficace?,descrizione,"per avere un trattamento efficace bisogna avere delle_strutture adeguate ai detenuti ristretti
",valutazione,S,RD,"('yellow', 5, 5)",yellow,"per avere un trattamento efficace bisogna avere delle_strutture adeguate ai detenuti ristretti
",yellow,valutazione,False,0,False
14,Come descriverebbe un trattamento efficace?,descrizione,"capace di dare inizio ad un processo di rivisitazione critica del vissuto 
deviante; che permetta l' espressione delle potenzialità positive insite 
nel_soggetto e valorizzarle; capace di produrre un cambiamento di 
atteggiamento e di comportamento; capace di ricucire la frattura sociale 
dovuta alla commissione del reato
",giudizio,S,RD,"('red', 3, 1)",red,"capace di dare inizio ad un processo di rivisitazione critica del vissuto 
deviante; che permetta l' espressione delle potenzialità positive insite 
nel_soggetto e valorizzarle; capace di produrre un cambiamento di 
atteggiamento e di comportamento; capace di ricucire la frattura sociale 
dovuta alla commissione del reato
",red,giudizio,False,0,False
15,Come descriverebbe un trattamento efficace?,descrizione,il detenuto non delinqua più,sancire,S,RD,"('red', 1, 0)",red,il detenuto non delinqua più,red,sancire,False,0,False
16,Come descriverebbe un trattamento efficace?,descrizione,un_trattamento dia almeno il 50% dei_risultati positivi,giudizio,S,RD,"('red', 3, 1)",red,un_trattamento dia almeno il 50% dei_risultati positivi,red,giudizio,True,1,False
17,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,descrizione,importante,giudizio,S,RD,"('red', 3, 1)",red,importante,red,giudizio,False,0,False
18,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,descrizione,lavorare all-int dell' istituto,descrizione,S,RD,"('green', 0, 1)",green,lavorare all-int dell' istituto,green,descrizione,False,0,False
19,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,descrizione,la-conosco xche-ho-usuf di questa-opport di trattam-ried,descrizione,S,RD,"('green', 0, 1)",green,la-conosco xche-ho-usuf di questa-opport di trattam-ried,green,descrizione,False,0,False
20,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,descrizione,tr-l-educ,descrizione,S,RD,"('green', 0, 1)",green,tr-l-educ,green,descrizione,False,0,False
21,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,descrizione,l-interno dell' istituto,generalizzazione,S,RD,"('red', 3, 1)",red,l-interno dell' istituto,red,generalizzazione,False,0,False
22,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,descrizione,non-ho-capito,giustificazione,S,RD,"('red', 4, 1)",red,non-ho-capito,red,giustificazione,False,0,False
23,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,descrizione,quando-ero-malato,generalizzazione,S,RD,"('red', 3, 1)",red,quando-ero-malato,red,generalizzazione,False,0,False
24,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,descrizione,attr la perman in-carc,generalizzazione,S,RD,"('red', 3, 1)",red,attr la perman in-carc,red,generalizzazione,False,0,False
25,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,descrizione,attr la prec-perman in-carc,generalizzazione,S,RD,"('red', 3, 1)",red,attr la prec-perman in-carc,red,generalizzazione,False,0,False
26,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,descrizione,tr noi-stessi,descrizione,S,RD,"('green', 0, 1)",green,tr noi-stessi,green,descrizione,True,1,False
27,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,descrizione,dallo-scritto,generalizzazione,S,RD,"('red', 3, 1)",red,dallo-scritto,red,generalizzazione,False,0,False
28,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,descrizione,dalle-lettere e dagli-altri-deten,descrizione,S,RD,"('green', 0, 1)",green,dalle-lettere e dagli-altri-deten,green,descrizione,False,0,False
29,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,descrizione,"e tutti qui-in-prig dicono che x-stran-e-imposs

",deresponsabilizzazione,S,RD,"('red', 4, 2)",red,"e tutti qui-in-prig dicono che x-stran-e-imposs

",red,deresponsabilizzazione,True,1,False
30,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,descrizione,dalle-lettere e dagli amici-di-un-altro,descrizione,S,RD,"('green', 0, 1)",green,dalle-lettere e dagli amici-di-un-altro,green,descrizione,False,0,False
31,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,descrizione,"non-vedendoc-ben, ho-segnato tut-cio-si-dov-fa per il reinserimento di queste-pers;",descrizione,S,RD,"('green', 0, 1)",green,"non-vedendoc-ben, ho-segnato tut-cio-si-dov-fa per il reinserimento di queste-pers;",green,descrizione,False,0,False
32,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,descrizione,"io perslmente,",non risposta,S,RD,"('red', 3, 1)",red,"io perslmente,",red,non risposta,True,1,False
33,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,descrizione,"in-3anni-7mesi parlo-sol-cn-m-fam al telefono, dato che, per la situazione in cui si-trovano tutti i miei parenti, non-poss-ven-trov",non risposta,S,RD,"('red', 3, 1)",red,"in-3anni-7mesi parlo-sol-cn-m-fam al telefono, dato che, per la situazione in cui si-trovano tutti i miei parenti, non-poss-ven-trov",red,non risposta,True,1,False
34,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,descrizione,ho-av-l-info di-trattam-rieduc con-la-scuola,descrizione,S,RD,"('green', 0, 1)",green,ho-av-l-info di-trattam-rieduc con-la-scuola,green,descrizione,False,0,False
35,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,descrizione,"e 
fatto con la speranza che mi-aiuta",possibilità,S,RD,"('yellow', 2, 2)",yellow,"e 
fatto con la speranza che mi-aiuta",yellow,possibilità,True,1,False
36,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,descrizione,in una maniera-positiva,giudizio,S,RD,"('red', 3, 1)",red,in una maniera-positiva,red,giudizio,False,0,False
37,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,descrizione,le opport sono-tante per il trattam-rieduc,giudizio,S,RD,"('red', 3, 1)",red,le opport sono-tante per il trattam-rieduc,red,giudizio,False,0,False
38,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,descrizione,"la prigione uccide-l-anima interiormente
",causa,S,RD,"('red', 2, 1)",red,"la prigione uccide-l-anima interiormente
",red,causa,False,0,False
39,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,descrizione,"se non ha ness in-partic-se-stran 
",causa,S,RD,"('red', 2, 1)",red,"se non ha ness in-partic-se-stran 
",red,causa,False,0,False
40,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,descrizione,non-e-cosi-buono,non risposta,S,RD,"('red', 3, 1)",red,non-e-cosi-buono,red,non risposta,False,0,False
41,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,descrizione,ho-av-l-info grazie-all' indicazione,descrizione,S,RD,"('green', 0, 1)",green,ho-av-l-info grazie-all' indicazione,green,descrizione,True,1,False
42,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,descrizione,"qlch-xs-ne-ha-par xche-io le-ho-ancora-viste 
",descrizione,S,RD,"('green', 0, 1)",green,"qlch-xs-ne-ha-par xche-io le-ho-ancora-viste 
",green,descrizione,False,0,False
43,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,descrizione,perche le-vedo-sempre,sancire,S,RD,"('red', 1, 0)",red,perche le-vedo-sempre,red,sancire,False,0,False
44,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,descrizione,dentro-il-carc,generalizzazione,S,RD,"('red', 3, 1)",red,dentro-il-carc,red,generalizzazione,True,1,False
45,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,descrizione,non-lo-so,sancire,S,RD,"('red', 1, 0)",red,non-lo-so,red,sancire,True,1,False
46,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,descrizione,e gia un-mese-sono-qui,non risposta,S,RD,"('red', 3, 1)",red,e gia un-mese-sono-qui,red,non risposta,False,0,False
47,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,descrizione,"avevo gia disc-cn-mio-amic di-questo, 
",descrizione,S,RD,"('green', 0, 1)",green,"avevo gia disc-cn-mio-amic di-questo, 
",green,descrizione,False,0,False
48,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,descrizione,era-nella-prig aveva gia avuto l' accesso,specificazione,S,RD,"('yellow', 1, 1)",yellow,era-nella-prig aveva gia avuto l' accesso,yellow,specificazione,False,0,False
49,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,descrizione,attr-i-deten,descrizione,S,RD,"('green', 0, 1)",green,attr-i-deten,green,descrizione,False,0,False
50,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,descrizione,ho-conosciuto domande xche-leggo dei libri,descrizione,S,RD,"('green', 0, 1)",green,ho-conosciuto domande xche-leggo dei libri,green,descrizione,True,1,False
51,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,descrizione,"questa-vita la vivevo prima-d' entrare-in-prig 
",non risposta,S,RD,"('red', 3, 1)",red,"questa-vita la vivevo prima-d' entrare-in-prig 
",red,non risposta,False,0,False
52,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,descrizione,non-lo-so ,sancire,S,RD,"('red', 1, 0)",red,non-lo-so ,red,sancire,False,0,False
53,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,descrizione,"lav-all-int-d prigione e lavoravo-all-est della prigione perche avevo-la-forza, e fuori avevo-un-lavoro ma dopo non ci fu niente-da-fare",non risposta,S,RD,"('red', 3, 1)",red,"lav-all-int-d prigione e lavoravo-all-est della prigione perche avevo-la-forza, e fuori avevo-un-lavoro ma dopo non ci fu niente-da-fare",red,non risposta,True,1,False
54,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,descrizione,il lav-all-est-della prigione,non risposta,S,RD,"('red', 3, 1)",red,il lav-all-est-della prigione,red,non risposta,True,1,False
55,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,descrizione,"lavoro all-int-della prigione perche cosi-passa-il-tempo,",non risposta,S,RD,"('red', 3, 1)",red,"lavoro all-int-della prigione perche cosi-passa-il-tempo,",red,non risposta,True,1,False
56,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,descrizione,"ho rapp-con-la-famig scrivendo-lettere per-sap-lor-not in-partic mia mamma 
",non risposta,S,RD,"('red', 3, 1)",red,"ho rapp-con-la-famig scrivendo-lettere per-sap-lor-not in-partic mia mamma 
",red,non risposta,False,0,False
57,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,descrizione,ness-risposta perche non-ho-capito il significato,giustificazione,S,RD,"('red', 4, 1)",red,ness-risposta perche non-ho-capito il significato,red,giustificazione,True,1,False
58,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,descrizione,la so questa domanda,non risposta,S,RD,"('red', 3, 1)",red,la so questa domanda,red,non risposta,True,1,False
59,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,descrizione,le sapevo queste-domande.,non risposta,S,RD,"('red', 3, 1)",red,le sapevo queste-domande.,red,non risposta,True,1,False
60,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,descrizione,non-rispondo perche non-capisco la domanda,giustificazione,S,RD,"('red', 4, 1)",red,non-rispondo perche non-capisco la domanda,red,giustificazione,False,0,False
61,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,descrizione,non-ho-ness-prob.,non risposta,S,RD,"('red', 3, 1)",red,non-ho-ness-prob.,red,non risposta,False,0,False
62,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,descrizione,"ho-conosciuto l' opport-trattam che ho-segnato nella-dom-prec perche ho-av-l-esp come-straniero per 
8-anni-in-liberta e in-carc e 30-anni-sono-passati della-mia-vita 
",descrizione,S,RD,"('green', 0, 1)",green,"ho-conosciuto l' opport-trattam che ho-segnato nella-dom-prec perche ho-av-l-esp come-straniero per 
8-anni-in-liberta e in-carc e 30-anni-sono-passati della-mia-vita 
",green,descrizione,False,0,False
63,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,descrizione,"dai deten-sono-con-me 
",descrizione,S,RD,"('green', 0, 1)",green,"dai deten-sono-con-me 
",green,descrizione,False,0,False
64,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,descrizione,"attr-massmedia 
",descrizione,S,RD,"('green', 0, 1)",green,"attr-massmedia 
",green,descrizione,False,0,False
65,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,descrizione,l-ho-visto,sancire,S,RD,"('red', 1, 0)",red,l-ho-visto,red,sancire,False,0,False
66,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,descrizione,"non-lo-so 
",sancire,S,RD,"('red', 1, 0)",red,"non-lo-so 
",red,sancire,True,1,False
67,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,descrizione,"ho-conosciuto delle-opport di trat-rieduc dalla-massmedia, dall-istituto",descrizione,S,RD,"('green', 0, 1)",green,"ho-conosciuto delle-opport di trat-rieduc dalla-massmedia, dall-istituto",green,descrizione,False,0,False
68,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,descrizione,non-ho-ness-problema,non risposta,S,RD,"('red', 3, 1)",red,non-ho-ness-problema,red,non risposta,True,1,False
69,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,descrizione,questa-vita la vivevo prima-d-entrare in-carc,non risposta,S,RD,"('red', 3, 1)",red,questa-vita la vivevo prima-d-entrare in-carc,red,non risposta,False,0,False
70,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,descrizione,"ho-av-l-info tr-le-deten 
",descrizione,S,RD,"('green', 0, 1)",green,"ho-av-l-info tr-le-deten 
",green,descrizione,True,1,False
71,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,descrizione,con il freq-altri-deten ,descrizione,S,RD,"('green', 0, 1)",green,con il freq-altri-deten ,green,descrizione,True,1,False
72,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,descrizione,attr gli agenti-penit,descrizione,S,RD,"('green', 0, 1)",green,attr gli agenti-penit,green,descrizione,False,0,False
73,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,descrizione,"non-conosco-ness xche-io sono sano-di-salute e 
sano-di-mente,",sancire,S,RD,"('red', 1, 0)",red,"non-conosco-ness xche-io sono sano-di-salute e 
sano-di-mente,",red,sancire,False,0,False
74,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,descrizione,ma credo che queste-cose facciano-bene psicologicamente,opinione,S,RD,"('red', 5, 3)",red,ma credo che queste-cose facciano-bene psicologicamente,red,opinione,False,0,False
75,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,descrizione,"non-ne-ho-con-ness 
",non risposta,S,RD,"('red', 3, 1)",red,"non-ne-ho-con-ness 
",red,non risposta,False,0,False
76,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,descrizione,me-lo-hanno-detto i miei-amici,descrizione,S,RD,"('green', 0, 1)",green,me-lo-hanno-detto i miei-amici,green,descrizione,False,0,False
77,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,descrizione,"mi e-stato-detto da-un-operatore, dai comp-di-cella 
",descrizione,S,RD,"('green', 0, 1)",green,"mi e-stato-detto da-un-operatore, dai comp-di-cella 
",green,descrizione,True,1,False
78,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,descrizione,"xche-sono i benefici che si-hanno in-galera 
",sancire,S,RD,"('red', 1, 0)",red,"xche-sono i benefici che si-hanno in-galera 
",red,sancire,True,1,False
79,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,descrizione,bene ,non risposta,S,RD,"('red', 3, 1)",red,bene ,red,non risposta,False,0,False
80,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,descrizione,"partecipando alle lezioni-proposte scuola parlando, chiedendo-consig alle agenti, assistendo a tutte-le-attiv",descrizione,S,RD,"('green', 0, 1)",green,"partecipando alle lezioni-proposte scuola parlando, chiedendo-consig alle agenti, assistendo a tutte-le-attiv",green,descrizione,True,1,False
81,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,descrizione,i deten parlano,generalizzazione,S,RD,"('red', 3, 1)",red,i deten parlano,red,generalizzazione,False,0,False
82,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,descrizione,dagli-altri-deten. ,descrizione,S,RD,"('green', 0, 1)",green,dagli-altri-deten. ,green,descrizione,True,1,False
83,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,descrizione,l-ho-visti ,sancire,S,RD,"('red', 1, 0)",red,l-ho-visti ,red,sancire,False,0,False
84,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,descrizione,dalla-direttrice ,descrizione,S,RD,"('green', 0, 1)",green,dalla-direttrice ,green,descrizione,red,causa,False
85,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,descrizione,"non sono mai-stata-carc, mi-sono-ammalata,
sono-paralizzata, vi prego scrivetemi subito 
",non risposta,S,RD,"('red', 3, 1)",red,"non sono mai-stata-carc, mi-sono-ammalata,
sono-paralizzata, vi prego scrivetemi subito 
",red,non risposta,False,0,False
86,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,descrizione,in-carc,generalizzazione,S,RD,"('red', 3, 1)",red,in-carc,red,generalizzazione,False,0,False
87,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,descrizione,"lo-so perche lo-sto-vivendo 
",sancire,S,RD,"('red', 1, 0)",red,"lo-so perche lo-sto-vivendo 
",red,sancire,True,1,False
88,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,descrizione,"ho-letto sul-muro 
",descrizione,S,RD,"('green', 0, 1)",green,"ho-letto sul-muro 
",green,descrizione,False,0,False
89,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,descrizione,"tra-pop-deten si-parla-sempre 
dei-carc e i prob-che-esist sempre. 
",descrizione,S,RD,"('green', 0, 1)",green,"tra-pop-deten si-parla-sempre 
dei-carc e i prob-che-esist sempre. 
",green,descrizione,False,0,False
90,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,descrizione,"ho-visto delle pers-hanno-pass
questa-esp 
",descrizione,S,RD,"('green', 0, 1)",green,"ho-visto delle pers-hanno-pass
questa-esp 
",green,descrizione,True,1,False
91,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,descrizione,attr-tv e attr-gli-amici,descrizione,S,RD,"('green', 0, 1)",green,attr-tv e attr-gli-amici,green,descrizione,False,0,False
92,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,descrizione,ripeto che non-so-bene la legge-della-prig.,giustificazione,S,RD,"('red', 4, 1)",red,ripeto che non-so-bene la legge-della-prig.,red,giustificazione,False,0,False
93,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,descrizione,lav-all-est dell' istituto,non risposta,S,RD,"('red', 3, 1)",red,lav-all-est dell' istituto,red,non risposta,False,0,False
94,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,descrizione,ho-conosciuto le opport-trattam perche le-ho-capite,sancire,S,RD,"('red', 1, 0)",red,ho-conosciuto le opport-trattam perche le-ho-capite,red,sancire,True,1,False
95,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,descrizione,"ho-conosciuto opport dai-deten in-questa prigione,",descrizione,S,RD,"('green', 0, 1)",green,"ho-conosciuto opport dai-deten in-questa prigione,",green,descrizione,True,1,False
96,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,descrizione,"ho-seguito un-corso dentro 
l' istituto e ho-lavorato per-un-periodo determinato",descrizione,S,RD,"('green', 0, 1)",green,"ho-seguito un-corso dentro 
l' istituto e ho-lavorato per-un-periodo determinato",green,descrizione,False,0,False
97,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,descrizione,"ho-conosciuto l' opport-trattam attr-aiutanti, e attr-resp presenti-qui",descrizione,S,RD,"('green', 0, 1)",green,"ho-conosciuto l' opport-trattam attr-aiutanti, e attr-resp presenti-qui",green,descrizione,False,0,False
98,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,descrizione,lav-all-int dell' istituto perche non-ho-ness qui-in-italia,non risposta,S,RD,"('red', 3, 1)",red,lav-all-int dell' istituto perche non-ho-ness qui-in-italia,red,non risposta,red,causa,False
