,TESTO DELLA DOMANDA,REPERTORIO DELLA DOMANDA,STRALCIO,DENOMINAZIONE SENIOR,DENOMINAZIONE JUNIOR
17,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,DESCRIZIONE,importante,GIUDIZIO,GIUDIZIO
18,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,DESCRIZIONE,lavorare all-int dell' istituto,DESCRIZIONE,NON RISPOSTA
19,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,DESCRIZIONE,la-conosco xche-ho-usuf di questa-opport di trattam-ried,DESCRIZIONE,DESCRIZIONE
20,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,DESCRIZIONE,tr-l-educ,DESCRIZIONE,DESCRIZIONE
21,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,DESCRIZIONE,l-interno dell' istituto,GENERALIZZAZIONE,DESCRIZIONE
22,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,DESCRIZIONE,non-ho-capito,GIUSTIFICAZIONE,DERESPONSABILIZZAZIONE
23,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,DESCRIZIONE,quando-ero-malato,GENERALIZZAZIONE,NON RISPOSTA
24,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,DESCRIZIONE,attr la perman in-carc,GENERALIZZAZIONE,DESCRIZIONE
25,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,DESCRIZIONE,attr la prec-perman in-carc,GENERALIZZAZIONE,DESCRIZIONE
26,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,DESCRIZIONE,tr noi-stessi,DESCRIZIONE,DESCRIZIONE
27,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,DESCRIZIONE,dallo-scritto,GENERALIZZAZIONE,DESCRIZIONE
28,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,DESCRIZIONE,dalle-lettere e dagli-altri-deten,DESCRIZIONE,DESCRIZIONE
29,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,DESCRIZIONE,"e tutti qui-in-prig dicono che x-stran-e-imposs

",DERESPONSABILIZZAZIONE,DERESPONSABILIZZAZIONE
30,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,DESCRIZIONE,dalle-lettere e dagli amici-di-un-altro,DESCRIZIONE,DESCRIZIONE
31,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,DESCRIZIONE,"non-vedendoc-ben, ho-segnato tut-cio-si-dov-fa per il reinserimento di queste-pers;",DESCRIZIONE,IMPLICAZIONI
32,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,DESCRIZIONE,"io perslmente,",NON RISPOSTA,CONFERMA
33,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,DESCRIZIONE,"in-3anni-7mesi parlo-sol-cn-m-fam al telefono, dato che, per la situazione in cui si-trovano tutti i miei parenti, non-poss-ven-trov",NON RISPOSTA,NON RISPOSTA
34,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,DESCRIZIONE,ho-av-l-info di-trattam-rieduc con-la-scuola,DESCRIZIONE,DESCRIZIONE
35,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,DESCRIZIONE,"e 
fatto con la speranza che mi-aiuta",POSSIBILITÀ,OPINIONE
36,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,DESCRIZIONE,in una maniera-positiva,GIUDIZIO,GIUDIZIO
37,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,DESCRIZIONE,le opport sono-tante per il trattam-rieduc,GIUDIZIO,COMMENTO
38,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,DESCRIZIONE,"la prigione uccide-l-anima interiormente
",CAUSA,sancire
39,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,DESCRIZIONE,"se non ha ness in-partic-se-stran 
",CAUSA,OPINIONE
40,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,DESCRIZIONE,non-e-cosi-buono,NON RISPOSTA,GIUDIZIO
41,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,DESCRIZIONE,ho-av-l-info grazie-all' indicazione,DESCRIZIONE,DESCRIZIONE
42,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,DESCRIZIONE,"qlch-xs-ne-ha-par xche-io le-ho-ancora-viste 
",DESCRIZIONE,NON RISPOSTA
43,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,DESCRIZIONE,perche le-vedo-sempre,sancire,sancire
44,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,DESCRIZIONE,dentro-il-carc,GENERALIZZAZIONE,DESCRIZIONE
45,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,DESCRIZIONE,non-lo-so,sancire,sancire
46,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,DESCRIZIONE,e gia un-mese-sono-qui,NON RISPOSTA,NON RISPOSTA
47,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,DESCRIZIONE,"avevo gia disc-cn-mio-amic di-questo, 
",DESCRIZIONE,DESCRIZIONE
48,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,DESCRIZIONE,era-nella-prig aveva gia avuto l' accesso,SPECIFICAZIONE,SPECIFICAZIONE
49,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,DESCRIZIONE,attr-i-deten,DESCRIZIONE,DESCRIZIONE
50,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,DESCRIZIONE,ho-conosciuto domande xche-leggo dei libri,DESCRIZIONE,NON RISPOSTA
51,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,DESCRIZIONE,"questa-vita la vivevo prima-d' entrare-in-prig 
",NON RISPOSTA,NON RISPOSTA
52,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,DESCRIZIONE,non-lo-so ,sancire,sancire
53,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,DESCRIZIONE,"lav-all-int-d prigione e lavoravo-all-est della prigione perche avevo-la-forza, e fuori avevo-un-lavoro ma dopo non ci fu niente-da-fare",NON RISPOSTA,NON RISPOSTA
54,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,DESCRIZIONE,il lav-all-est-della prigione,NON RISPOSTA,NON RISPOSTA
55,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,DESCRIZIONE,"lavoro all-int-della prigione perche cosi-passa-il-tempo,",NON RISPOSTA,NON RISPOSTA
56,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,DESCRIZIONE,"ho rapp-con-la-famig scrivendo-lettere per-sap-lor-not in-partic mia mamma 
",NON RISPOSTA,NON RISPOSTA
57,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,DESCRIZIONE,ness-risposta perche non-ho-capito il significato,GIUSTIFICAZIONE,GIUSTIFICAZIONE
58,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,DESCRIZIONE,la so questa domanda,NON RISPOSTA,sancire
59,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,DESCRIZIONE,le sapevo queste-domande.,NON RISPOSTA,sancire
60,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,DESCRIZIONE,non-rispondo perche non-capisco la domanda,GIUSTIFICAZIONE,GIUSTIFICAZIONE
61,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,DESCRIZIONE,non-ho-ness-prob.,NON RISPOSTA,sancire
62,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,DESCRIZIONE,"ho-conosciuto l' opport-trattam che ho-segnato nella-dom-prec perche ho-av-l-esp come-straniero per 
8-anni-in-liberta e in-carc e 30-anni-sono-passati della-mia-vita 
",DESCRIZIONE,DESCRIZIONE
63,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,DESCRIZIONE,"dai deten-sono-con-me 
",DESCRIZIONE,DESCRIZIONE
64,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,DESCRIZIONE,"attr-massmedia 
",DESCRIZIONE,DESCRIZIONE
65,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,DESCRIZIONE,l-ho-visto,sancire,DESCRIZIONE
66,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,DESCRIZIONE,"non-lo-so 
",sancire,sancire
67,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,DESCRIZIONE,"ho-conosciuto delle-opport di trat-rieduc dalla-massmedia, dall-istituto",DESCRIZIONE,DESCRIZIONE
68,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,DESCRIZIONE,non-ho-ness-problema,NON RISPOSTA,NON RISPOSTA
69,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,DESCRIZIONE,questa-vita la vivevo prima-d-entrare in-carc,NON RISPOSTA,NON RISPOSTA
70,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,DESCRIZIONE,"ho-av-l-info tr-le-deten 
",DESCRIZIONE,DESCRIZIONE
71,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,DESCRIZIONE,con il freq-altri-deten ,DESCRIZIONE,DESCRIZIONE
72,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,DESCRIZIONE,attr gli agenti-penit,DESCRIZIONE,DESCRIZIONE
73,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,DESCRIZIONE,"non-conosco-ness xche-io sono sano-di-salute e 
sano-di-mente,",sancire,sancire
74,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,DESCRIZIONE,ma credo che queste-cose facciano-bene psicologicamente,OPINIONE,OPINIONE
75,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,DESCRIZIONE,"non-ne-ho-con-ness 
",NON RISPOSTA,NON RISPOSTA
76,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,DESCRIZIONE,me-lo-hanno-detto i miei-amici,DESCRIZIONE,DESCRIZIONE
77,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,DESCRIZIONE,"mi e-stato-detto da-un-operatore, dai comp-di-cella 
",DESCRIZIONE,DESCRIZIONE
78,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,DESCRIZIONE,"xche-sono i benefici che si-hanno in-galera 
",sancire,COMMENTO
79,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,DESCRIZIONE,bene ,NON RISPOSTA,NON RISPOSTA
80,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,DESCRIZIONE,"partecipando alle lezioni-proposte scuola parlando, chiedendo-consig alle agenti, assistendo a tutte-le-attiv",DESCRIZIONE,DESCRIZIONE
81,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,DESCRIZIONE,i deten parlano,GENERALIZZAZIONE,sancire
82,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,DESCRIZIONE,dagli-altri-deten. ,DESCRIZIONE,DESCRIZIONE
83,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,DESCRIZIONE,l-ho-visti ,sancire,GENERALIZZAZIONE
84,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,DESCRIZIONE,dalla-direttrice ,DESCRIZIONE,DESCRIZIONE
85,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,DESCRIZIONE,"non sono mai-stata-carc, mi-sono-ammalata,
sono-paralizzata, vi prego scrivetemi subito 
",NON RISPOSTA,NON RISPOSTA
86,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,DESCRIZIONE,in-carc,GENERALIZZAZIONE,GENERALIZZAZIONE
87,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,DESCRIZIONE,"lo-so perche lo-sto-vivendo 
",sancire,GIUSTIFICAZIONE
88,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,DESCRIZIONE,"ho-letto sul-muro 
",DESCRIZIONE,GENERALIZZAZIONE
89,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,DESCRIZIONE,"tra-pop-deten si-parla-sempre 
dei-carc e i prob-che-esist sempre. 
",DESCRIZIONE,sancire
90,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,DESCRIZIONE,"ho-visto delle pers-hanno-pass
questa-esp 
",DESCRIZIONE,DESCRIZIONE
91,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,DESCRIZIONE,attr-tv e attr-gli-amici,DESCRIZIONE,DESCRIZIONE
92,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,DESCRIZIONE,ripeto che non-so-bene la legge-della-prig.,GIUSTIFICAZIONE,sancire
93,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,DESCRIZIONE,lav-all-est dell' istituto,NON RISPOSTA,NON RISPOSTA
94,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,DESCRIZIONE,ho-conosciuto le opport-trattam perche le-ho-capite,sancire,sancire
95,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,DESCRIZIONE,"ho-conosciuto opport dai-deten in-questa prigione,",DESCRIZIONE,DESCRIZIONE
96,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,DESCRIZIONE,"ho-seguito un-corso dentro 
l' istituto e ho-lavorato per-un-periodo determinato",DESCRIZIONE,DESCRIZIONE
97,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,DESCRIZIONE,"ho-conosciuto l' opport-trattam attr-aiutanti, e attr-resp presenti-qui",DESCRIZIONE,DESCRIZIONE
98,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,DESCRIZIONE,lav-all-int dell' istituto perche non-ho-ness qui-in-italia,NON RISPOSTA,NON RISPOSTA
99,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,DESCRIZIONE,lav-all-est dell' istituto per-regol-docum e garant-mio-futuro istruzione per-avere-un-esp l' attiv-culturale amo-la-cultura e amo-lo-sport chiedo-l-aiuto alle-pers-esterne,NON RISPOSTA,NON RISPOSTA
100,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,DESCRIZIONE,mi-hanno-detto,SPECIFICAZIONE,GENERALIZZAZIONE
101,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,DESCRIZIONE,"ho-appreso queste-info tr-tv, tr-assist-soc, tr-volontariato",NON RISPOSTA,DESCRIZIONE
102,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,DESCRIZIONE,mi-ha-detto qualcuno,GIUDIZIO,GENERALIZZAZIONE
103,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,DESCRIZIONE,sono da-poco-in-carc e quello-che-ho capito e xche-m-piac-leg e conosco uno-lavora-in-bibl,NON RISPOSTA,GIUSTIFICAZIONE
104,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,DESCRIZIONE,ho-fatto tanta-scuola qui-dentro alcune-cose che fanno nella-vita-norm io le-so-gia ma ci-vuole-del-tempo,NON RISPOSTA,sancire
105,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,DESCRIZIONE,"comp-di-cella 
",GIUDIZIO,DESCRIZIONE
106,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,DESCRIZIONE,"xche-lo-so queste-cose in-carc 
",GIUDIZIO,sancire
107,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,DESCRIZIONE,"xche-lo-so che queste-cose in-carc 
",COMMENTO,sancire
108,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,DESCRIZIONE,"con-la-pratica 
",COMMENTO,NON RISPOSTA
109,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,DESCRIZIONE,"dai propri-connazion e da-tv 
",DESCRIZIONE,DESCRIZIONE
110,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,DESCRIZIONE,con un avviso nella-sezione sono-riusc-a-sapere le seguenti opport-trattam,COMMENTO,DESCRIZIONE
111,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,DESCRIZIONE,ho-av-l-info da (amici),DESCRIZIONE,DESCRIZIONE
112,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,DESCRIZIONE,ho-visto dentro un-altro,SPECIFICAZIONE,NON RISPOSTA
113,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,DESCRIZIONE,ho-saputo da-altri-imputati,DESCRIZIONE,DESCRIZIONE
114,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,DESCRIZIONE,che sono-stati in-altri,COMMENTO,SPECIFICAZIONE
115,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,DESCRIZIONE,li-ho nei manifesti,GIUSTIFICAZIONE,DESCRIZIONE
116,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,DESCRIZIONE,tutti i trattam-rieduc che noi conosciamo possiamo-ringr al direttore del-carc,DESCRIZIONE,OPINIONE
117,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,DESCRIZIONE,"che si 
e sempre dimostrato molto int-al-beness di-noi,",sancire,sancire
118,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,DESCRIZIONE,"ed anche alla coll-person-peni
",DESCRIZIONE,SPECIFICAZIONE
119,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,DESCRIZIONE,perche e-molto-normale qui,GIUSTIFICAZIONE,GIUDIZIO
120,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,DESCRIZIONE,l' unico-cont che ho con-l-esterno sono le telefonate,DESCRIZIONE,NON RISPOSTA
121,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,DESCRIZIONE,"in-primo-luogo, l' unico-mezzo che ho per mantenere-il-cont con-mondo-esterno sono le lettere",DESCRIZIONE,NON RISPOSTA
122,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,DESCRIZIONE,attr le pers-gia-st-deten,NON RISPOSTA,DESCRIZIONE
123,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,DESCRIZIONE,le ho-conosciute attr-le-norme dell-istituto,NON RISPOSTA,DESCRIZIONE
124,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,DESCRIZIONE,"nell-ist-penit-spag seguivo-corso-univ
",NON RISPOSTA,DESCRIZIONE
125,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,DESCRIZIONE,dato-che l' universita un ed si-occupava di chi voleva seguire una carriera-universitaria,NON RISPOSTA,NON RISPOSTA
126,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,DESCRIZIONE,rapp-con-i-parenti sono molto importanti,NON RISPOSTA,GIUDIZIO
127,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,DESCRIZIONE,nel-mio-caso sono padre-di-5-piccoli-figli e in-spagna comunicavo-dir-loro,NON RISPOSTA,NON RISPOSTA
128,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,DESCRIZIONE,dato-che il carcere-era-fornito di telefoni-pubblici per cui parlavo tutti-i-giorni con-comp-mia-famig,NON RISPOSTA,NON RISPOSTA
129,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,DESCRIZIONE,cosa che qui-in-italia e-impossibile dovuto al sistema-repressivo e sistema-atavico che esiste attualmente sia per la comunicazione che per gli studi,NON RISPOSTA,GIUDIZIO
130,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,DESCRIZIONE,tra le tante-cose; tutto-ci? rende il trattam-rieduc-obsol,NON RISPOSTA,GIUDIZIO
131,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,DESCRIZIONE,"io ho-lavorato, vado-in-chiesa",NON RISPOSTA,NON RISPOSTA
132,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,DESCRIZIONE,"perche ho-frequentato le opport-trattam segnate, 
",DESCRIZIONE,DESCRIZIONE
133,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,DESCRIZIONE,"per-esempio: i colloqui, la chiesa, eccetera",SPECIFICAZIONE,SPECIFICAZIONE
134,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,DESCRIZIONE,alcune le ho-conosciute qui-dentro,DESCRIZIONE,DESCRIZIONE
