,TESTO DELLA DOMANDA,TESTO,DIVISIONE STRALCI SENIOR,DENOMINAZIONE
45,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,ho-av-l-info grazie-all' indicazione,,DESCRIZIONE
46,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,"qlch-xs-ne-ha-par xche-io le-ho-ancora-viste 
",,DESCRIZIONE
47,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,perche le-vedo-sempre,,SANCIRE LA REALTÀ
48,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,dentro-il-carc,,GENERALIZZAZIONE
49,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,non-lo-so,,SANCIRE LA REALTÀ
50,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,e gia un-mese-sono-qui,,NON RISPOSTA
51,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,"avevo gia disc-cn-mio-amic di-questo, era-nella-prig aveva gia avuto l' accesso
",,DESCRIZIONE
52,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,,,SPECIFICAZIONE
53,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,attr-i-deten,,DESCRIZIONE
54,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,ho-conosciuto domande xche-leggo dei libri,,DESCRIZIONE
55,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,"questa-vita la vivevo prima-d' entrare-in-prig 
",,NON RISPOSTA
56,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,non-lo-so ,,SANCIRE LA REALTÀ
57,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,"lav-all-int-d prigione e lavoravo-all-est della prigione perche avevo-la-forza, e fuori avevo-un-lavoro ma dopo non ci fu niente-da-fare",,NON RISPOSTA
58,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,il lav-all-est-della prigione,,NON RISPOSTA
59,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,"lavoro all-int-della prigione perche cosi-passa-il-tempo, ho rapp-con-la-famig scrivendo-lettere per-sap-lor-not in-partic mia mamma ",,NON RISPOSTA
60,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,,,NON RISPOSTA
61,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,ness-risposta perche non-ho-capito il significato,,GIUSTIFICAZIONE
62,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,la so questa domanda,,NON RISPOSTA
63,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,le sapevo queste-domande.,,NON RISPOSTA
64,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,non-rispondo perche non-capisco la domanda,,GIUSTIFICAZIONE
65,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,non-ho-ness-prob.,,NON RISPOSTA
66,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,"ho-conosciuto l' opport-trattam che ho-segnato nella-dom-prec perche ho-av-l-esp come-straniero per 
8-anni-in-liberta e in-carc e 30-anni-sono-passati della-mia-vita 
",,DESCRIZIONE
67,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,"dai deten-sono-con-me 
",,DESCRIZIONE
68,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,"attr-massmedia e attr-istituto a cui noi siamo in-affidamento 
",,DESCRIZIONE
69,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,l-ho-visto,,SANCIRE LA REALTÀ
70,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,"non-lo-so 
",,SANCIRE LA REALTÀ
71,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,"ho-conosciuto delle-opport di trat-rieduc dalla-massmedia, dall-istituto",,DESCRIZIONE
72,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,non-ho-ness-problema,,NON RISPOSTA
73,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,questa-vita la vivevo prima-d-entrare in-carc,,NON RISPOSTA
74,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,"ho-av-l-info tr-le-deten 
",,DESCRIZIONE
75,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,con il freq-altri-deten ,,DESCRIZIONE
76,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,attr gli agenti-penit,,DESCRIZIONE
77,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,"non-conosco-ness xche-io sono sano-di-salute e sano-di-mente, ma credo che queste-cose facciano-bene psicologicamente",,SANCIRE LA REALTÀ
78,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,,,OPINIONE
79,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,"non-ne-ho-con-ness 
",,NON RISPOSTA
80,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,me-lo-hanno-detto i miei-amici,,DESCRIZIONE
81,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,"mi e-stato-detto da-un-operatore, dai comp-di-cella 
",,DESCRIZIONE
82,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,"xche-sono i benefici che si-hanno in-galera 
",,SANCIRE LA REALTÀ
83,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,bene ,,NON RISPOSTA
84,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,"partecipando alle lezioni-proposte scuola parlando, chiedendo-consig alle agenti, assistendo a tutte-le-attiv",,DESCRIZIONE
85,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,i deten parlano,,GENERALIZZAZIONE
86,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,dagli-altri-deten. ,,DESCRIZIONE
87,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,l-ho-visti ,,SANCIRE LA REALTÀ
88,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,dalla-direttrice ,,DESCRIZIONE
89,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,"non sono mai-stata-carc, mi-sono-ammalata,
sono-paralizzata, vi prego scrivetemi subito 
",,NON RISPOSTA
90,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,in-carc,,GENERALIZZAZIONE
91,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,"lo-so perche lo-sto-vivendo 
",,SANCIRE LA REALTÀ
92,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,"ho-letto sul-muro 
",,DESCRIZIONE
93,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,"tra-pop-deten si-parla-sempre 
dei-carc e i prob-che-esist sempre. 
",,DESCRIZIONE
94,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,"ho-visto delle pers-hanno-pass
questa-esp 
",,DESCRIZIONE
95,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,attr-tv e attr-gli-amici,,DESCRIZIONE
96,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,ripeto che non-so-bene la legge-della-prig.,,GIUSTIFICAZIONE
97,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,lav-all-est dell' istituto,,NON RISPOSTA
98,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,ho-conosciuto le opport-trattam perche le-ho-capite,,SANCIRE LA REALTÀ
99,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,"ho-conosciuto opport dai-deten in-questa prigione, ho-seguito un-corso dentro l' istituto e ho-lavorato per-un-periodo determinato",,DESCRIZIONE
100,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,,,DESCRIZIONE
101,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,"ho-conosciuto l' opport-trattam attr-aiutanti, e attr-resp presenti-qui",,DESCRIZIONE
102,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,"lav-all-int dell' istituto perche non-ho-ness qui-in-italia
lav-all-est dell' istituto per-regol-docum e garant-mio-futuro istruzione per-avere-un-esp l' attiv-culturale amo-la-cultura e amo-lo-sport chiedo-l-aiuto alle-pers-esterne",,NON RISPOSTA
103,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,,,NON RISPOSTA
104,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,mi-hanno-detto,,SPECIFICAZIONE
105,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,"ho-appreso queste-info tr-tv, tr-assist-soc, tr-volontariato",,NON RISPOSTA
106,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,mi-ha-detto qualcuno,,GIUDIZIO
107,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,sono da-poco-in-carc e quello-che-ho capito e xche-m-piac-leg e conosco uno-lavora-in-bibl,,NON RISPOSTA
108,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,ho-fatto tanta-scuola qui-dentro alcune-cose che fanno nella-vita-norm io le-so-gia ma ci-vuole-del-tempo,,NON RISPOSTA
109,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,"comp-di-cella 
",,GIUDIZIO
110,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,"xche-lo-so queste-cose in-carc 
",,GIUDIZIO
111,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,"xche-lo-so che queste-cose in-carc 
",,COMMENTO
112,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,"con-la-pratica 
",,COMMENTO
113,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,"dai propri-connazion e da-tv 
",,DESCRIZIONE
114,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,con un avviso nella-sezione sono-riusc-a-sapere le seguenti opport-trattam,,COMMENTO
115,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,ho-av-l-info da (amici),,DESCRIZIONE
116,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,ho-visto dentro un-altro,,SPECIFICAZIONE
117,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,ho-saputo da-altri-imputati che sono-stati in-altri,,DESCRIZIONE
118,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,,,COMMENTO
119,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,li-ho nei manifesti,,GIUSTIFICAZIONE
120,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,"tutti i trattam-rieduc che noi conosciamo possiamo-ringr al direttore del-carc che si e sempre dimostrato molto int-al-beness di-noi, ed anche alla coll-person-peni",,DESCRIZIONE
121,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,,,SANCIRE LA REALTÀ
122,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,,,DESCRIZIONE
123,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,perche e-molto-normale qui,,GIUSTIFICAZIONE
124,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,l' unico-cont che ho con-l-esterno sono le telefonate,,DESCRIZIONE
125,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,"in-primo-luogo, l' unico-mezzo che ho per mantenere-il-cont con-mondo-esterno sono le lettere",,DESCRIZIONE
126,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,attr le pers-gia-st-deten,,NON RISPOSTA
127,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,le ho-conosciute attr-le-norme dell-istituto,,NON RISPOSTA
128,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,nell-ist-penit-spag seguivo-corso-univ dato-che l' universita un ed si-occupava di chi voleva seguire una carriera-universitaria rapp-con-i-parenti sono molto importanti nel-mio-caso sono padre-di-5-piccoli-figli e in-spagna comunicavo-dir-loro dato-che il carcere-era-fornito di telefoni-pubblici per cui parlavo tutti-i-giorni con-comp-mia-famig cosa che qui-in-italia e-impossibile dovuto al sistema-repressivo e sistema-atavico che esiste attualmente sia per la comunicazione che per gli studi tra le tante-cose; tutto-ci? rende il trattam-rieduc-obsol,nell-ist-penit-spag seguivo-corso-univ dato-che l' universita un ed si-occupava di chi voleva seguire una carriera-universitaria rapp-con-i-parenti sono molto importanti nel-mio-caso sono padre-di-5-piccoli-figli e in-spagna comunicavo-dir-loro dato-che il carcere-era-fornito di telefoni-pubblici per cui parlavo tutti-i-giorni con-comp-mia-famig cosa che qui-in-italia e-impossibile dovuto al sistema-repressivo e sistema-atavico che esiste attualmente sia per la comunicazione che per gli studi tra le tante-cose; tutto-ci? rende il trattam-rieduc-obsol,NON RISPOSTA
129,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,,,NON RISPOSTA
130,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,,,NON RISPOSTA
131,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,,,NON RISPOSTA
132,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,,,NON RISPOSTA
133,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,,,NON RISPOSTA
134,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,,,NON RISPOSTA
135,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,,,NON RISPOSTA
136,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,,,DESCRIZIONE
137,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,,,SPECIFICAZIONE
138,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,,,DESCRIZIONE
139,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,,,NON RISPOSTA
140,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,penso-che sia qualcosa di-molto buono e che almeno si-sa-che c-e-qualcuno-che si-preocc per chi e dentro-il-carc,penso-che sia qualcosa di-molto buono e che almeno si-sa-che c-e-qualcuno-che si-preocc per chi e dentro-il-carc,NON RISPOSTA
141,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,,,NON RISPOSTA
142,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,attr-altri-deten,,DESCRIZIONE
143,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,"attr-i-deten, gli avvocati e il person-del-carc",,DESCRIZIONE
144,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,"mantengo-relazione con-la-mia-famig attr-le-lettere; il tv-abb-in-cella
",,NON RISPOSTA
145,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,,,NON RISPOSTA
146,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,non so,,SANCIRE LA REALTÀ
147,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,"dopo-molto-tempo passato in-carc, sappiamo-tutto senza-te-ne-rend-con. con-la-bocca od con-orecchi","dopo-molto-tempo passato in-carc, sappiamo-tutto senza-te-ne-rend-con. con-la-bocca od con-orecchi",SANCIRE LA REALTÀ
148,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,,,SANCIRE LA REALTÀ
149,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,"l-ho-sent-dire in-giro 
",,DESCRIZIONE
150,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,"tr-operatori (soprattutto-educ) e comp-deten. tutto-il-person (direttore, comandante) e-molto-disponibile",,DESCRIZIONE
151,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,,,GIUDIZIO
152,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,"molta-assistenza da-parte-del-sert, nella-prig 
",,NON RISPOSTA
153,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,ho-conosc-info dalla completa-esp che ho-av all-est-della prigione e dagli studi-completi che ho-fatto,,DESCRIZIONE
154,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,"ho-conosc-info per-esp all-int-del carcere, gli-studi e le info che ho-av dai-deten 
",,DESCRIZIONE
155,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,"ho-ricevuto-info sull-assistenza della-prig e sugli-studi e le info dai-deten come me 
",,DESCRIZIONE
156,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,"ho-ricevuto-info sull-assistenza della-prig e sugli-studi e le info dai-deten come me 
",,DESCRIZIONE
157,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,"nel-centro-rieduc, da-varie-pers e tr-la-tv. 
",,DESCRIZIONE
158,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,ho-sent di pers-che-parlano,,GENERALIZZAZIONE
