,TESTO DELLA DOMANDA,TESTO,DIVISIONE STRALCIO JUNIOR,DENOMINAZIONE
10,Come descriverebbe un trattamento efficace?,,,
11,Come descriverebbe un trattamento efficace?,,,
12,Come descriverebbe un trattamento efficace?,,,
13,Come descriverebbe un trattamento efficace?,"in_grado_di rispondere_ai_bisogn primari dell' utente, di soddisfare le sue 
esigenze di reinserimento_social e di prevenire eventuali ricadute in 
comportamenti antisociali. 
","in_grado_di rispondere_ai_bisogn primari dell' utente, di soddisfare le sue 
esigenze di reinserimento_social e di prevenire eventuali ricadute in 
comportamenti antisociali. 
",PRESCRIZIONE
14,Come descriverebbe un trattamento efficace?,utile_per_la_popolaz detenuta,utile_per_la_popolaz detenuta,GENERALIZZAZIONE
15,Come descriverebbe un trattamento efficace?,"un_elemento necessario ed utile_al_reinserimen dei detenuti 
nella_vita_sociale
","un_elemento necessario ed utile_al_reinserimen dei detenuti 
nella_vita_sociale
",OPINIONE
16,Come descriverebbe un trattamento efficace?,per avere un trattamento efficace bisogna avere delle_strutture adeguate ai detenuti ristretti,"per avere un trattamento efficace bisogna avere delle_strutture adeguate ai detenuti ristretti
",COMMENTO
17,Come descriverebbe un trattamento efficace?,"capace di dare inizio ad un processo di rivisitazione critica del vissuto 
deviante; che permetta l' espressione delle potenzialità positive insite 
nel_soggetto e valorizzarle; capace di produrre un cambiamento di 
atteggiamento e di comportamento; capace di ricucire la frattura sociale 
dovuta alla commissione del reato
","capace di dare inizio ad un processo di rivisitazione critica del vissuto 
deviante; che permetta l' espressione delle potenzialità positive insite 
nel_soggetto e valorizzarle; capace di produrre un cambiamento di 
atteggiamento e di comportamento; capace di ricucire la frattura sociale 
dovuta alla commissione del reato
",VALUTAZIONE
18,Come descriverebbe un trattamento efficace?,il detenuto non delinqua più,il detenuto non delinqua più,PREVISIONE
19,Come descriverebbe un trattamento efficace?,un_trattamento dia almeno il 50% dei_risultati positivi,un_trattamento dia almeno il 50% dei_risultati positivi,PREVISIONE
20,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,importante,importante,GIUDIZIO
21,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,lavorare all-int dell' istituto,lavorare all-int dell' istituto,NON RISPOSTA
22,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,la-conosco xche-ho-usuf di questa-opport di trattam-ried,la-conosco xche-ho-usuf di questa-opport di trattam-ried,DESCRIZIONE
23,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,tr-l-educ,tr-l-educ,DESCRIZIONE
24,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,l-interno dell' istituto,l-interno dell' istituto,DESCRIZIONE
25,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,non-ho-capito,non-ho-capito,DERESPONSABILIZZAZIONE
26,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,quando-ero-malato,quando-ero-malato,NON RISPOSTA
27,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,attr la perman in-carc,attr la perman in-carc,DESCRIZIONE
28,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,attr la prec-perman in-carc,attr la prec-perman in-carc,DESCRIZIONE
29,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,tr noi-stessi,tr noi-stessi,DESCRIZIONE
30,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,dallo-scritto,dallo-scritto,DESCRIZIONE
31,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,dalle-lettere e dagli-altri-deten,dalle-lettere e dagli-altri-deten,DESCRIZIONE
32,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,"prima parlo con l' assist-sociale, e tutti qui-in-prig dicono che x-stran-e-imposs","prima parlo con l' assist-sociale, ",DERESPONSABILIZZAZIONE
33,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,,"e tutti qui-in-prig dicono che x-stran-e-imposs

",DERESPONSABILIZZAZIONE
34,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,dalle-lettere e dagli amici-di-un-altro,dalle-lettere e dagli amici-di-un-altro,DESCRIZIONE
35,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,"non-vedendoc-ben, ho-segnato tut-cio-si-dov-fa per il reinserimento di queste-pers; io perslmente, in-3anni-7mesi parlo-sol-cn-m-fam al telefono, dato che, per la situazione in cui si-trovano tutti i miei parenti, non-poss-ven-trov","non-vedendoc-ben, ho-segnato tut-cio-si-dov-fa per il reinserimento di queste-pers;",IMPLICAZIONI
36,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,,"io perslmente,",CONFERMA
37,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,,"in-3anni-7mesi parlo-sol-cn-m-fam al telefono, dato che, per la situazione in cui si-trovano tutti i miei parenti, non-poss-ven-trov",NON RISPOSTA
38,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,ho-av-l-info di-trattam-rieduc con-la-scuola e fatto con la speranza che mi-aiuta,ho-av-l-info di-trattam-rieduc con-la-scuola,DESCRIZIONE
39,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,,"e 
fatto con la speranza che mi-aiuta",OPINIONE
40,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,in una maniera-positiva,in una maniera-positiva,GIUDIZIO
41,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,le opport sono-tante per il trattam-rieduc la prigione uccide-l-anima interiormente la prigione uccide-l-anima interiormente,le opport sono-tante per il trattam-rieduc,COMMENTO
42,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,,"la prigione uccide-l-anima interiormente
",SANCIRE LA REALTÀ
43,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,,"se non ha ness in-partic-se-stran 
",OPINIONE
44,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,non-e-cosi-buono,non-e-cosi-buono,GIUDIZIO
45,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,ho-av-l-info grazie-all' indicazione,ho-av-l-info grazie-all' indicazione,DESCRIZIONE
46,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,"qlch-xs-ne-ha-par xche-io le-ho-ancora-viste 
","qlch-xs-ne-ha-par xche-io le-ho-ancora-viste 
",NON RISPOSTA
47,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,perche le-vedo-sempre,perche le-vedo-sempre,SANCIRE LA REALTÀ
48,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,dentro-il-carc,dentro-il-carc,DESCRIZIONE
49,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,non-lo-so,non-lo-so,SANCIRE LA REALTÀ
50,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,e gia un-mese-sono-qui,e gia un-mese-sono-qui,NON RISPOSTA
51,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,"avevo gia disc-cn-mio-amic di-questo, era-nella-prig aveva gia avuto l' accesso
","avevo gia disc-cn-mio-amic di-questo, 
",DESCRIZIONE
52,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,,era-nella-prig aveva gia avuto l' accesso,SPECIFICAZIONE
53,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,attr-i-deten,attr-i-deten,DESCRIZIONE
54,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,ho-conosciuto domande xche-leggo dei libri,ho-conosciuto domande xche-leggo dei libri,NON RISPOSTA
55,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,"questa-vita la vivevo prima-d' entrare-in-prig 
","questa-vita la vivevo prima-d' entrare-in-prig 
",NON RISPOSTA
56,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,non-lo-so ,non-lo-so ,SANCIRE LA REALTÀ
57,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,"lav-all-int-d prigione e lavoravo-all-est della prigione perche avevo-la-forza, e fuori avevo-un-lavoro ma dopo non ci fu niente-da-fare","lav-all-int-d prigione e lavoravo-all-est della prigione perche avevo-la-forza, e fuori avevo-un-lavoro ma dopo non ci fu niente-da-fare",NON RISPOSTA
58,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,il lav-all-est-della prigione,il lav-all-est-della prigione,NON RISPOSTA
59,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,"lavoro all-int-della prigione perche cosi-passa-il-tempo, ho rapp-con-la-famig scrivendo-lettere per-sap-lor-not in-partic mia mamma ","lavoro all-int-della prigione perche cosi-passa-il-tempo,",NON RISPOSTA
60,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,,"ho rapp-con-la-famig scrivendo-lettere per-sap-lor-not in-partic mia mamma 
",NON RISPOSTA
61,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,ness-risposta perche non-ho-capito il significato,ness-risposta perche non-ho-capito il significato,GIUSTIFICAZIONE
62,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,la so questa domanda,la so questa domanda,SANCIRE LA REALTÀ
63,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,le sapevo queste-domande.,le sapevo queste-domande.,SANCIRE LA REALTÀ
64,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,non-rispondo perche non-capisco la domanda,non-rispondo perche non-capisco la domanda,GIUSTIFICAZIONE
65,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,non-ho-ness-prob.,non-ho-ness-prob.,SANCIRE LA REALTÀ
66,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,"ho-conosciuto l' opport-trattam che ho-segnato nella-dom-prec perche ho-av-l-esp come-straniero per 
8-anni-in-liberta e in-carc e 30-anni-sono-passati della-mia-vita 
","ho-conosciuto l' opport-trattam che ho-segnato nella-dom-prec perche ho-av-l-esp come-straniero per 
8-anni-in-liberta e in-carc e 30-anni-sono-passati della-mia-vita 
",DESCRIZIONE
67,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,"dai deten-sono-con-me 
","dai deten-sono-con-me 
",DESCRIZIONE
68,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,"attr-massmedia e attr-istituto a cui noi siamo in-affidamento 
","attr-massmedia e attr-istituto a cui noi siamo in-affidamento 
",DESCRIZIONE
69,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,l-ho-visto,l-ho-visto,DESCRIZIONE
70,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,"non-lo-so 
","non-lo-so 
",SANCIRE LA REALTÀ
71,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,"ho-conosciuto delle-opport di trat-rieduc dalla-massmedia, dall-istituto","ho-conosciuto delle-opport di trat-rieduc dalla-massmedia, dall-istituto",DESCRIZIONE
72,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,non-ho-ness-problema,non-ho-ness-problema,NON RISPOSTA
73,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,questa-vita la vivevo prima-d-entrare in-carc,questa-vita la vivevo prima-d-entrare in-carc,NON RISPOSTA
74,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,"ho-av-l-info tr-le-deten 
","ho-av-l-info tr-le-deten 
",DESCRIZIONE
75,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,con il freq-altri-deten ,con il freq-altri-deten ,DESCRIZIONE
76,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,attr gli agenti-penit,attr gli agenti-penit,DESCRIZIONE
77,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,"non-conosco-ness xche-io sono sano-di-salute e sano-di-mente, ma credo che queste-cose facciano-bene psicologicamente","non-conosco-ness xche-io sono sano-di-salute e 
sano-di-mente,",SANCIRE LA REALTÀ
78,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,,ma credo che queste-cose facciano-bene psicologicamente,OPINIONE
79,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,"non-ne-ho-con-ness 
","non-ne-ho-con-ness 
",NON RISPOSTA
80,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,me-lo-hanno-detto i miei-amici,me-lo-hanno-detto i miei-amici,DESCRIZIONE
81,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,"mi e-stato-detto da-un-operatore, dai comp-di-cella 
","mi e-stato-detto da-un-operatore, dai comp-di-cella 
",DESCRIZIONE
82,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,"xche-sono i benefici che si-hanno in-galera 
","xche-sono i benefici che si-hanno in-galera 
",COMMENTO
83,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,bene ,bene ,NON RISPOSTA
84,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,"partecipando alle lezioni-proposte scuola parlando, chiedendo-consig alle agenti, assistendo a tutte-le-attiv","partecipando alle lezioni-proposte scuola parlando, chiedendo-consig alle agenti, assistendo a tutte-le-attiv",DESCRIZIONE
85,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,i deten parlano,i deten parlano,SANCIRE LA REALTÀ
86,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,dagli-altri-deten. ,dagli-altri-deten. ,DESCRIZIONE
87,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,l-ho-visti ,l-ho-visti ,GENERALIZZAZIONE
88,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,dalla-direttrice ,dalla-direttrice ,DESCRIZIONE
89,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,"non sono mai-stata-carc, mi-sono-ammalata,
sono-paralizzata, vi prego scrivetemi subito 
","non sono mai-stata-carc, mi-sono-ammalata,
sono-paralizzata, vi prego scrivetemi subito 
",NON RISPOSTA
90,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,in-carc,in-carc,GENERALIZZAZIONE
91,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,"lo-so perche lo-sto-vivendo 
","lo-so perche lo-sto-vivendo 
",GIUSTIFICAZIONE
92,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,"ho-letto sul-muro 
","ho-letto sul-muro 
",GENERALIZZAZIONE
93,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,"tra-pop-deten si-parla-sempre 
dei-carc e i prob-che-esist sempre. 
","tra-pop-deten si-parla-sempre 
dei-carc e i prob-che-esist sempre. 
",SANCIRE LA REALTÀ
94,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,"ho-visto delle pers-hanno-pass
questa-esp 
","ho-visto delle pers-hanno-pass
questa-esp 
",DESCRIZIONE
95,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,attr-tv e attr-gli-amici,attr-tv e attr-gli-amici,DESCRIZIONE
96,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,ripeto che non-so-bene la legge-della-prig.,ripeto che non-so-bene la legge-della-prig.,SANCIRE LA REALTÀ
97,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,lav-all-est dell' istituto,lav-all-est dell' istituto,NON RISPOSTA
98,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,ho-conosciuto le opport-trattam perche le-ho-capite,ho-conosciuto le opport-trattam perche le-ho-capite,SANCIRE LA REALTÀ
99,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,"ho-conosciuto opport dai-deten in-questa prigione, ho-seguito un-corso dentro l' istituto e ho-lavorato per-un-periodo determinato","ho-conosciuto opport dai-deten in-questa prigione,",DESCRIZIONE
100,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,,"ho-seguito un-corso dentro 
l' istituto e ho-lavorato per-un-periodo determinato",DESCRIZIONE
101,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,"ho-conosciuto l' opport-trattam attr-aiutanti, e attr-resp presenti-qui","ho-conosciuto l' opport-trattam attr-aiutanti, e attr-resp presenti-qui",DESCRIZIONE
102,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,"lav-all-int dell' istituto perche non-ho-ness qui-in-italia
lav-all-est dell' istituto per-regol-docum e garant-mio-futuro istruzione per-avere-un-esp l' attiv-culturale amo-la-cultura e amo-lo-sport chiedo-l-aiuto alle-pers-esterne",lav-all-int dell' istituto perche non-ho-ness qui-in-italia,NON RISPOSTA
103,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,,lav-all-est dell' istituto per-regol-docum e garant-mio-futuro istruzione per-avere-un-esp l' attiv-culturale amo-la-cultura e amo-lo-sport chiedo-l-aiuto alle-pers-esterne,NON RISPOSTA
104,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,mi-hanno-detto,mi-hanno-detto,GENERALIZZAZIONE
105,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,"ho-appreso queste-info tr-tv, tr-assist-soc, tr-volontariato","ho-appreso queste-info tr-tv, tr-assist-soc, tr-volontariato",DESCRIZIONE
106,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,mi-ha-detto qualcuno,mi-ha-detto qualcuno,GENERALIZZAZIONE
107,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,sono da-poco-in-carc e quello-che-ho capito e xche-m-piac-leg e conosco uno-lavora-in-bibl,sono da-poco-in-carc e quello-che-ho capito e xche-m-piac-leg e conosco uno-lavora-in-bibl,GIUSTIFICAZIONE
108,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,ho-fatto tanta-scuola qui-dentro alcune-cose che fanno nella-vita-norm io le-so-gia ma ci-vuole-del-tempo,ho-fatto tanta-scuola qui-dentro alcune-cose che fanno nella-vita-norm io le-so-gia ma ci-vuole-del-tempo,SANCIRE LA REALTÀ
109,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,"comp-di-cella 
","comp-di-cella 
",DESCRIZIONE
110,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,"xche-lo-so queste-cose in-carc 
","xche-lo-so queste-cose in-carc 
",SANCIRE LA REALTÀ
111,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,"xche-lo-so che queste-cose in-carc 
","xche-lo-so che queste-cose in-carc 
",SANCIRE LA REALTÀ
112,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,"con-la-pratica 
","con-la-pratica 
",NON RISPOSTA
113,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,"dai propri-connazion e da-tv 
","dai propri-connazion e da-tv 
",DESCRIZIONE
114,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,con un avviso nella-sezione sono-riusc-a-sapere le seguenti opport-trattam,con un avviso nella-sezione sono-riusc-a-sapere le seguenti opport-trattam,DESCRIZIONE
115,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,ho-av-l-info da (amici),ho-av-l-info da (amici),DESCRIZIONE
116,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,ho-visto dentro un-altro,ho-visto dentro un-altro,NON RISPOSTA
117,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,ho-saputo da-altri-imputati che sono-stati in-altri,ho-saputo da-altri-imputati,DESCRIZIONE
118,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,,che sono-stati in-altri,SPECIFICAZIONE
119,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,li-ho nei manifesti,li-ho nei manifesti,DESCRIZIONE
120,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,"tutti i trattam-rieduc che noi conosciamo possiamo-ringr al direttore del-carc che si e sempre dimostrato molto int-al-beness di-noi, ed anche alla coll-person-peni",tutti i trattam-rieduc che noi conosciamo possiamo-ringr al direttore del-carc,OPINIONE
121,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,,"che si 
e sempre dimostrato molto int-al-beness di-noi,",SANCIRE LA REALTÀ
122,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,,"ed anche alla coll-person-peni
",SPECIFICAZIONE
123,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,perche e-molto-normale qui,perche e-molto-normale qui,GIUDIZIO
124,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,l' unico-cont che ho con-l-esterno sono le telefonate,l' unico-cont che ho con-l-esterno sono le telefonate,NON RISPOSTA
125,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,"in-primo-luogo, l' unico-mezzo che ho per mantenere-il-cont con-mondo-esterno sono le lettere","in-primo-luogo, l' unico-mezzo che ho per mantenere-il-cont con-mondo-esterno sono le lettere",NON RISPOSTA
126,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,attr le pers-gia-st-deten,attr le pers-gia-st-deten,DESCRIZIONE
127,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,le ho-conosciute attr-le-norme dell-istituto,le ho-conosciute attr-le-norme dell-istituto,DESCRIZIONE
