,Unnamed: 0,Unnamed: 0.1,Question,QRep,Answer,Rep,Skill,Dataset,p,MacroCat,text,label,label2,is_valid,set_tag,is_test
10,10,10,Come ti descriveresti prima di entrare in carcere?,Descrizione,calma equilibrata ,descrizione,J,Mix,"('green', 0, 1)",green,calma equilibrata ,green,descrizione,False,0,False
11,11,11,"Se la risposta data alla domanda precedente è per nulla efficaci/poco efficaci o efficaci/molto efficaci, ci potrebbe indicare le ragioni della sua scelta?",Descrizione,"per le integrazione delle persone in
societ…
 ",generalizzazione,J,Mix,"('red', 3, 1)",red,"per le integrazione delle persone in
societ…
 ",red,generalizzazione,False,0,False
12,12,12,"Per sviluppare le competenze che il suo ruolo richiede, in che modo l’Amministrazione Penitenziaria fornisce occasioni che reputa efficaci rispetto agli obiettivi e alle competenze previste dal suo ruolo?",Descrizione,anche se questi corsi intervengono di fatto dopo la informazione diretta sul campo sono pertanto strumenti di flessione ,ridimensionamento,J,Mix,"('red',1,0)",red,anche se questi corsi intervengono di fatto dopo la informazione diretta sul campo sono pertanto strumenti di flessione ,red,ridimensionamento,False,0,False
13,13,13,Come descriverebbe una persona che “gode di salute”?,Descrizione,patetica attiva ,giudizio,J,Mix,"('red', 3, 1)",red,patetica attiva ,red,giudizio,False,0,False
14,14,14,"In quanto persona straniera detenuta, come pensa che un operatore dell’area socio-sanitaria di sesso diverso dal suo la descriverebbe?",Descrizione,fanno temp loro lavi ,generalizzazione,J,Mix,"('red', 3, 1)",red,fanno temp loro lavi ,red,generalizzazione,False,0,False
15,15,15,Come descriverebbe le opportunità di trattamento rieducativo a cui può accedere una persona Detenuta?,Descrizione,il detenuto dopo una selezione e puo svolgere qualsiasi tipo di attivita sia lavorava che di hobbistica e sportiva e ,descrizione,J,Mix,"('green', 0, 1)",green,il detenuto dopo una selezione e puo svolgere qualsiasi tipo di attivita sia lavorava che di hobbistica e sportiva e ,green,descrizione,False,0,False
16,16,16,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,Descrizione,seguo la scuola ,descrizione,J,Mix,"('green', 0, 1)",green,seguo la scuola ,green,descrizione,False,0,False
17,17,17,Immagini di essere stato trasferito in un nuovo Istituto di pena. Dopo alcuni giorni dal suo arrivo pensa: “la popolazione detenuta italiana e straniera di questo Istituto è integrata”. Che cosa le permette di pensarlo?,Descrizione,prima di dare un giudizio preferisco conoscerla la situazione ,giustificazione,J,Mix,"('red', 4, 1)",red,prima di dare un giudizio preferisco conoscerla la situazione ,red,giustificazione,False,0,False
18,18,18,Come ti descriveresti prima di entrare in carcere?,Descrizione,teoricamente sta girando questa idea ma nella pratica si stanno facendo passi indietro verso una ietta riparazione tra custodia e trattamento e ,confronto,J,Mix,"('red', 6, 4)",red,teoricamente sta girando questa idea ma nella pratica si stanno facendo passi indietro verso una ietta riparazione tra custodia e trattamento e ,red,confronto,False,0,False
19,19,19,Quali sono le azioni che vengono intraprese per la presa in carico della persona straniera detenuta tenendo anche in considerazione l’attività svolta dai ser.t?,Descrizione,contata sent appare iniziale contatto come tara e ,descrizione,J,Mix,"('green', 0, 1)",green,contata sent appare iniziale contatto come tara e ,green,descrizione,False,0,False
20,20,20,Come descriverebbe una persona che ha commesso lo stesso reato che è stato imputato anche a lei?,Descrizione,cattivo ,giudizio,J,Mix,"('red', 3, 1)",red,cattivo ,red,giudizio,False,0,False
21,21,21,Come descriverebbe una persona che ha commesso lo stesso reato che è stato imputato anche a lei?,Descrizione,che e un'ingiustizia ,commento,J,Mix,"('red', 3, 1)",red,che e un'ingiustizia ,red,commento,False,0,False
22,22,22,"Secondo lei, quali altre iniziative
potrebbero facilitare l’integrazione fra la popolazione detenuta italiana e straniera?",Descrizione,non mi interessa ,non_risposta,J,Mix,"('red', 3, 1)",red,non mi interessa ,red,non_risposta,False,0,False
23,23,23,Come descriverebbe una persona che “gode di salute”?,Descrizione,fortunata ,giudizio,J,Mix,"('red', 3, 1)",red,fortunata ,red,giudizio,False,0,False
24,24,24,"Se la risposta data alla risposta precedente è per nulla efficaci/poco efficaci 0 efficaci/molto efficaci, ci potrebbe indicare le ragioni della sua scelta?",Descrizione,il numero di offerte e il numero dei detenuti pacifica le offerta stessa personale specifico oberato e frustrato limitazioni orari ,giudizio,J,Mix,"('red', 3, 1)",red,il numero di offerte e il numero dei detenuti pacifica le offerta stessa personale specifico oberato e frustrato limitazioni orari ,red,giudizio,False,0,False
25,25,25,"Se la risposta data alla domanda precedente è per nulla efficaci/poco efficaci o efficaci/molto efficaci, ci potrebbe indicare le ragioni della sua scelta?",Descrizione,"le opportunita del tratte rieducativo
non e sufficiente ",giudizio,J,Mix,"('red', 3, 1)",red,"le opportunita del tratte rieducativo
non e sufficiente ",red,giudizio,False,0,False
26,26,26,Come ti descriverai una volta uscito dal carcere?,Descrizione,tornare da mia moglie ,descrizione,J,Mix,"('green', 0, 1)",green,tornare da mia moglie ,green,descrizione,False,0,False
27,27,27,"Secondo lei, quali altre iniziative
potrebbero facilitare l’integrazione fra la popolazione detenuta italiana e straniera?",Descrizione,bisogna fare sezioni ed aree diverse ,prescrizione,J,Mix,"('yellow', 4, 4)",yellow,bisogna fare sezioni ed aree diverse ,yellow,prescrizione,False,0,False
28,28,28,"Per sviluppare le competenze che il suo ruolo richiede, in che modo l’Amministrazione Penitenziaria fornisce occasioni che reputa efficaci rispetto agli obiettivi e alle competenze previste dal suo ruolo?",Descrizione,sembrano comunque ancora interventi coordinati e senza applicazione immediata ,opinione,J,Mix,"('red', 5, 3)",red,sembrano comunque ancora interventi coordinati e senza applicazione immediata ,red,opinione,False,0,False
29,29,29,"Per sviluppare le competenze che il suo ruolo richiede, in che modo l’Amministrazione Penitenziaria fornisce occasioni che reputa efficaci rispetto agli obiettivi e alle competenze previste dal suo ruolo?",Descrizione,le amministrazione penitenziaria fornisce poche occasioni per sviluppare competenze che il mio ruolo richiede e ,conferma,J,Mix,"('red', 2, 1)",red,le amministrazione penitenziaria fornisce poche occasioni per sviluppare competenze che il mio ruolo richiede e ,red,conferma,False,0,False
30,30,30,"Come si descrive come consumatore di sostanze legali (ad esempio alcol, psicofarmaci)?",Descrizione,mi sento un io calmo ,giudizio,J,Mix,"('red', 3, 1)",red,mi sento un io calmo ,red,giudizio,False,0,False
31,31,31,"Secondo lei, quali altre iniziative
potrebbero facilitare l’integrazione fra la popolazione detenuta italiana e straniera?",Descrizione,non ci sono casi di discriminazione ,commento,J,Mix,"('red', 3, 1)",red,non ci sono casi di discriminazione ,red,commento,False,0,False
32,32,32,"Per sviluppare le competenze che il suo ruolo richiede, in che modo l’Amministrazione Penitenziaria fornisce occasioni che reputa efficaci rispetto agli obiettivi e alle competenze previste dal suo ruolo?",Descrizione,anche se e impossibile che eccedano tutti ,ridimensionamento,J,Mix,"('red',1,0)",red,anche se e impossibile che eccedano tutti ,red,ridimensionamento,False,0,False
33,33,33,come descriverebbe le opportunità di trattamento rieducativo a cui può accedere in quanto persona detenuta?,Descrizione,lo descrivi veramente bene ,giudizio,J,Mix,"('red', 3, 1)",red,lo descrivi veramente bene ,red,giudizio,False,0,False
34,34,34,Come descriverebbe una persona che ha commesso lo stesso reato che è stato imputato anche a lei?,Descrizione,pia era povero ,giudizio,J,Mix,"('red', 3, 1)",red,pia era povero ,red,giudizio,False,0,False
35,35,35,"Se la risposta data alla domanda precedente è per nulla efficaci/poco efficaci o efficaci/molto efficaci, ci potrebbe indicare le ragioni della sua scelta?",Descrizione,la risposta non e utile ,non_risposta,J,Mix,"('red', 3, 1)",red,la risposta non e utile ,red,non_risposta,False,0,False
36,36,36,Immagini di essere stato trasferito in un nuovo Istituto di pena. Dopo alcuni giorni dal suo arrivo pensa: “la popolazione detenuta italiana e straniera di questo Istituto è integrata”. Che cosa le permette di pensarlo?,Descrizione,il fatto che possano andare tutti a scuola e possiamo conoscerci ,descrizione,J,Mix,"('green', 0, 1)",green,il fatto che possano andare tutti a scuola e possiamo conoscerci ,green,descrizione,False,0,False
37,37,37,"Secondo lei, quali altre iniziative
potrebbero facilitare l’integrazione fra la popolazione detenuta italiana e straniera?",Descrizione,non saprei ,non_risposta,J,Mix,"('red', 3, 1)",red,non saprei ,red,non_risposta,False,0,False
38,38,38,"Come si descrive come consumatore di sostanze legali (ad esempio alcol, psicofarmaci)?",Descrizione,non consumo ,non_risposta,J,Mix,"('red', 3, 1)",red,non consumo ,red,non_risposta,False,0,False
39,39,39,Come ti descriveresti prima di entrare in carcere?,Descrizione,una persona pero sono umano e bravo ,giustificazione,J,Mix,"('red', 4, 1)",red,una persona pero sono umano e bravo ,red,giustificazione,False,0,False
40,40,40,Come ti descriveresti prima di entrare in carcere?,Descrizione,non avevo avuto a che fare con la giustizia ,giustificazione,J,Mix,"('red', 4, 1)",red,non avevo avuto a che fare con la giustizia ,red,giustificazione,False,0,False
41,41,41,"Per sviluppare le competenze che il suo ruolo richiede, in che modo l’Amministrazione Penitenziaria fornisce occasioni che reputa efficaci rispetto agli obiettivi e alle competenze previste dal suo ruolo?",Descrizione,posso dire che a distanza di sei anni e mezzo dallo assunzione da ottima infermiera sono ora una caporali che ha a che fare solo con fatture computer e ricattare e scatole di medicina ,commento,J,Mix,"('red', 3, 1)",red,posso dire che a distanza di sei anni e mezzo dallo assunzione da ottima infermiera sono ora una caporali che ha a che fare solo con fatture computer e ricattare e scatole di medicina ,red,commento,False,0,False
42,42,42,Immagini di essere stato trasferito in un nuovo Istituto di pena. Dopo alcuni giorni dal suo arrivo pensa: “la popolazione detenuta italiana e straniera di questo Istituto è integrata”. Che cosa le permette di pensarlo?,Descrizione,non mi riesce pensare ,non_risposta,J,Mix,"('red', 3, 1)",red,non mi riesce pensare ,red,non_risposta,False,0,False
43,43,43,come descriverebbe le opportunità di trattamento rieducativo a cui può accedere in quanto persona detenuta?,Descrizione,senza commento ,generalizzazione,J,Mix,"('red', 3, 1)",red,senza commento ,red,generalizzazione,False,0,False
44,44,44,Come descriverebbe una persona che “gode di salute”?,Descrizione,"che vive in buona
che ha una buona percezione bisogni ",giudizio,J,Mix,"('red', 3, 1)",red,"che vive in buona
che ha una buona percezione bisogni ",red,giudizio,False,0,False
45,45,45,"Se dovesse stabilire dei criteri per valutare la qualità di ciò che può offrire un Istituto di pena, quali elementi prenderebbe in considerazione ?",Descrizione,possibilità di fare il bagno ,giudizio,J,Mix,"('red', 3, 1)",red,possibilità di fare il bagno ,red,giudizio,False,0,False
46,46,46,Quali sono le azioni che vengono intraprese per la presa in carico della persona straniera detenuta tenendo anche in considerazione l’attività svolta dai ser.t?,Descrizione,riescono a metterlo sulla buona strada e rieducarlo ,commento,J,Mix,"('red', 3, 1)",red,riescono a metterlo sulla buona strada e rieducarlo ,red,commento,False,0,False
47,47,47,Come descriverebbe un trattamento efficace?,Descrizione,come ad esempio lavoro scuola attivita fisica eccitera ecciterai ,prescrizione,J,Mix,"('yellow', 4, 4)",yellow,come ad esempio lavoro scuola attivita fisica eccitera ecciterai ,yellow,prescrizione,False,0,False
48,48,48,Immagini di essere stato trasferito in un nuovo Istituto di pena. Dopo alcuni giorni dal suo arrivo pensa: “la popolazione detenuta italiana e straniera di questo Istituto è integrata”. Che cosa le permette di pensarlo?,Descrizione,no dubito che ritornando alla conoscenza di alcune tenie per il reato cerco i mimi conterranno e ston ,commento,J,Mix,"('red', 3, 1)",red,no dubito che ritornando alla conoscenza di alcune tenie per il reato cerco i mimi conterranno e ston ,red,commento,False,0,False
49,49,49,Se dovesse stabilire dei criteri per valutare la qualità di ciò che può offrire un istituto di pena quali elementi prenderebbe in considerazione?,Descrizione,rispetto regolamento ,sancire,J,Mix,"('red', 1, 0)",red,rispetto regolamento ,red,sancire,False,0,False
50,50,50,Come ti descriveresti prima di entrare in carcere?,Descrizione,e sempre la stessa e ,sancire,J,Mix,"('red', 1, 0)",red,e sempre la stessa e ,red,sancire,False,0,False
51,51,51,Immagini di essere stato trasferito in un nuovo Istituto di pena. Dopo alcuni giorni dal suo arrivo pensa: “la popolazione detenuta italiana e straniera di questo Istituto è integrata”. Che cosa le permette di pensarlo?,Descrizione,dal fatto che vedo buona socializzazione tra le detenute ,giudizio,J,Mix,"('red', 3, 1)",red,dal fatto che vedo buona socializzazione tra le detenute ,red,giudizio,False,0,False
52,52,52,Come ti descriveresti prima di entrare in carcere?,Descrizione,non lo so e perche non vorrei dare o descrivere me stesso e sarei apocrifa ,ridimensionamento,J,Mix,"('red',1,0)",red,non lo so e perche non vorrei dare o descrivere me stesso e sarei apocrifa ,red,ridimensionamento,False,0,False
53,53,53,Se dovesse stabilire dei criteri per valutare la qualità di ciò che può offrire un istituto di pena quali elementi prenderebbe in considerazione?,Descrizione,verifiche periodiche sulla operativit… da parte di personale adeguato super parte ,prescrizione,J,Mix,"('yellow', 4, 4)",yellow,verifiche periodiche sulla operativit… da parte di personale adeguato super parte ,yellow,prescrizione,False,0,False
54,54,54,Come descriverebbe una persona che “gode di salute”?,Descrizione,una persona manifesti uno stato di benessere che psichico ,giudizio,J,Mix,"('red', 3, 1)",red,una persona manifesti uno stato di benessere che psichico ,red,giudizio,False,0,False
55,55,55,Come ti descriverai una volta uscito dal carcere?,Descrizione,quando uscire la lunga strada spinata che devo correre con un peso ululato durante questa prigioni ,generalizzazione,J,Mix,"('red', 3, 1)",red,quando uscire la lunga strada spinata che devo correre con un peso ululato durante questa prigioni ,red,generalizzazione,False,0,False
56,56,56,"Secondo lei, quali altre iniziative
potrebbero facilitare l’integrazione fra la popolazione detenuta italiana e straniera?",Descrizione,al momento non potrei rispondere ,non_risposta,J,Mix,"('red', 3, 1)",red,al momento non potrei rispondere ,red,non_risposta,False,0,False
57,57,57,Come descriverebbe una persona che “gode di salute”?,Descrizione,che sta bene ,giudizio,J,Mix,"('red', 3, 1)",red,che sta bene ,red,giudizio,False,0,False
58,58,58,Come ti descriverai una volta uscito dal carcere?,Descrizione,quando uscire mi descrivi che andrà a lavorare ,descrizione,J,Mix,"('green', 0, 1)",green,quando uscire mi descrivi che andrà a lavorare ,green,descrizione,True,1,False
59,59,59,Come descriverebbe una persona che ha commesso lo stesso reato che è stato imputato anche a lei?,Descrizione,uno scemo ,giudizio,J,Mix,"('red', 3, 1)",red,uno scemo ,red,giudizio,False,0,False
60,60,60,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,Descrizione,dalle altre peter ,descrizione,J,Mix,"('green', 0, 1)",green,dalle altre peter ,green,descrizione,False,0,False
61,61,61,Come ti descriveresti prima di entrare in carcere?,Descrizione,io stavo bene perche avevo la libertà e stavo con mia famiglia ,causa,J,Mix,"('red', 2, 1)",red,io stavo bene perche avevo la libertà e stavo con mia famiglia ,red,causa,False,0,False
62,62,62,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,Descrizione,la psicologa e ,generalizzazione,J,Mix,"('red', 3, 1)",red,la psicologa e ,red,generalizzazione,False,0,False
63,63,63,Come descriverebbe le opportunità di trattamento rieducativo a cui può accedere in quanto persona deternuta?,Descrizione,svolgendo un lavoro sociorinsementale con personale qualificai ,giudizio,J,Mix,"('red', 3, 1)",red,svolgendo un lavoro sociorinsementale con personale qualificai ,red,giudizio,False,0,False
64,64,64,Come ti descriveresti prima di entrare in carcere?,Descrizione,molto bene e non ho che sarei entrata in carcere e non ho fatto niente e mi sembra strano essere qui ,commento,J,Mix,"('red', 3, 1)",red,molto bene e non ho che sarei entrata in carcere e non ho fatto niente e mi sembra strano essere qui ,red,commento,False,0,False
65,65,65,Quali sono le azioni che vengono intraprese per la presa in carico della persona straniera detenuta tenendo anche in considerazione l’attività svolta dai ser.t?,Descrizione,registrazione in agricola e successivamente allo tuff educati e ,generalizzazione,J,Mix,"('red', 3, 1)",red,registrazione in agricola e successivamente allo tuff educati e ,red,generalizzazione,False,0,False
66,66,66,Immagini di essere stato trasferito in un nuovo Istituto di pena. Dopo alcuni giorni dal suo arrivo pensa: “la popolazione detenuta italiana e straniera di questo Istituto è integrata”. Che cosa le permette di pensarlo?,Descrizione,seno altro le aiuto che si e disponibili a dare ,sancire,J,Mix,"('red', 1, 0)",red,seno altro le aiuto che si e disponibili a dare ,red,sancire,False,0,False
67,67,67,"Se dovesse stabilire dei criteri per valutare la qualità di ciò che può offrire un Istituto di pena, quali elementi prenderebbe in considerazione ?",Descrizione,vitto attivita sportive medico ,giudizio,J,Mix,"('red', 3, 1)",red,vitto attivita sportive medico ,red,giudizio,True,1,False
68,68,68,Come descriverebbe una persona che ha commesso lo stesso reato che è stato imputato anche a lei?,Descrizione,mi dispiace ,commento,J,Mix,"('red', 3, 1)",red,mi dispiace ,red,commento,False,0,False
69,69,69,Come descriverebbe una persona che ha commesso lo stesso reato che è stato imputato anche a lei?,Descrizione,e una persona ci ha pensato due volte su prima di compiere quel reato ,sancire,J,Mix,"('red', 1, 0)",red,e una persona ci ha pensato due volte su prima di compiere quel reato ,red,sancire,False,0,False
70,70,70,"Per sviluppare le competenze che il suo ruolo richiede, in che modo l’Amministrazione Penitenziaria fornisce occasioni che reputa efficaci rispetto agli obiettivi e alle competenze previste dal suo ruolo?",Descrizione,per cui si da fiorita ai compiti essenziali e ,implicazione,J,Mix,"('red', 9, 7)",red,per cui si da fiorita ai compiti essenziali e ,red,implicazione,False,0,False
71,71,71,Come descriverebbe una persona che “gode di salute”?,Descrizione,una persona attiva ,giudizio,J,Mix,"('red', 3, 1)",red,una persona attiva ,red,giudizio,False,0,False
72,72,72,Come descriverebbe una persona che “gode di salute”?,Descrizione,serena pulita cordiale ,giudizio,J,Mix,"('red', 3, 1)",red,serena pulita cordiale ,red,giudizio,False,0,False
73,73,73,Come descriverebbe una persona che “gode di salute”?,Descrizione,persona che vive in piena armonia il proprio corpo e con ambiente incostante ,giudizio,J,Mix,"('red', 3, 1)",red,persona che vive in piena armonia il proprio corpo e con ambiente incostante ,red,giudizio,False,0,False
74,74,74,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,Descrizione,penso che sia qualcosa di molto buono ,non_risposta,J,Mix,"('red', 3, 1)",red,penso che sia qualcosa di molto buono ,red,non_risposta,False,0,False
75,75,75,"Secondo lei, quali altre iniziative
potrebbero facilitare l’integrazione fra la popolazione detenuta italiana e straniera?",Descrizione,non e possibile ,sancire,J,Mix,"('red', 1, 0)",red,non e possibile ,red,sancire,False,0,False
76,76,76,come descriverebbe le opportunità di trattamento rieducativo a cui può accedere in quanto persona detenuta?,Descrizione,cosi cosi perche mi fanno sgobbare e mi pagano poco ,valutazione,J,Mix,"('yellow', 5, 5)",yellow,cosi cosi perche mi fanno sgobbare e mi pagano poco ,yellow,valutazione,True,1,False
77,77,77,Come descriverebbe una persona che ha commesso lo stesso reato che è stato imputato anche a lei?,Descrizione,sfortunata ,giudizio,J,Mix,"('red', 3, 1)",red,sfortunata ,red,giudizio,False,0,False
78,78,78,Come descriverebbe una persona che ha commesso lo stesso reato che è stato imputato anche a lei?,Descrizione,bisogna approfondire su certe cose essere superficie ,non_risposta,J,Mix,"('red', 3, 1)",red,bisogna approfondire su certe cose essere superficie ,red,non_risposta,False,0,False
79,79,79,"Secondo lei, quali altre iniziative
potrebbero facilitare l’integrazione fra la popolazione detenuta italiana e straniera?",Descrizione,facilitano il dialogo con dei corsi di lingua stranierai ,specificazione,J,Mix,"('yellow', 1, 1)",yellow,facilitano il dialogo con dei corsi di lingua stranierai ,yellow,specificazione,False,0,False
80,80,80,"In quanto persona straniera detenuta, come pensa che un operatore dell’area socio-sanitaria di sesso diverso dal suo la descriverebbe?",Descrizione,credo che essendo io per loro isolo un numero gli un differente e ,opinione,J,Mix,"('red', 5, 3)",red,credo che essendo io per loro isolo un numero gli un differente e ,red,opinione,False,0,False
81,81,81,"Se dovesse stabilire dei criteri per valutare la qualità di ciò che può offrire un Istituto di pena, quali elementi prenderebbe in considerazione ?",Descrizione,e poter girare sper il carcere ,commento,J,Mix,"('red', 3, 1)",red,e poter girare sper il carcere ,red,commento,False,0,False
82,82,82,Come descriverebbe una persona che “gode di salute”?,Descrizione,no antologie fisiche gravi e da situazioni psichiche che condiziono la sua autonoma e libertà di pensiero ,giudizio,J,Mix,"('red', 3, 1)",red,no antologie fisiche gravi e da situazioni psichiche che condiziono la sua autonoma e libertà di pensiero ,red,giudizio,False,0,False
83,83,83,Come ti descriveresti prima di entrare in carcere?,Descrizione,sono stato un uomo felice e ho sbagliato e spero dio che questo sbaglio e il primo e le ultimo ,valutazione,J,Mix,"('yellow', 5, 5)",yellow,sono stato un uomo felice e ho sbagliato e spero dio che questo sbaglio e il primo e le ultimo ,yellow,valutazione,False,0,False
84,84,84,"Se la risposta data alla domanda precedente è per nulla efficaci/poco efficaci o efficaci/molto efficaci, ci potrebbe indicare le ragioni della sua scelta?",Descrizione,"la mia scelta quando faccio una bella cosa
per me stesso e cosi io mi sento bene perle altre ",non_risposta,J,Mix,"('red', 3, 1)",red,"la mia scelta quando faccio una bella cosa
per me stesso e cosi io mi sento bene perle altre ",red,non_risposta,False,0,False
85,85,85,Come descriverebbe una persona che “gode di salute”?,Descrizione,una persona che sente soddisfatte i bisogni in rapporto a tali disagi bisogni di curai di ascolto di scelta di espressione personale di benessere ,giudizio,J,Mix,"('red', 3, 1)",red,una persona che sente soddisfatte i bisogni in rapporto a tali disagi bisogni di curai di ascolto di scelta di espressione personale di benessere ,red,giudizio,False,0,False
86,86,86,"Come si descrive come consumatore di sostanze legali (ad esempio alcol, psicofarmaci)?",Descrizione,una persona vuole scapp cosa rea ,generalizzazione,J,Mix,"('red', 3, 1)",red,una persona vuole scapp cosa rea ,red,generalizzazione,False,0,False
87,87,87,Come descriverebbe una persona che “gode di salute”?,Descrizione,che fisicamente e formalmente sta bene ,giudizio,J,Mix,"('red', 3, 1)",red,che fisicamente e formalmente sta bene ,red,giudizio,False,0,False
88,88,88,come descriverebbe le opportunità di trattamento rieducativo a cui può accedere in quanto persona detenuta?,Descrizione,lavoro e scuola e imparare qualche mestiere ,descrizione,J,Mix,"('green', 0, 1)",green,lavoro e scuola e imparare qualche mestiere ,green,descrizione,False,0,False
89,89,89,Come ti descriveresti prima di entrare in carcere?,Descrizione,a me mi sembrava che tutto quello che facevo andava bene ,opinione,J,Mix,"('red', 5, 3)",red,a me mi sembrava che tutto quello che facevo andava bene ,red,opinione,False,0,False
90,90,90,Come descriverebbe una persona che “gode di salute”?,Descrizione,una persona che fisicamente e psicologicamente e sana ,giudizio,J,Mix,"('red', 3, 1)",red,una persona che fisicamente e psicologicamente e sana ,red,giudizio,False,0,False
91,91,91,"Secondo lei, quali altre iniziative
potrebbero facilitare l’integrazione fra la popolazione detenuta italiana e straniera?",Descrizione,nessuna ,sancire,J,Mix,"('red', 1, 0)",red,nessuna ,red,sancire,True,1,False
92,92,92,"Se la risposta data alla domanda precedente è per nulla efficaci/poco efficaci o efficaci/molto efficaci, ci potrebbe indicare le ragioni della sua scelta?",Descrizione,"il tratte rieducativo molto efficace serve
per preparare una persona per una
imminente uscita nella societ ",prescrizione,J,Mix,"('yellow', 4, 4)",yellow,"il tratte rieducativo molto efficace serve
per preparare una persona per una
imminente uscita nella societ ",yellow,prescrizione,False,0,False
93,93,93,Come descriverebbe una persona che ha commesso lo stesso reato che è stato imputato anche a lei?,Descrizione,tutti possiamo cadere non e per il tipo di persona ,sancire,J,Mix,"('red', 1, 0)",red,tutti possiamo cadere non e per il tipo di persona ,red,sancire,True,1,False
94,94,94,Quali sono le azioni che vengono intraprese per la presa in carico della persona straniera detenuta tenendo anche in considerazione l’attività svolta dai ser.t?,Descrizione,non seguo questi ,giustificazione,J,Mix,"('red', 4, 1)",red,non seguo questi ,red,giustificazione,False,0,False
95,95,95,"Come si descrive come consumatore di sostanze legali (ad esempio alcol, psicofarmaci)?",Descrizione,"mi diverso all inizio poi dopo tre tiri di cocaina ti arrabbi ma all inizio mi aiuta a dimenticare
perché pensi chi aiuta menio non dipendo da queste sostanze pero ",contrapposizione,J,Mix,"('red', 6, 4)",red,"mi diverso all inizio poi dopo tre tiri di cocaina ti arrabbi ma all inizio mi aiuta a dimenticare
perché pensi chi aiuta menio non dipendo da queste sostanze pero ",red,contrapposizione,False,0,False
96,96,96,"Se la risposta data alla domanda precedente è per nulla efficaci/poco efficaci o efficaci/molto efficaci, ci potrebbe indicare le ragioni della sua scelta?",Descrizione,"perche anche se le opportunita ci sono onice lo permettono di beneficiarne
 ",deresponsabilizzazione,J,Mix,"('red',4,2)",red,"perche anche se le opportunita ci sono onice lo permettono di beneficiarne
 ",red,deresponsabilizzazione,False,0,False
