,index,Unnamed: 0,Question,QRep,Answer,Rep,Skill,Dataset,p,MacroCat,text,label,label2,is_valid,set_tag,is_test
18,18,8,Come descriverebbe una persona con diagnosi di depressione?,descrizione,"come una persona indifesa, inutile, incapace di affrontare la routine quotidiana, come una fallita, stanca della vita e di continuare, o cercare di continuare avanti.",giudizio,J,Mix,"('red', 3, 1)",red,"come una persona indifesa, inutile, incapace di affrontare la routine quotidiana, come una fallita, stanca della vita e di continuare, o cercare di continuare avanti.",red,giudizio,True,2,True
19,19,9,Come descriverebbe le REMS?,descrizione,"Partire dal paziente, dal tipo di disturbo di cui è affetto, dalla sua consapevolezza di malattia e dalle aspettative,",descrizione,J,Mix,"('green', 0, 1)",green,"Partire dal paziente, dal tipo di disturbo di cui è affetto, dalla sua consapevolezza di malattia e dalle aspettative,",green,descrizione,True,2,True
20,20,9,Come descriverebbe le REMS?,descrizione,trovando compromessi che gli permettano il reinserimento in famiglia o sul territorio di appartenenza.,riferimento_obiettivo,J,Mix,"('green', 5, 6)",green,trovando compromessi che gli permettano il reinserimento in famiglia o sul territorio di appartenenza.,green,riferimento_obiettivo,True,2,True
21,21,9,Come descriverebbe le REMS?,descrizione,"Importanti sono le riunioni di equipe che permettono il confronto tra noi operatori, dove intervenire, su quale obiettivo lavorare in quel periodo per quel paziente.",specificazione,J,Mix,"('yellow', 1, 1)",yellow,"Importanti sono le riunioni di equipe che permettono il confronto tra noi operatori, dove intervenire, su quale obiettivo lavorare in quel periodo per quel paziente.",yellow,specificazione,True,2,True
22,22,10,Come descriverebbe una persona con diagnosi di depressione?,descrizione,"grigia, con grande paura di tutto.",giudizio,J,Mix,"('red', 3, 1)",red,"grigia, con grande paura di tutto.",red,giudizio,True,2,True
23,23,10,Come descriverebbe una persona con diagnosi di depressione?,descrizione,"Senza forze, senza voglia di uscire e di vedere nessuno. Con voglia che questo finisca, e di smettere di chiedere perdono. Senza speranze per il futuro. Pensa che nessuno la comprenda, né che sappia quanto doloroso è quello che sta vivendo. Vuole solo stare sola, senza sentire la forte necessità di fare e non potere, desidera che la lascino tranquilla e riposare. Desidera poter dormire, non stare sempre allerta",descrizione,J,Mix,"('green', 0, 1)",green,"Senza forze, senza voglia di uscire e di vedere nessuno. Con voglia che questo finisca, e di smettere di chiedere perdono. Senza speranze per il futuro. Pensa che nessuno la comprenda, né che sappia quanto doloroso è quello che sta vivendo. Vuole solo stare sola, senza sentire la forte necessità di fare e non potere, desidera che la lascino tranquilla e riposare. Desidera poter dormire, non stare sempre allerta",green,descrizione,True,2,True
24,24,10,Come descriverebbe una persona con diagnosi di depressione?,descrizione,"Pensa che non potrà tornare ad essere la stessa, nonostante non lo ricorda come positivo",previsione,J,Mix,"('red', 5, 4)",red,"Pensa che non potrà tornare ad essere la stessa, nonostante non lo ricorda come positivo",red,previsione,True,2,True
25,25,10,Come descriverebbe una persona con diagnosi di depressione?,descrizione,A volte pensa che sparire sarebbe una soluzione per smettere di soffrire.,possibilita,J,Mix,"('yellow', 2, 2)",yellow,A volte pensa che sparire sarebbe una soluzione per smettere di soffrire.,yellow,possibilita,True,2,True
26,26,11,Come descriverebbe un utente dei servizi psichiatrici?,descrizione,penso che non terminerò mai i trattamenti psicoterapeutici,commento,J,Mix,"('red', 3, 1)",red,penso che non terminerò mai i trattamenti psicoterapeutici,red,commento,True,2,True
27,27,12,Come descriverebbe il terrorismo?,descrizione,"La futura situazione terroristica la immagino come una situazione non diversa da quella attuale. In quanto le cose non possono cambiare se e soltanto i nostri governanti  continuano soltanto a prendere misure di sicurezza senza risolvere il problema alla matrice, il problema che sta alla base dell’ intera questione.",sancire,J,Mix,"('red', 1, 0)",red,"La futura situazione terroristica la immagino come una situazione non diversa da quella attuale. In quanto le cose non possono cambiare se e soltanto i nostri governanti  continuano soltanto a prendere misure di sicurezza senza risolvere il problema alla matrice, il problema che sta alla base dell’ intera questione.",red,sancire,True,2,True
28,28,13,Come descriverebbe un paziente oncologico operato per neoplasia?,descrizione,"Ballerina, non sarei tranquilla per dare una risposta esatta",giudizio,J,Mix,"('red', 3, 1)",red,"Ballerina, non sarei tranquilla per dare una risposta esatta",red,giudizio,True,2,True
29,29,14,Come descriverebbe un paziente oncologico operato per neoplasia?,descrizione,"Con serenità, con la pacatezza che gli è tipica,",giudizio,J,Mix,"('red', 3, 1)",red,"Con serenità, con la pacatezza che gli è tipica,",red,giudizio,True,2,True
30,30,14,Come descriverebbe un paziente oncologico operato per neoplasia?,descrizione,saprebbe anche cambiare visione delle cose senza lamentarsi,possibilita,J,Mix,"('yellow', 2, 2)",yellow,saprebbe anche cambiare visione delle cose senza lamentarsi,yellow,possibilita,True,2,True
31,31,15,Come descriverebbe un paziente oncologico operato per neoplasia?,descrizione,Speriamo bene,opinione,J,Mix,"('red', 5, 3)",red,Speriamo bene,red,opinione,True,2,True
32,32,16,Come descriverebbe un utente dei servizi psichiatrici?,descrizione,"normale come tutti, tranne quando sono un po' depresso, è raro.",confronto,J,Mix,"('red', 6, 4)",red,"normale come tutti, tranne quando sono un po' depresso, è raro.",red,confronto,True,2,True
33,33,17,Come descriverebbe i possibili interventi clinico-assistenziali?,descrizione,Per agire su queste IMPLICAZIONE io ho trovato utile informarmi il più possibile sulle condizioni di mio figlio e sulle sue POSSIBILITA,opinione,J,Mix,"('red', 5, 3)",red,Per agire su queste IMPLICAZIONE io ho trovato utile informarmi il più possibile sulle condizioni di mio figlio e sulle sue POSSIBILITA,red,opinione,True,2,True
34,34,17,Come descriverebbe i possibili interventi clinico-assistenziali?,descrizione,"ma anche confrontarmi con altre famiglie che hanno o no vissuto questa esperienza perché il confronto mi dà modo di riflettere sul mio modo di agire come genitore e di ""aggiustare il tiro"" quando mi accorgo di seguire la direzione sbagliata.",valutazione,J,Mix,"('yellow', 5, 5)",yellow,"ma anche confrontarmi con altre famiglie che hanno o no vissuto questa esperienza perché il confronto mi dà modo di riflettere sul mio modo di agire come genitore e di ""aggiustare il tiro"" quando mi accorgo di seguire la direzione sbagliata.",yellow,valutazione,True,2,True
35,35,17,Come descriverebbe i possibili interventi clinico-assistenziali?,descrizione,Un'altra cosa utile è la sensibilizzazione e l'informazione verso persone che non conoscono la storia di questi ragazzi.,giudizio,J,Mix,"('red', 3, 1)",red,Un'altra cosa utile è la sensibilizzazione e l'informazione verso persone che non conoscono la storia di questi ragazzi.,red,giudizio,True,2,True
36,36,18,Come descriverebbe una persona con diagnosi di depressione?,descrizione,la persona è triste e depressa. Non è felice.,giudizio,J,Mix,"('red', 3, 1)",red,la persona è triste e depressa. Non è felice.,red,giudizio,True,2,True
37,37,19,Come descriverebbe una persona entro un percorso in REMS?,descrizione,Vita ricca di alti e bassi. ,sancire,J,Mix,"('red', 1, 0)",red,Vita ricca di alti e bassi. ,red,sancire,True,2,True
38,38,20,Come descriverebbe una persona detenuta?,descrizione,"Non frequentare più le vecchie amicizie, stando lontano da posti in cui c'è un rischio, e vivere e accontettarsi di quello che si ha senza cercare di strafare per avere quello che non si può",riferimento_obiettivo,J,Mix,"('green', 5, 6)",green,"Non frequentare più le vecchie amicizie, stando lontano da posti in cui c'è un rischio, e vivere e accontettarsi di quello che si ha senza cercare di strafare per avere quello che non si può",green,riferimento_obiettivo,True,2,True
39,39,21,Come descriverebbe una persona con diagnosi di depressione?,descrizione,"si descriverebbe in maniera totalmente negativa: ""mi sento inutile, infelice, non servo a niente, nessuno mi vuole"".",giudizio,J,Mix,"('red', 3, 1)",red,"si descriverebbe in maniera totalmente negativa: ""mi sento inutile, infelice, non servo a niente, nessuno mi vuole"".",red,giudizio,True,2,True
40,40,22,Come descriverebbe un utente dei servizi psichiatrici?,descrizione,non capivano il mio forte disagio all'inizio mi sono stati vicino,commento,J,Mix,"('red', 3, 1)",red,non capivano il mio forte disagio all'inizio mi sono stati vicino,red,commento,True,2,True
41,41,23,Come descriverebbe una persona che si laurea  in psicologia?,descrizione,"fortunatamente negli ultimi anni la psicologia si è aperta trasversalmente alle aziende ed alla sanità, offrendo un panorama di contesti e utenti piu vasto di 10 anni fa",possibilita,J,Mix,"('yellow', 2, 2)",yellow,"fortunatamente negli ultimi anni la psicologia si è aperta trasversalmente alle aziende ed alla sanità, offrendo un panorama di contesti e utenti piu vasto di 10 anni fa",yellow,possibilita,True,2,True
42,42,24,Come descriverebbe i possibili interventi clinico-assistenziali?,descrizione,Come genitore penso che la cosa migliore sarebbe avere vicino la famiglia e gli amici ma anche avere altri genitori con cui confrontarmi.,sancire,J,Mix,"('red', 1, 0)",red,Come genitore penso che la cosa migliore sarebbe avere vicino la famiglia e gli amici ma anche avere altri genitori con cui confrontarmi.,red,sancire,True,2,True
43,43,25,Come descriverebbe una persona detenuta?,descrizione,Sicuramente ho imparato ad avere fiducia in me stesso e negli altri e non agire di impulso,sancire,J,Mix,"('red', 1, 0)",red,Sicuramente ho imparato ad avere fiducia in me stesso e negli altri e non agire di impulso,red,sancire,True,2,True
44,44,26,Come descriverebbe una violenza sessuale?,descrizione,"gli elementi che mi portano a riconoscere la violenza sessuale sono appunto tutti quegli atti legati strettamente alla sfera sessuale, dalla palpata al seno al bacio rubato con uso della forza passando dalla fellatio o penetrazione.",descrizione,J,Mix,"('green', 0, 1)",green,"gli elementi che mi portano a riconoscere la violenza sessuale sono appunto tutti quegli atti legati strettamente alla sfera sessuale, dalla palpata al seno al bacio rubato con uso della forza passando dalla fellatio o penetrazione.",green,descrizione,True,2,True
45,45,27,Come descriverebbe una violenza sessuale?,descrizione,"Ci portava a dormire fuori in campeggio o in campagna dalla madre,",non_risposta,J,Mix,"('red', 3, 1)",red,"Ci portava a dormire fuori in campeggio o in campagna dalla madre,",red,non_risposta,True,2,True
46,46,27,Come descriverebbe una violenza sessuale?,descrizione," ci accorgemmo presto però che per lui erano uscite piuttosto macabre quelle.  Per lui era l'occasione ideale per rimanere solo con i ragazzi, avvicinarli e poi molestarli. ",sancire,J,Mix,"('red', 1, 0)",red," ci accorgemmo presto però che per lui erano uscite piuttosto macabre quelle.  Per lui era l'occasione ideale per rimanere solo con i ragazzi, avvicinarli e poi molestarli. ",red,sancire,True,2,True
47,47,27,Come descriverebbe una violenza sessuale?,descrizione,Io don nello e altri due miei coetanei  andammo in una casa con una scusa mi attirò nella stanza in cui dormiva e iniziò a toccarmi e dopodichè abusò di me. Mise la mia mano sul suo pene iniziò a toccare il mio...mi masturbò e e dopodichè mi lascò andare. ,descrizione,J,Mix,"('green', 0, 1)",green,Io don nello e altri due miei coetanei  andammo in una casa con una scusa mi attirò nella stanza in cui dormiva e iniziò a toccarmi e dopodichè abusò di me. Mise la mia mano sul suo pene iniziò a toccare il mio...mi masturbò e e dopodichè mi lascò andare. ,green,descrizione,True,2,True
48,48,27,Come descriverebbe una violenza sessuale?,descrizione," Ero mortificato cercavo di rimuovere l'accaduto, mi fidvo di lui non avrei mai pensato che un uomo  di Chiesa potesse fare qualcosa di male. Avevo vergogna paura che qualcuno capisse. ",sancire,J,Mix,"('red', 1, 0)",red," Ero mortificato cercavo di rimuovere l'accaduto, mi fidvo di lui non avrei mai pensato che un uomo  di Chiesa potesse fare qualcosa di male. Avevo vergogna paura che qualcuno capisse. ",red,sancire,True,2,True
49,49,27,Come descriverebbe una violenza sessuale?,descrizione,"Dopo lui si è comportato normalmente come tutti i giorni facendo l'occhiolino a colazione. Poi iniziò ad essere anche abbastanza spudorato con noi,",giudizio,J,Mix,"('red', 3, 1)",red,"Dopo lui si è comportato normalmente come tutti i giorni facendo l'occhiolino a colazione. Poi iniziò ad essere anche abbastanza spudorato con noi,",red,giudizio,True,2,True
50,50,27,Come descriverebbe una violenza sessuale?,descrizione,ovvero tutte le volte che vedevo sparire un ragazzino era perchè faceva qiuello che aveva fatto a noi. ,specificazione,J,Mix,"('yellow', 1, 1)",yellow,ovvero tutte le volte che vedevo sparire un ragazzino era perchè faceva qiuello che aveva fatto a noi. ,yellow,specificazione,True,2,True
51,51,27,Come descriverebbe una violenza sessuale?,descrizione," Inizialmente usava la scusa che aveva  il pene molto piccolo e voleva vedere i nostri che erano più grossi, poi purtroppo finiva in abusi sessuali. ",giudizio,J,Mix,"('red', 3, 1)",red," Inizialmente usava la scusa che aveva  il pene molto piccolo e voleva vedere i nostri che erano più grossi, poi purtroppo finiva in abusi sessuali. ",red,giudizio,True,2,True
52,52,27,Come descriverebbe una violenza sessuale?,descrizione,"Quando era in preda a questi momenti diventava cattivo violento, era come posseduto da un istinto irrefrenabile quindi...ero un ragazzino.  Qualche volta sono riuscito a respingerlo, poi te la faceva pagare dal lato psicologico, non ti guardava più per qualche giorno, ti faceva sentire solo e abbandonato. ",sancire,J,Mix,"('red', 1, 0)",red,"Quando era in preda a questi momenti diventava cattivo violento, era come posseduto da un istinto irrefrenabile quindi...ero un ragazzino.  Qualche volta sono riuscito a respingerlo, poi te la faceva pagare dal lato psicologico, non ti guardava più per qualche giorno, ti faceva sentire solo e abbandonato. ",red,sancire,True,2,True
53,53,27,Come descriverebbe una violenza sessuale?,descrizione,Cercava di conquistarci con quelle piccole cose che magari la famiglia ci faceva mancare. Un giorno addirittura organizzò la mia festa di compleanno. Io mi sono sentito importante perchè mi aveva fatto questa festa poi purtroppo dopo la festa volle qualcosa in cambio. ,descrizione,J,Mix,"('green', 0, 1)",green,Cercava di conquistarci con quelle piccole cose che magari la famiglia ci faceva mancare. Un giorno addirittura organizzò la mia festa di compleanno. Io mi sono sentito importante perchè mi aveva fatto questa festa poi purtroppo dopo la festa volle qualcosa in cambio. ,green,descrizione,True,2,True
54,54,28,Come descriverebbe gli aspetti critici del territorio e della comunità?,descrizione,1) sono causa di difficoltà economiche e sociali per molte famiglie,causa,J,Mix,"('red', 2, 1)",red,1) sono causa di difficoltà economiche e sociali per molte famiglie,red,causa,True,2,True
55,55,29,Come descriverebbe gli aspetti critici del territorio e della comunità?,descrizione,perché lo constato nella difficoltà di svolgere le nostre attività in mancanza di luoghi adeguati. ,giustificazione,J,Mix,"('red', 4, 1)",red,perché lo constato nella difficoltà di svolgere le nostre attività in mancanza di luoghi adeguati. ,red,giustificazione,True,2,True
56,56,30,Come descriverebbe un utente dei servizi psichiatrici?,descrizione,non lo so,non_risposta,J,Mix,"('red', 3, 1)",red,non lo so,red,non_risposta,True,2,True
57,57,31,Come descriverebbe una persona che ha fatto esperienza di una cardiopatia congenita?,descrizione,Troppo apprensivo e sfortunato.,giudizio,J,Mix,"('red', 3, 1)",red,Troppo apprensivo e sfortunato.,red,giudizio,True,2,True
58,58,32,Come descriverebbe una persona detenuta?,descrizione,"Vivere una vita con la mia famiglia, ",sancire,J,Mix,"('red', 1, 0)",red,"Vivere una vita con la mia famiglia, ",red,sancire,True,2,True
59,59,32,Come descriverebbe una persona detenuta?,descrizione, in modo onesto e trasparente,giudizio,J,Mix,"('red', 3, 1)",red, in modo onesto e trasparente,red,giudizio,True,2,True
60,60,32,Come descriverebbe una persona detenuta?,descrizione,e soprattutto continuare a crescere con i miei figli e imparare loro come non fare i stessi sbagli,conferma,J,Mix,"('red', 2, 1)",red,e soprattutto continuare a crescere con i miei figli e imparare loro come non fare i stessi sbagli,red,conferma,True,2,True
61,61,33,Come descriverebbe il terrorismo?,descrizione,"Secondo me è un movimento di persone di religione islamica che, non sentendosi più rappresentate da uno stato, cercano di creare e far parte di un gruppo che costituisca una propria identità in maniera opposta all’Occidente. ",opinione,J,Mix,"('red', 5, 3)",red,"Secondo me è un movimento di persone di religione islamica che, non sentendosi più rappresentate da uno stato, cercano di creare e far parte di un gruppo che costituisca una propria identità in maniera opposta all’Occidente. ",red,opinione,True,2,True
62,62,33,Come descriverebbe il terrorismo?,descrizione,La guerra contro l’Occidente è solo un modo per affermare la propria Identità.,sancire,J,Mix,"('red', 1, 0)",red,La guerra contro l’Occidente è solo un modo per affermare la propria Identità.,red,sancire,True,2,True
63,63,34,Come descriverebbe la gestione delle attività di un paziente oncologico post-operazione?,descrizione,Non ho proprio idea.,non_risposta,J,Mix,"('red', 3, 1)",red,Non ho proprio idea.,red,non_risposta,True,2,True
64,64,35,Come descriverebbe il ruolo di Professore di psicologia?,descrizione,"sollecitando a fare pratica, sfruttando i momenti messi a disposizione nei laboratori",descrizione,J,Mix,"('green', 0, 1)",green,"sollecitando a fare pratica, sfruttando i momenti messi a disposizione nei laboratori",green,descrizione,True,2,True
65,65,36,Come descriverebbe i possibili interventi clinico-assistenziali?,descrizione,"Secondo me dipende da chi ci si trova davanti, o si lascia passare la cosa senza dare troppo peso o si cerca di spiegare chi è un genitore di figlio cardiopatico.",opinione,J,Mix,"('red', 5, 3)",red,"Secondo me dipende da chi ci si trova davanti, o si lascia passare la cosa senza dare troppo peso o si cerca di spiegare chi è un genitore di figlio cardiopatico.",red,opinione,True,2,True
66,66,37,Come descriverebbe un paziente oncologico operato per neoplasia?,descrizione,Sensazione.,sancire,J,Mix,"('red', 1, 0)",red,Sensazione.,red,sancire,True,2,True
67,67,38,Come descriverebbe una persona con diagnosi di depressione?,descrizione,Una persona con diagnosi di depressione ha presentato per almeno due settimane una sintomatologia specifica tale da compromettere il suo funzionamento,descrizione,J,Mix,"('green', 0, 1)",green,Una persona con diagnosi di depressione ha presentato per almeno due settimane una sintomatologia specifica tale da compromettere il suo funzionamento,green,descrizione,True,2,True
68,68,38,Come descriverebbe una persona con diagnosi di depressione?,descrizione,"in diverse aree della vita, ad esempio nel lavoro, famiglia, relazioni sociali ecc.",specificazione,J,Mix,"('yellow', 1, 1)",yellow,"in diverse aree della vita, ad esempio nel lavoro, famiglia, relazioni sociali ecc.",yellow,specificazione,True,2,True
69,69,38,Come descriverebbe una persona con diagnosi di depressione?,descrizione,I sintomi sono principalmente un tono d’umore depresso per la maggior parte del giorno quasi ogni giorno.,descrizione,J,Mix,"('green', 0, 1)",green,I sintomi sono principalmente un tono d’umore depresso per la maggior parte del giorno quasi ogni giorno.,green,descrizione,True,2,True
70,70,38,Come descriverebbe una persona con diagnosi di depressione?,descrizione,e la mancanza di interesse per attività che prima erano considerate piacevoli.,confronto,J,Mix,"('red', 6, 4)",red,e la mancanza di interesse per attività che prima erano considerate piacevoli.,red,confronto,True,2,True
71,71,38,Come descriverebbe una persona con diagnosi di depressione?,descrizione,La persona quindi può arrivare a ritirarsi dalle interazioni sociali ed evitare in generale le relazioni,implicazione,J,Mix,"('red', 9, 7)",red,La persona quindi può arrivare a ritirarsi dalle interazioni sociali ed evitare in generale le relazioni,red,implicazione,True,2,True
72,72,38,Come descriverebbe una persona con diagnosi di depressione?,descrizione,Rispetto al futuro si sente senza speranza e può avere difficoltà nell’affrontare i problemi e le attività di ogni giorno a causa di una scarsa reattività e motivazione.,causa,J,Mix,"('red', 2, 1)",red,Rispetto al futuro si sente senza speranza e può avere difficoltà nell’affrontare i problemi e le attività di ogni giorno a causa di una scarsa reattività e motivazione.,red,causa,True,2,True
73,73,38,Come descriverebbe una persona con diagnosi di depressione?,descrizione,A livello personale presenta una tendenza a svalutarsi e una bassa autostima.,descrizione,J,Mix,"('green', 0, 1)",green,A livello personale presenta una tendenza a svalutarsi e una bassa autostima.,green,descrizione,True,2,True
74,74,38,Come descriverebbe una persona con diagnosi di depressione?,descrizione,Possono presentarsi cambiamenti nel ritmo sonno veglia e nell’appetito,possibilita,J,Mix,"('yellow', 2, 2)",yellow,Possono presentarsi cambiamenti nel ritmo sonno veglia e nell’appetito,yellow,possibilita,True,2,True
75,75,39,Come descriverebbe il luogo in cui abita?,descrizione,Come un quartiere vivo pieno di iniziative e di interventi,giudizio,J,Mix,"('red', 3, 1)",red,Come un quartiere vivo pieno di iniziative e di interventi,red,giudizio,True,2,True
76,76,40,Come descriverebbe una violenza sessuale?,descrizione,Il ruolo di colei che si ritrova costretta a subire delle offese a sfondo sessuale ed impotente non riuscendo a reagire.,descrizione,J,Mix,"('green', 0, 1)",green,Il ruolo di colei che si ritrova costretta a subire delle offese a sfondo sessuale ed impotente non riuscendo a reagire.,green,descrizione,True,2,True
77,77,41,Come descriverebbe gli aspetti critici del territorio e della comunità?,descrizione,"Bel territorio, ",giudizio,J,Mix,"('red', 3, 1)",red,"Bel territorio, ",red,giudizio,True,2,True
78,78,41,Come descriverebbe gli aspetti critici del territorio e della comunità?,descrizione,"ma serve una politica di valorizzazione della città, che ne limiti lo sviluppo e migliori l'esistente",prescrizione,J,Mix,"('yellow', 4, 4)",yellow,"ma serve una politica di valorizzazione della città, che ne limiti lo sviluppo e migliori l'esistente",yellow,prescrizione,True,2,True
79,79,42,Come descriverebbe un utente dei servizi psichiatrici?,descrizione,"Consultori famigliari, , Continuità Assistenziale ( guardia medica ), Servizi sanitari di tipo preventivo,
 Servizio di Igiene degli Alimenti e della Nutrizione ( SIAN )",sancire,J,Mix,"('red', 1, 0)",red,"Consultori famigliari, , Continuità Assistenziale ( guardia medica ), Servizi sanitari di tipo preventivo,
 Servizio di Igiene degli Alimenti e della Nutrizione ( SIAN )",red,sancire,True,2,True
80,80,43,Come descriverebbe una persona che “vive in salute”?,descrizione,aprirmi un po' di più con gli altri,dichiarazione_intenti,J,Mix,"('red', 5, 4)",red,aprirmi un po' di più con gli altri,red,dichiarazione_intenti,True,2,True
81,81,44,Come descriverebbe i possibili interventi clinico-assistenziali?,descrizione,"Io credo che la cosa più importante sia appunto intanto non…cioè riconoscere le difficoltà, la sofferenza che c’è,",giudizio,J,Mix,"('red', 3, 1)",red,"Io credo che la cosa più importante sia appunto intanto non…cioè riconoscere le difficoltà, la sofferenza che c’è,",red,giudizio,True,2,True
