,d,t
505,1,10
506,15,6
507,5,10
508,5,7
509,17,10
510,10,7
511,7,10
512,22,21
513,7,21
514,13,6
515,7,13
516,21,23
517,21,21
518,6,21
519,21,16
520,13,7
521,13,6
522,13,14
523,13,10
524,9,21
525,13,14
526,7,21
527,13,1
528,10,10
529,7,21
530,7,4
531,7,14
532,3,11
533,9,21
534,13,16
535,7,1
536,13,2
537,7,7
538,7,7
539,11,7
540,10,7
541,10,7
542,7,12
543,9,7
544,21,7
545,20,10
546,10,4
547,13,7
548,11,21
549,7,13
550,20,10
551,13,21
552,9,14
553,12,1
554,22,3
555,7,2
556,3,7
557,9,2
558,16,21
559,4,9
560,2,21
561,2,2
562,2,7
563,10,10
564,2,10
565,23,11
566,16,21
567,2,15
568,19,21
569,19,21
570,17,2
571,7,21
572,2,16
573,5,10
574,5,22
575,9,21
576,14,22
577,9,2
578,21,9
579,16,15
580,16,21
581,5,12
582,7,10
583,7,10
584,1,2
585,13,18
586,3,10
587,11,8
588,12,10
589,12,6
590,5,21
591,13,21
592,20,8
593,21,21
594,21,17
595,13,13
596,7,21
597,7,21
598,21,0
599,16,21
600,23,7
601,7,4
602,3,21
603,22,7
604,23,14
605,23,6
606,3,21
607,1,21
608,7,9
609,5,21
610,9,1
611,7,21
612,5,7
613,7,6
614,4,7
615,9,23
616,5,2
617,13,13
618,7,22
619,4,22
620,5,7
621,5,22
622,5,10
623,4,10
624,5,7
625,13,21
626,13,14
627,13,10
628,21,22
629,13,7
630,7,15
631,22,21
632,5,2
633,5,2
634,21,2
635,19,16
636,19,15
637,19,16
638,7,21
639,13,21
640,21,15
641,5,2
642,7,16
643,5,14
644,5,2
645,5,10
646,7,10
647,7,22
648,4,4
649,13,21
650,22,12
651,5,11
652,22,21
653,9,14
654,4,21
655,2,14
656,5,7
657,5,21
658,5,15
659,21,22
660,9,11
661,4,7
662,7,7
663,22,7
664,7,7
665,3,20
666,13,7
667,5,10
668,13,23
669,7,13
670,7,1
671,3,7
672,5,14
673,7,7
674,7,17
675,13,7
676,7,10
677,7,10
678,9,17
679,3,21
680,7,10
681,13,21
682,13,17
683,7,13
684,21,23
685,3,11
686,4,10
687,5,7
688,21,9
689,23,10
690,4,9
691,3,21
692,9,2
693,5,2
694,22,10
695,5,7
696,2,10
697,21,10
698,22,21
699,9,16
700,7,10
701,7,21
702,9,7
703,3,7
704,5,21
705,5,7
706,4,21
707,7,22
708,21,15
709,21,21
710,7,10
711,22,23
712,3,7
713,5,22
714,7,10
715,3,22
716,5,12
717,4,7
718,7,22
719,4,10
720,5,14
721,4,14
722,7,7
723,22,14
724,7,7
725,13,7
726,4,13
727,21,1
728,9,7
729,1,21
730,4,21
731,13,7
732,22,10
733,4,21
734,9,7
735,9,21
736,21,10
737,1,2
738,6,21
739,5,21
740,4,6
741,22,22
742,5,7
743,9,7
744,21,21
745,7,10
746,5,7
747,4,6
748,9,10
749,5,11
750,21,21
751,22,23
752,7,12
753,22,7
754,21,9
755,21,2
756,5,23
757,21,21
758,3,8
759,21,23
760,7,17
761,7,2
762,21,14
763,21,2
764,21,14
765,7,23
766,5,10
767,4,21
768,4,7
769,22,20
770,19,2
771,22,1
772,19,3
773,5,1
774,7,3
775,21,7
776,9,22
777,22,16
778,9,22
779,5,21
780,21,1
781,9,6
782,7,21
783,7,9
784,5,10
785,5,10
786,22,7
787,7,1
788,5,7
789,9,10
790,9,7
791,7,21
792,5,7
793,5,21
794,5,11
795,7,14
796,4,15
797,9,10
798,9,7
799,5,6
800,7,7
801,5,9
802,7,7
803,9,15
804,12,11
805,9,15
806,7,15
807,3,7
808,5,7
809,7,12
810,5,21
811,9,14
812,9,7
813,22,11
814,21,15
815,13,1
816,4,11
817,7,15
818,5,22
819,5,15
820,5,21
821,7,15
822,9,14
823,7,8
824,7,10
825,7,14
826,5,10
827,7,3
828,9,10
829,5,14
830,7,15
831,5,18
832,7,22
833,22,7
834,9,11
835,7,6
836,14,7
837,7,22
838,7,6
839,21,14
840,21,11
841,5,20
842,22,21
843,13,7
844,22,12
845,7,12
846,21,14
847,21,21
848,16,2
849,10,7
850,5,21
851,9,6
852,3,8
853,14,23
854,7,7
855,7,21
856,5,6
857,21,13
858,3,23
859,5,10
860,10,21
861,21,22
862,5,21
863,4,11
864,5,10
865,5,10
866,4,10
867,22,7
868,22,10
869,7,7
870,13,21
871,13,10
872,13,21
873,13,13
874,13,1
875,13,10
876,13,21
877,7,1
878,5,10
879,21,21
880,7,17
881,7,6
882,5,21
883,5,9
884,16,7
885,2,2
886,12,15
887,16,17
888,7,7
889,21,7
890,13,7
891,9,20
892,22,7
893,10,10
894,22,13
895,22,10
896,16,7
897,7,10
898,9,21
899,22,8
900,3,7
901,21,21
902,22,12
903,23,22
904,21,13
905,9,10
906,9,7
907,16,17
908,16,21
909,8,20
910,21,17
911,16,10
912,21,10
913,3,10
914,17,7
915,17,2
916,15,18
917,16,2
918,14,23
919,8,8
920,16,12
921,16,21
922,2,7
923,7,4
924,12,21
925,21,7
926,23,21
927,15,9
928,2,7
929,16,6
930,21,6
931,16,6
932,23,7
933,7,23
934,7,10
935,10,7
936,23,10
937,9,2
938,7,2
939,21,21
940,17,22
941,21,12
942,1,2
943,7,9
944,7,21
945,7,10
946,9,21
947,22,21
948,7,7
949,13,7
950,13,7
951,2,21
952,7,7
953,12,10
954,10,21
955,13,10
956,13,21
957,2,21
958,11,14
959,21,21
960,22,7
961,5,4
962,21,10
963,7,7
964,13,7
965,8,10
966,8,23
967,22,21
968,8,11
969,8,13
970,22,7
971,2,14
972,7,21
973,21,7
974,22,21
975,17,21
976,11,7
977,22,16
978,13,20
979,16,7
980,23,10
981,17,10
982,1,21
983,9,7
984,22,10
985,21,14
986,21,13
987,22,10
988,22,2
989,22,21
990,22,10
991,22,23
992,21,17
993,21,10
994,21,10
995,22,10
996,14,7
997,22,23
998,3,21
999,5,7
1000,7,21
1001,8,21
1002,17,3
1003,9,7
1004,1,11
1005,16,7
1006,7,9
1007,8,7
1008,17,8
1009,7,7
1010,5,10
1011,7,7
1012,11,10
1013,7,6
1014,10,7
1015,7,6
1016,21,7
1017,8,14
1018,8,10
1019,8,22
1020,21,10
1021,9,10
1022,12,7
1023,1,7
1024,9,7
1025,21,10
1026,21,7
1027,5,2
1028,16,21
1029,5,16
1030,21,23
1031,7,21
1032,2,7
1033,2,22
1034,9,7
1035,11,10
1036,11,7
1037,11,10
1038,16,7
1039,2,13
1040,8,21
1041,16,15
1042,12,1
1043,8,15
1044,16,21
1045,16,12
1046,8,11
1047,17,20
1048,2,21
1049,22,14
1050,9,20
1051,20,18
1052,17,21
1053,21,2
1054,13,14
1055,21,10
1056,21,15
1057,21,21
1058,22,2
1059,21,10
1060,21,16
1061,21,21
1062,10,1
1063,13,21
1064,5,2
1065,2,6
1066,5,23
1067,5,22
1068,21,14
1069,2,21
1070,21,9
1071,1,9
1072,10,10
1073,7,7
1074,16,4
1075,16,7
1076,12,14
1077,2,10
1078,2,16
1079,21,10
1080,2,2
1081,1,7
1082,10,7
1083,16,7
1084,1,1
1085,20,7
1086,1,7
1087,22,7
1088,7,7
1089,1,10
1090,9,7
1091,13,21
1092,7,12
1093,7,7
1094,8,10
1095,2,21
1096,7,7
1097,2,2
1098,2,1
1099,5,2
1100,7,1
1101,10,10
1102,13,11
1103,17,10
1104,2,21
1105,5,6
1106,13,21
1107,15,7
1108,22,14
1109,1,13
1110,12,12
1111,22,16
1112,22,10
1113,21,7
1114,22,1
1115,11,22
1116,5,11
1117,17,21
1118,10,7
1119,2,11
1120,22,6
1121,8,10
1122,10,4
1123,4,8
1124,22,21
1125,19,21
1126,19,19
1127,19,21
1128,22,21
1129,10,10
1130,9,6
1131,2,22
1132,16,7
1133,16,6
1134,2,7
1135,21,10
1136,7,21
1137,21,21
1138,21,21
1139,3,7
1140,2,7
1141,17,7
1142,7,7
1143,15,20
1144,7,21
1145,21,14
1146,10,22
1147,13,11
1148,14,1
1149,6,10
1150,13,5
1151,15,22
1152,13,20
1153,7,7
1154,7,12
1155,2,7
1156,21,20
1157,21,7
1158,13,21
1159,9,21
1160,17,8
1161,21,5
1162,7,23
1163,15,5
1164,5,10
1165,7,8
1166,16,7
1167,22,7
1168,13,12
1169,10,20
1170,10,23
1171,11,21
1172,16,11
1173,13,8
1174,6,6
1175,7,5
1176,9,7
1177,9,7
1178,10,7
1179,10,23
1180,16,7
1181,21,7
1182,21,21
1183,21,0
1184,7,21
1185,22,14
1186,16,22
1187,8,10
1188,2,16
1189,10,23
1190,9,22
1191,10,2
1192,2,10
1193,16,23
1194,21,2
1195,21,10
1196,10,10
1197,21,21
1198,10,21
1199,13,10
1200,21,23
1201,10,21
1202,19,21
1203,3,21
1204,21,21
1205,22,9
1206,14,21
1207,7,11
1208,22,4
1209,7,7
1210,7,21
1211,2,1
1212,22,3
1213,13,10
1214,7,7
1215,4,22
1216,3,21
1217,22,3
1218,19,21
1219,21,10
1220,21,21
1221,21,14
1222,21,23
1223,21,10
1224,4,10
1225,7,11
1226,10,10
1227,7,8
1228,7,11
1229,5,3
1230,5,14
1231,5,21
1232,9,7
1233,10,21
1234,9,12
1235,13,21
1236,13,2
1237,13,8
1238,13,7
1239,21,1
1240,13,11
1241,13,7
1242,13,23
1243,13,3
1244,13,12
1245,10,21
1246,21,10
1247,19,23
1248,19,23
1249,19,3
1250,22,21
1251,21,22
1252,7,6
1253,2,7
1254,16,1
1255,17,17
1256,5,7
1257,5,10
1258,5,21
1259,6,6
1260,8,14
1261,17,14
1262,10,16
1263,10,15
1264,9,14
1265,21,21
1266,7,22
1267,7,21
1268,13,7
1269,21,23
1270,13,17
1271,5,15
1272,13,5
1273,5,17
1274,13,21
1275,5,10
1276,21,1
1277,21,22
1278,5,21
1279,5,7
1280,7,7
1281,5,7
1282,7,10
1283,7,9
1284,7,7
1285,7,1
1286,7,1
1287,7,15
1288,7,18
1289,22,22
1290,17,16
1291,3,20
1292,7,21
1293,7,14
1294,17,10
1295,5,23
1296,3,11
1297,3,22
1298,21,21
1299,7,23
1300,7,23
1301,22,21
1302,7,17
1303,23,13
1304,23,13
1305,17,11
1306,1,14
1307,3,21
1308,3,14
1309,16,2
1310,22,14
1311,16,7
1312,16,21
1313,13,10
1314,7,7
1315,10,10
1316,7,2
1317,7,7
1318,11,7
1319,21,7
1320,21,21
1321,2,10
1322,21,9
1323,22,7
1324,10,22
1325,10,9
1326,10,16
1327,10,2
1328,21,21
1329,16,15
1330,16,22
1331,22,10
1332,5,21
1333,16,10
1334,14,10
1335,21,10
1336,10,22
1337,12,18
1338,12,7
1339,1,7
1340,4,10
1341,9,8
1342,17,10
1343,17,21
1344,3,7
1345,3,3
1346,3,21
1347,3,7
1348,3,22
1349,21,8
1350,13,8
1351,7,10
1352,2,4
1353,12,9
1354,13,13
1355,7,15
1356,5,13
1357,5,7
1358,17,2
1359,5,10
1360,16,9
1361,17,21
1362,2,16
1363,17,13
1364,12,9
1365,13,21
1366,1,21
1367,5,21
1368,5,8
1369,1,22
1370,9,3
1371,19,7
1372,3,15
1373,21,21
1374,10,15
1375,5,8
1376,5,10
1377,10,7
1378,4,15
1379,22,13
1380,21,21
1381,15,10
1382,0,10
1383,17,7
1384,21,10
1385,5,23
1386,5,9
1387,13,1
1388,12,7
1389,3,16
1390,12,10
1391,22,10
1392,5,10
1393,9,10
1394,5,21
1395,21,2
1396,3,15
1397,16,1
1398,5,7
1399,5,10
1400,5,21
1401,17,21
1402,5,6
1403,19,21
1404,21,15
1405,13,12
1406,5,2
1407,2,14
1408,21,21
1409,12,21
1410,10,4
1411,17,14
1412,3,23
1413,10,9
1414,9,14
1415,2,23
1416,23,7
1417,22,10
1418,23,23
1419,7,3
1420,11,6
1421,5,1
1422,5,21
1423,21,10
1424,21,7
1425,3,9
1426,19,23
1427,19,3
1428,5,21
1429,5,13
1430,9,8
1431,5,6
1432,20,11
1433,22,14
1434,5,10
1435,12,21
1436,21,14
1437,22,17
1438,22,10
1439,17,0
1440,9,7
1441,12,14
1442,3,10
1443,3,20
1444,22,22
1445,8,10
1446,2,10
1447,10,17
1448,5,7
1449,5,22
1450,7,7
1451,5,7
1452,10,7
1453,7,6
1454,7,7
1455,23,8
1456,2,22
1457,12,7
1458,5,7
1459,21,7
1460,21,6
1461,21,8
1462,9,7
1463,10,7
1464,9,14
1465,13,10
1466,13,3
1467,13,7
1468,11,11
1469,13,6
1470,4,9
1471,14,14
1472,3,4
1473,4,1
1474,7,22
1475,7,12
1476,6,6
1477,22,7
1478,7,2
1479,4,7
1480,7,4
1481,21,2
1482,3,10
1483,17,2
1484,9,14
1485,23,13
1486,6,21
1487,22,7
1488,2,21
1489,10,8
1490,10,15
1491,12,21
1492,22,9
1493,10,2
1494,10,14
1495,7,1
1496,2,16
1497,10,10
1498,23,15
1499,2,2
1500,2,4
1501,6,8
1502,2,21
1503,2,6
1504,9,21
1505,2,14
1506,2,6
1507,16,1
1508,10,10
1509,7,10
1510,2,21
1511,2,10
1512,13,21
1513,15,2
1514,10,23
1515,13,14
1516,14,15
1517,10,22
1518,21,10
1519,22,7
1520,17,14
1521,19,15
1522,22,2
1523,19,22
1524,21,21
1525,7,22
1526,19,18
1527,3,8
1528,5,21
1529,5,22
1530,15,21
1531,10,6
1532,5,21
1533,5,22
1534,7,10
1535,5,7
1536,22,22
1537,5,2
1538,16,21
1539,14,7
1540,7,1
1541,7,16
1542,11,1
1543,11,7
1544,21,7
1545,22,7
1546,21,21
1547,1,18
1548,23,11
1549,12,7
1550,10,10
1551,0,10
1552,23,7
1553,7,7
1554,3,7
1555,7,21
1556,23,10
1557,15,2
1558,15,10
1559,7,23
1560,19,7
1561,1,22
1562,23,21
1563,22,22
1564,22,21
1565,15,2
1566,21,21
1567,22,13
1568,15,21
1569,2,4
1570,10,2
1571,9,10
1572,20,22
1573,13,22
1574,22,5
1575,1,16
1576,2,17
1577,5,14
1578,7,3
1579,7,10
1580,5,2
1581,17,14
1582,2,21
1583,13,10
1584,7,11
1585,7,10
1586,17,7
1587,20,7
1588,17,14
1589,7,7
1590,7,1
1591,13,7
1592,13,14
1593,11,3
1594,8,1
1595,7,14
1596,10,7
1597,7,7
1598,17,16
1599,8,7
1600,4,11
1601,17,10
1602,13,15
1603,17,12
1604,8,7
1605,8,14
1606,13,8
1607,7,21
1608,13,14
1609,7,0
1610,7,7
1611,5,21
1612,2,23
1613,22,21
1614,7,7
1615,13,7
1616,10,7
1617,13,6
1618,8,7
1619,21,21
1620,22,15
1621,22,15
1622,19,21
1623,2,22
1624,19,22
1625,1,1
1626,8,21
1627,7,10
1628,21,7
1629,7,8
1630,7,6
1631,7,9
1632,7,15
1633,7,21
1634,7,1
1635,7,10
1636,7,21
1637,7,7
1638,7,12
1639,7,11
1640,7,12
1641,12,10
1642,5,15
1643,10,10
1644,12,22
1645,7,6
1646,7,21
1647,7,7
1648,8,11
1649,7,7
1650,8,7
1651,7,10
1652,14,14
1653,10,10
1654,7,21
1655,7,10
1656,7,2
1657,21,9
1658,10,17
1659,10,6
1660,8,22
1661,7,10
1662,9,23
1663,10,7
1664,7,21
1665,7,12
1666,9,14
1667,7,10
1668,3,6
1669,12,15
1670,7,8
1671,7,7
1672,7,10
1673,7,10
1674,7,3
1675,7,7
1676,7,7
1677,9,21
1678,10,21
1679,7,10
1680,1,23
1681,7,14
1682,10,3
1683,5,11
1684,7,10
1685,7,8
1686,22,6
1687,22,9
1688,1,10
1689,7,21
1690,7,10
1691,1,21
1692,7,7
1693,5,21
1694,7,12
1695,5,14
1696,7,21
1697,5,21
1698,7,1
1699,15,10
1700,7,9
1701,11,9
1702,7,17
1703,9,9
1704,11,23
1705,11,14
1706,22,7
1707,21,21
1708,17,7
1709,12,7
1710,10,9
1711,1,21
1712,22,5
1713,13,3
1714,21,13
1715,21,14
1716,7,17
1717,2,12
1718,22,17
1719,16,7
1720,7,9
1721,6,7
1722,13,11
1723,7,10
1724,7,7
1725,7,7
1726,13,11
1727,13,7
1728,9,4
1729,7,14
1730,10,10
1731,9,14
1732,13,7
1733,3,14
1734,10,1
1735,22,3
1736,6,21
1737,3,9
1738,15,7
1739,6,11
1740,9,8
1741,11,21
1742,9,17
1743,21,21
1744,21,10
1745,12,10
1746,7,21
1747,11,10
1748,7,11
1749,9,12
1750,21,11
1751,9,13
1752,21,10
1753,6,13
1754,22,10
1755,7,21
1756,9,4
1757,1,2
1758,7,11
1759,7,4
1760,12,14
1761,16,21
1762,16,21
1763,7,21
1764,21,4
1765,7,10
1766,3,21
1767,7,9
1768,7,7
1769,7,7
1770,7,7
1771,21,7
1772,7,4
1773,7,7
1774,13,7
1775,22,6
1776,12,21
1777,7,23
1778,21,10
1779,22,15
1780,16,2
1781,17,9
1782,7,22
1783,23,16
1784,16,2
1785,5,23
1786,5,2
1787,15,5
1788,6,11
1789,13,13
1790,17,10
1791,13,7
1792,13,7
1793,14,10
1794,13,7
1795,17,20
1796,7,7
1797,22,7
1798,3,4
1799,9,7
1800,1,10
1801,7,10
1802,7,9
1803,22,7
1804,12,14
1805,7,7
1806,11,6
1807,7,21
1808,7,7
1809,7,7
1810,7,10
1811,10,11
1812,20,21
1813,14,14
1814,7,12
1815,5,21
1816,7,21
1817,14,22
1818,6,21
1819,7,10
1820,5,10
1821,7,6
1822,7,7
1823,6,11
1824,1,6
1825,12,9
1826,5,7
1827,21,10
1828,6,6
1829,14,14
1830,7,22
1831,13,7
1832,7,13
1833,5,21
1834,7,10
1835,1,21
1836,7,21
1837,9,7
1838,7,10
1839,7,7
1840,7,7
1841,7,21
1842,7,7
1843,8,7
1844,21,10
1845,22,1
1846,21,9
1847,7,2
1848,2,21
1849,2,10
1850,2,21
1851,3,10
1852,22,14
1853,14,7
1854,10,9
1855,22,13
1856,11,21
1857,21,21
1858,17,11
1859,7,14
1860,7,21
1861,19,21
1862,5,15
1863,7,3
1864,10,1
1865,22,21
1866,22,9
1867,7,6
1868,7,12
1869,7,6
1870,5,9
1871,21,2
1872,5,9
1873,7,1
1874,7,11
1875,7,7
1876,8,10
1877,6,9
1878,10,10
1879,5,9
1880,21,7
1881,6,7
1882,21,21
1883,9,8
1884,10,14
1885,5,15
1886,7,7
1887,13,17
1888,17,7
1889,21,7
1890,6,13
1891,5,6
1892,11,20
1893,7,7
1894,13,21
1895,9,7
1896,9,11
1897,10,9
1898,9,23
1899,2,16
1900,1,7
1901,5,21
1902,7,7
1903,20,3
1904,10,7
1905,10,21
1906,22,14
1907,10,10
1908,7,21
1909,13,11
1910,7,21
1911,11,21
1912,10,11
1913,5,7
1914,13,10
1915,9,7
1916,7,10
1917,16,7
1918,5,10
1919,13,7
1920,13,10
1921,5,21
1922,10,10
1923,3,12
1924,5,21
1925,7,21
1926,9,10
1927,7,21
1928,7,10
1929,7,6
1930,5,21
1931,5,7
1932,7,7
1933,5,9
1934,7,9
1935,7,7
1936,16,10
1937,16,7
1938,22,10
1939,16,22
1940,7,23
1941,5,23
1942,22,4
1943,5,10
1944,5,22
1945,22,15
1946,22,6
1947,19,3
1948,22,6
1949,22,3
1950,7,7
1951,7,15
1952,10,10
1953,7,2
1954,1,2
1955,3,23
1956,21,21
1957,10,21
1958,21,15
1959,3,22
1960,19,15
1961,19,22
1962,13,10
1963,9,23
1964,9,2
1965,5,14
1966,1,10
1967,21,11
1968,22,15
1969,2,21
1970,1,7
1971,17,10
1972,7,14
1973,21,11
1974,7,10
1975,22,9
1976,7,14
1977,21,1
1978,7,7
1979,21,10
1980,7,6
1981,7,10
1982,7,9
1983,21,21
1984,3,16
1985,22,0
1986,7,17
1987,22,21
1988,5,11
1989,3,2
1990,22,17
1991,5,6
1992,22,2
1993,10,16
1994,5,16
1995,10,23
1996,22,21
1997,19,21
1998,5,15
1999,19,21
2000,19,22
2001,17,21
2002,5,7
2003,5,7
2004,5,7
2005,13,23
2006,5,7
2007,5,7
2008,7,1
2009,7,10
2010,10,6
2011,5,3
2012,2,21
2013,13,10
2014,2,2
2015,10,10
2016,10,7
2017,13,10
2018,21,21
2019,19,22
2020,17,16
2021,3,21
2022,19,22
2023,19,16
2024,22,3
2025,3,12
2026,5,10
2027,7,22
2028,6,1
2029,2,12
2030,22,22
2031,12,6
2032,10,4
2033,17,14
2034,13,10
2035,21,21
2036,23,14
2037,21,21
2038,21,2
2039,16,4
2040,17,7
2041,16,14
2042,13,21
2043,16,13
2044,7,18
2045,17,6
2046,7,23
2047,7,10
2048,6,21
2049,7,7
2050,10,21
2051,8,23
2052,5,9
2053,17,14
2054,22,10
2055,7,21
2056,13,10
2057,1,1
2058,1,7
2059,7,1
2060,10,9
2061,5,16
2062,11,2
2063,9,7
2064,9,13
2065,9,10
2066,13,21
2067,9,9
2068,13,21
2069,21,7
2070,5,15
2071,22,14
2072,12,16
2073,22,9
2074,21,22
2075,22,3
2076,22,23
2077,22,21
2078,5,15
2079,21,6
2080,20,2
2081,22,8
2082,10,21
2083,12,21
2084,10,7
2085,14,7
2086,12,10
2087,22,7
2088,10,23
2089,22,23
2090,3,10
2091,10,23
2092,7,21
2093,10,14
2094,6,21
2095,21,20
2096,21,21
2097,21,14
2098,4,13
2099,6,21
2100,21,21
2101,13,14
2102,11,10
2103,1,20
2104,3,21
2105,5,2
2106,22,6
2107,3,2
2108,5,7
2109,4,21
2110,10,10
2111,10,7
2112,21,7
2113,10,7
2114,21,10
2115,21,21
2116,22,1
2117,19,15
2118,22,21
2119,19,21
2120,16,10
2121,10,2
2122,22,10
2123,22,16
2124,6,11
2125,5,7
2126,5,2
2127,22,21
2128,5,4
2129,21,10
2130,22,21
2131,19,22
2132,19,21
2133,22,21
2134,19,22
2135,22,7
2136,22,11
2137,21,10
2138,6,7
2139,18,21
2140,7,9
