,d,t
337,5,3
338,5,17
339,21,23
340,5,7
341,5,21
342,22,7
343,22,10
344,5,7
345,5,17
346,5,1
347,10,15
348,9,10
349,5,21
350,22,21
351,9,8
352,9,0
353,10,7
354,5,21
355,7,21
356,5,21
357,9,7
358,10,10
359,5,10
360,9,2
361,5,12
362,9,23
363,10,23
364,5,1
365,16,2
366,7,10
367,15,9
368,22,2
369,10,17
370,2,21
371,10,1
372,10,14
373,10,3
374,13,21
375,13,21
376,5,6
377,9,21
378,7,21
379,10,12
380,10,21
381,22,6
382,10,22
383,4,10
384,7,14
385,5,6
386,9,9
387,9,2
388,7,10
389,7,9
390,7,7
391,10,7
392,7,20
393,7,9
394,10,10
395,10,20
396,10,9
397,7,22
398,9,4
399,9,9
400,5,16
401,2,7
402,9,15
403,9,9
404,3,12
405,19,17
406,7,23
407,7,21
408,22,2
409,10,9
410,10,2
411,22,21
412,15,7
413,18,21
414,22,7
415,10,23
416,4,7
417,10,23
418,18,7
419,22,3
420,20,8
421,16,23
422,20,23
423,16,12
424,16,16
425,16,3
426,19,16
427,19,22
428,18,1
429,5,16
430,19,22
431,19,1
432,3,16
433,22,12
434,10,6
435,0,2
436,20,10
437,22,15
438,9,21
439,22,13
440,22,7
441,16,23
442,3,23
443,20,22
444,12,10
445,12,6
446,16,7
447,9,22
448,7,7
449,12,17
450,20,6
451,9,22
452,5,7
453,7,3
454,8,2
455,3,21
456,22,22
457,7,9
458,11,14
459,12,2
460,17,17
461,7,23
462,22,21
463,5,8
464,23,23
465,9,8
466,22,22
467,22,21
468,22,23
469,9,8
470,12,22
471,3,7
472,15,14
473,2,21
474,7,21
475,10,15
476,7,20
477,13,10
478,9,21
479,15,9
480,22,2
481,22,21
482,9,7
483,15,2
484,2,21
485,2,14
486,19,20
487,2,21
488,19,3
489,6,2
490,2,10
491,5,7
492,5,6
493,5,3
494,15,10
495,6,15
496,15,7
497,14,7
498,10,7
499,7,7
500,22,9
501,1,6
502,21,10
503,5,20
504,12,7
505,10,10
506,7,6
507,6,10
508,13,7
509,13,10
510,7,7
511,10,10
512,4,21
513,15,21
514,15,6
515,1,13
516,17,23
517,13,21
518,17,21
519,15,16
520,4,7
521,13,6
522,15,14
523,15,10
524,13,21
525,9,14
526,14,21
527,13,1
528,13,10
529,7,21
530,7,4
531,5,14
532,22,11
533,13,21
534,7,16
535,22,1
536,7,2
537,7,7
538,15,7
539,10,7
540,7,7
541,5,7
542,15,12
543,22,7
544,5,7
545,5,10
546,5,4
547,5,7
548,7,21
549,9,13
550,7,10
551,5,21
552,5,14
553,3,1
554,3,3
555,3,2
556,22,7
557,7,2
558,23,21
559,7,9
560,5,21
561,4,2
562,5,7
563,9,10
564,13,10
565,7,11
566,1,21
567,3,15
568,19,21
569,1,21
570,12,2
571,7,21
572,17,16
573,9,10
574,17,22
575,15,21
576,13,22
577,6,2
578,17,9
579,14,15
580,7,21
581,5,12
582,20,10
583,20,10
584,7,2
585,7,18
586,15,10
587,13,8
588,22,10
589,5,6
590,6,21
591,13,21
592,22,8
593,22,21
594,9,17
595,9,13
596,5,21
597,3,21
598,17,0
599,21,21
600,7,7
601,13,4
602,7,21
603,5,7
604,12,14
605,22,6
606,12,21
607,3,21
608,10,9
609,22,21
610,10,1
611,22,21
612,9,7
613,2,6
614,8,7
615,3,23
616,15,2
617,9,13
618,5,22
619,13,22
620,5,7
621,3,22
622,13,10
623,21,10
624,7,7
625,5,21
626,3,14
627,13,10
628,7,22
629,7,7
630,12,15
631,6,21
632,12,2
633,13,2
634,19,2
635,3,16
636,19,15
637,3,16
638,19,21
639,11,21
640,16,15
641,20,2
642,5,16
643,12,14
644,2,2
645,9,10
646,9,10
647,9,22
648,12,4
649,13,21
650,22,12
651,9,11
652,12,21
653,9,14
654,7,21
655,17,14
656,7,7
657,3,21
658,19,15
659,19,22
660,13,11
661,10,7
662,7,7
663,7,7
664,7,7
665,13,20
666,17,7
667,15,10
668,17,23
669,20,13
670,7,1
671,9,7
672,11,14
673,7,7
674,13,17
675,7,7
676,7,10
677,14,10
678,14,17
679,15,21
680,7,10
681,9,21
682,21,17
683,21,13
684,21,23
685,21,11
686,3,10
687,7,7
688,21,9
689,7,10
690,14,9
691,3,21
692,2,2
693,5,2
694,5,10
695,5,7
696,5,10
697,15,10
698,10,21
699,3,16
700,12,10
701,6,21
702,8,7
703,5,7
704,5,21
705,5,7
706,21,21
707,22,22
708,9,15
709,21,21
710,3,10
711,10,23
712,5,7
713,3,22
714,23,10
715,3,22
716,7,12
717,13,7
718,20,22
719,3,10
720,10,14
721,10,14
722,13,7
723,5,14
724,9,7
725,3,7
726,5,13
727,16,1
728,5,7
729,12,21
730,23,21
731,20,7
732,13,10
733,5,21
734,12,7
735,5,21
736,9,10
737,5,2
738,13,21
739,13,21
740,12,6
741,21,22
742,7,7
743,13,7
744,7,21
745,5,10
746,13,7
747,13,6
748,13,10
749,7,11
750,21,21
751,10,23
752,3,12
753,3,7
754,21,9
755,13,2
756,5,23
757,10,21
758,10,8
759,3,23
760,21,17
761,3,2
762,3,14
763,23,2
764,21,14
765,3,23
766,3,10
767,20,21
768,17,7
769,7,20
770,19,2
771,19,1
772,19,3
773,3,1
774,3,3
775,13,7
776,13,22
777,15,16
778,9,22
779,13,21
780,21,1
781,21,6
782,17,21
783,9,9
784,17,10
785,7,10
786,7,7
787,7,1
788,9,7
789,10,10
790,20,7
791,1,21
792,9,7
793,21,21
794,13,11
795,5,14
796,17,15
797,6,10
798,9,7
799,9,6
800,7,7
801,7,9
802,9,7
803,14,15
804,1,11
805,9,15
806,9,15
807,13,7
808,8,7
809,9,12
810,9,21
811,20,14
812,7,7
813,9,11
814,21,15
815,7,1
816,5,11
817,7,15
818,13,22
819,7,15
820,9,21
821,5,15
822,17,14
823,0,8
824,13,10
825,7,14
826,9,10
827,1,3
828,5,10
829,9,14
830,5,15
831,12,18
832,13,22
833,22,7
834,12,11
835,5,6
836,7,7
837,3,22
838,9,6
839,14,14
840,17,11
841,13,20
842,19,21
843,9,7
844,13,12
845,15,12
846,2,14
847,7,21
848,5,2
849,17,7
850,8,21
851,5,6
852,3,8
853,9,23
854,3,7
855,15,21
856,15,6
857,7,13
858,7,23
859,7,10
860,7,21
861,5,22
862,7,21
863,22,11
864,14,10
865,13,10
866,9,10
867,5,7
868,5,10
869,3,7
870,7,21
871,5,10
872,7,21
873,7,13
874,12,1
875,12,10
876,7,21
877,13,1
878,22,10
879,17,21
880,5,17
881,10,6
882,10,21
883,5,9
884,5,7
885,5,2
886,7,15
887,5,17
888,7,7
889,9,7
890,9,7
891,13,20
892,7,7
893,10,10
894,10,13
895,9,10
896,3,7
897,12,10
898,22,21
899,5,8
900,7,7
901,7,21
902,5,12
903,15,22
904,13,13
905,7,10
906,7,7
907,10,17
908,7,21
909,21,20
910,21,17
911,9,10
912,5,10
913,3,10
914,7,7
915,7,2
916,3,18
917,3,2
918,5,23
919,21,8
920,5,12
921,3,21
922,3,7
923,2,4
924,9,21
925,2,7
926,7,21
927,1,9
928,22,7
929,7,6
930,9,6
931,13,6
932,14,7
933,7,23
934,9,10
935,5,7
936,9,10
937,13,2
938,5,2
939,9,21
940,12,22
941,9,12
942,21,2
943,7,9
944,12,21
945,5,10
946,10,21
947,7,21
948,7,7
949,22,7
950,8,7
951,7,21
952,7,7
953,7,10
954,8,21
955,9,10
956,10,21
957,7,21
958,1,14
959,12,21
960,10,7
961,7,4
962,9,10
963,21,7
964,5,7
965,20,10
966,9,23
967,22,21
968,21,11
969,15,13
970,1,7
971,12,14
972,4,21
973,10,7
974,5,21
975,21,21
976,21,7
977,22,16
978,12,20
979,17,7
980,10,10
981,22,10
982,3,21
983,2,7
984,5,10
985,11,14
986,21,13
987,17,10
988,9,2
989,13,21
990,7,10
991,12,23
992,9,17
993,9,10
994,21,10
995,5,10
996,3,7
997,17,23
998,12,21
999,9,7
1000,9,21
1001,6,21
1002,11,3
1003,21,7
1004,16,11
1005,9,7
1006,16,9
1007,16,7
1008,16,8
1009,9,7
1010,2,10
1011,9,7
1012,5,10
1013,9,6
1014,5,7
1015,7,6
1016,12,7
1017,8,14
1018,13,10
1019,10,22
1020,8,10
1021,9,10
1022,13,7
1023,14,7
1024,2,7
1025,5,10
1026,15,7
1027,16,2
1028,2,21
1029,17,16
1030,4,23
1031,2,21
1032,17,7
1033,10,22
1034,8,7
1035,2,10
1036,23,7
1037,10,10
1038,4,7
1039,21,13
1040,1,21
1041,2,15
1042,1,1
1043,6,15
1044,22,21
1045,12,12
1046,13,11
1047,5,20
1048,10,21
1049,7,14
1050,21,20
1051,7,18
1052,14,21
1053,5,2
1054,22,14
1055,7,10
1056,7,15
1057,5,21
1058,1,2
1059,5,10
1060,7,16
1061,13,21
1062,17,1
1063,5,21
1064,21,2
1065,7,6
1066,22,23
1067,5,22
1068,14,14
1069,3,21
1070,5,9
1071,5,9
1072,3,10
1073,5,7
1074,7,4
1075,3,7
1076,22,14
1077,5,10
1078,7,16
1079,7,10
1080,3,2
1081,22,7
1082,12,7
1083,15,7
1084,7,1
1085,21,7
1086,21,7
1087,3,7
1088,16,7
1089,4,10
1090,7,7
1091,3,21
1092,10,12
1093,6,7
1094,12,10
1095,13,21
1096,9,7
1097,5,2
1098,9,1
1099,5,2
1100,15,1
1101,23,10
1102,12,11
1103,21,10
1104,12,21
1105,12,6
1106,21,21
1107,5,7
1108,12,14
1109,22,13
1110,22,12
1111,5,16
1112,12,10
1113,13,7
1114,5,1
1115,21,22
1116,3,11
1117,10,21
1118,5,7
1119,9,11
1120,5,6
1121,10,10
1122,5,4
1123,9,8
1124,19,21
1125,3,21
1126,3,19
1127,1,21
1128,3,21
1129,9,10
1130,5,6
1131,22,22
1132,8,7
1133,9,6
1134,10,7
1135,22,10
1136,13,21
1137,5,21
1138,9,21
1139,17,7
1140,5,7
1141,12,7
1142,12,7
1143,15,20
1144,9,21
1145,5,14
1146,5,22
1147,8,11
1148,9,1
1149,9,10
1150,3,5
1151,15,22
1152,12,20
1153,9,7
1154,12,12
1155,6,7
1156,3,20
1157,14,7
1158,8,21
1159,13,21
1160,17,8
1161,15,5
1162,13,23
1163,12,5
1164,17,10
1165,17,8
1166,17,7
1167,9,7
1168,17,12
1169,13,20
1170,2,23
1171,15,21
1172,15,11
1173,13,8
1174,13,6
1175,15,5
1176,17,7
1177,12,7
1178,10,7
1179,10,23
1180,17,7
1181,9,7
1182,7,21
1183,9,0
1184,12,21
1185,21,14
1186,15,22
1187,5,10
1188,3,16
1189,21,23
1190,2,22
1191,15,2
1192,22,10
1193,21,23
1194,23,2
1195,21,10
1196,5,10
1197,7,21
1198,22,21
1199,8,10
1200,19,23
1201,7,21
1202,19,21
1203,3,21
1204,2,21
1205,9,9
1206,7,21
1207,17,11
1208,22,4
1209,17,7
1210,17,21
1211,7,1
1212,10,3
1213,2,10
1214,12,7
1215,21,22
1216,3,21
1217,19,3
1218,3,21
1219,17,10
1220,7,21
1221,21,14
1222,17,23
1223,17,10
1224,17,10
1225,17,11
1226,17,10
1227,21,8
1228,17,11
1229,17,3
1230,4,14
1231,17,21
1232,4,7
1233,9,21
1234,12,12
1235,8,21
1236,13,2
1237,12,8
1238,10,7
1239,2,1
1240,2,11
1241,8,7
1242,1,23
1243,21,3
1244,22,12
1245,13,21
1246,3,10
1247,3,23
1248,3,23
1249,3,3
1250,3,21
1251,5,22
1252,3,6
1253,1,7
1254,7,1
1255,5,17
1256,7,7
1257,2,10
1258,16,21
1259,3,6
1260,3,14
1261,14,14
1262,3,16
1263,3,15
1264,3,14
1265,14,21
1266,22,22
1267,4,21
1268,14,7
1269,5,23
1270,5,17
1271,5,15
1272,22,5
1273,15,17
1274,12,21
1275,21,10
1276,15,1
1277,12,22
1278,21,21
1279,13,7
1280,8,7
1281,10,7
1282,13,10
1283,13,9
1284,7,7
1285,8,1
1286,3,1
1287,13,15
1288,19,18
1289,3,22
1290,3,16
1291,3,20
1292,13,21
1293,13,14
1294,7,10
1295,3,23
1296,3,11
1297,21,22
1298,21,21
1299,16,23
1300,3,23
1301,13,21
1302,17,17
1303,23,13
1304,21,13
1305,13,11
1306,3,14
1307,9,21
1308,9,14
1309,10,2
1310,15,14
1311,13,7
1312,5,21
1313,3,10
1314,15,7
1315,9,10
1316,20,2
1317,20,7
1318,20,7
1319,16,7
1320,8,21
1321,8,10
1322,9,9
1323,1,7
1324,8,22
1325,12,9
1326,21,16
1327,21,2
1328,7,21
1329,1,15
1330,21,22
1331,1,10
1332,13,21
1333,7,10
1334,1,10
1335,17,10
1336,1,22
1337,17,18
1338,13,7
1339,7,7
1340,7,10
1341,9,8
1342,21,10
1343,17,21
1344,3,7
1345,13,3
1346,9,21
1347,19,7
1348,1,22
1349,1,8
1350,21,8
1351,7,10
1352,9,4
1353,17,9
1354,2,13
1355,15,15
1356,21,13
1357,5,7
1358,5,2
1359,5,10
1360,3,9
1361,9,21
1362,15,16
1363,7,13
1364,20,9
1365,15,21
1366,1,21
1367,9,21
1368,15,8
1369,12,22
1370,5,3
1371,5,7
1372,19,15
1373,15,21
1374,19,15
1375,22,8
1376,15,10
1377,22,7
1378,9,15
1379,17,13
1380,17,21
1381,14,10
1382,5,10
1383,5,7
1384,15,10
1385,22,23
1386,2,9
1387,22,1
1388,3,7
1389,4,16
1390,15,10
1391,22,10
1392,9,10
1393,9,10
1394,10,21
1395,13,2
1396,5,15
1397,10,1
1398,9,7
1399,21,10
1400,15,21
1401,8,21
1402,0,6
1403,19,21
1404,19,15
1405,15,12
1406,6,2
1407,2,14
1408,15,21
1409,15,21
1410,23,4
1411,3,14
1412,22,23
1413,9,9
1414,12,14
1415,5,23
1416,0,7
1417,1,10
1418,3,23
1419,12,3
1420,15,6
1421,12,1
1422,12,21
1423,16,10
1424,3,7
1425,16,9
1426,22,23
1427,19,3
1428,6,21
1429,8,13
1430,22,8
1431,5,6
1432,5,11
1433,21,14
1434,20,10
1435,22,21
1436,17,14
1437,9,17
1438,15,10
1439,17,0
1440,20,7
1441,13,14
1442,13,10
1443,7,20
1444,5,22
1445,3,10
1446,5,10
1447,5,17
1448,3,7
1449,1,22
1450,22,7
1451,15,7
1452,22,7
1453,20,6
1454,17,7
1455,22,8
1456,17,22
1457,0,7
1458,15,7
1459,20,7
1460,15,6
1461,11,8
1462,9,7
1463,7,7
1464,7,14
1465,7,10
1466,7,3
1467,7,7
1468,7,11
1469,7,6
1470,7,9
1471,7,14
1472,7,4
1473,15,1
1474,7,22
1475,7,12
1476,2,6
1477,7,7
1478,15,2
1479,21,7
1480,7,4
1481,5,2
1482,22,10
1483,5,2
1484,5,14
1485,5,13
1486,7,21
1487,5,7
1488,20,21
1489,11,8
1490,13,15
1491,10,21
1492,22,9
1493,10,2
1494,10,14
1495,21,1
1496,5,16
1497,12,10
1498,5,15
1499,9,2
1500,22,4
1501,12,8
1502,12,21
1503,17,6
1504,5,21
1505,15,14
1506,5,6
1507,7,1
1508,7,10
1509,21,10
1510,7,21
1511,5,10
1512,2,21
1513,13,2
1514,5,23
1515,3,14
1516,13,15
1517,21,22
1518,7,10
1519,22,7
1520,21,14
1521,3,15
1522,19,2
1523,19,22
1524,19,21
1525,19,22
1526,22,18
1527,19,8
1528,22,21
1529,7,22
1530,7,21
1531,5,6
1532,5,21
1533,3,22
1534,14,10
1535,19,7
1536,3,22
1537,19,2
1538,19,21
1539,7,7
1540,8,1
1541,15,16
1542,9,1
1543,15,7
1544,15,7
1545,7,7
1546,22,21
1547,7,18
1548,3,11
1549,10,7
1550,7,10
1551,7,10
1552,7,7
1553,7,7
1554,5,7
1555,13,21
1556,3,10
1557,3,2
1558,7,10
1559,15,23
1560,3,7
1561,3,22
1562,19,21
1563,15,22
1564,19,21
1565,10,2
1566,17,21
1567,5,13
1568,21,21
1569,22,4
1570,14,2
1571,3,10
1572,13,22
1573,22,22
1574,14,5
1575,22,16
1576,3,17
1577,7,14
1578,7,3
1579,7,10
1580,7,2
1581,17,14
1582,22,21
1583,5,10
1584,10,11
1585,21,10
1586,22,7
1587,21,7
1588,6,14
1589,9,7
1590,9,1
1591,7,7
1592,13,14
1593,9,3
1594,7,1
1595,6,14
1596,22,7
1597,22,7
1598,9,16
1599,10,7
1600,12,11
1601,9,10
1602,9,15
1603,13,12
1604,15,7
1605,9,14
1606,15,8
1607,13,21
1608,7,14
1609,7,0
1610,10,7
1611,5,21
1612,5,23
1613,5,21
1614,7,7
1615,7,7
1616,22,7
1617,20,6
1618,8,7
1619,21,21
1620,17,15
1621,3,15
1622,5,21
1623,19,22
1624,3,22
1625,19,1
1626,13,21
1627,7,10
1628,7,7
1629,16,8
1630,16,6
1631,5,9
1632,13,15
1633,17,21
1634,2,1
1635,5,10
1636,13,21
1637,7,7
1638,7,12
1639,7,11
1640,7,12
1641,7,10
1642,5,15
1643,13,10
1644,5,22
1645,5,6
1646,5,21
1647,9,7
1648,22,11
1649,7,7
1650,5,7
1651,5,10
1652,22,14
1653,9,10
1654,7,21
1655,15,10
1656,22,2
1657,9,9
1658,7,17
1659,17,6
1660,5,22
1661,11,10
1662,7,23
1663,22,7
1664,10,21
1665,5,12
1666,22,14
1667,23,10
1668,22,6
1669,7,15
1670,7,8
1671,22,7
1672,22,10
1673,12,10
1674,4,3
1675,1,7
1676,7,7
1677,9,21
1678,7,21
1679,10,10
1680,7,23
1681,12,14
1682,7,3
1683,6,11
1684,7,10
1685,12,8
1686,5,6
1687,10,9
1688,21,10
1689,21,21
1690,6,10
1691,10,21
1692,6,7
1693,9,21
1694,9,12
1695,2,14
1696,9,21
1697,21,21
1698,13,1
1699,2,10
1700,13,9
1701,10,9
1702,9,17
1703,23,9
1704,16,23
1705,13,14
1706,7,7
1707,21,21
1708,6,7
1709,16,7
1710,23,9
1711,9,21
1712,2,5
1713,13,3
1714,17,13
1715,17,14
1716,17,17
1717,2,12
1718,12,17
1719,13,7
1720,17,9
1721,13,7
1722,15,11
1723,13,10
1724,8,7
1725,13,7
1726,9,11
1727,9,7
1728,4,4
1729,8,14
1730,9,10
1731,5,14
1732,7,7
1733,5,14
1734,9,1
1735,9,3
1736,22,21
1737,7,9
1738,7,7
1739,22,11
1740,9,8
1741,13,21
1742,5,17
1743,21,21
1744,7,10
1745,5,10
1746,5,21
1747,7,10
1748,7,11
1749,7,12
1750,7,11
1751,7,13
1752,7,10
1753,17,13
1754,11,10
1755,17,21
1756,5,4
1757,17,2
1758,9,11
1759,7,4
1760,2,14
1761,2,21
1762,6,21
1763,6,21
1764,5,4
1765,22,10
1766,9,21
1767,7,9
1768,5,7
1769,3,7
1770,5,7
1771,22,7
1772,9,4
1773,7,7
1774,3,7
1775,9,6
1776,9,21
1777,3,23
1778,15,10
1779,13,15
1780,18,2
1781,5,9
1782,2,22
1783,1,16
1784,17,2
1785,16,23
1786,2,2
1787,23,5
1788,21,11
1789,21,13
1790,21,10
1791,17,7
1792,9,7
1793,9,10
1794,3,7
1795,13,20
1796,13,7
1797,21,7
1798,15,4
1799,12,7
1800,12,10
1801,13,10
1802,2,9
1803,5,7
1804,7,14
1805,9,7
1806,9,6
1807,2,21
1808,9,7
1809,13,7
1810,7,10
1811,6,11
1812,23,21
1813,5,14
1814,7,12
1815,12,21
1816,7,21
1817,23,22
1818,3,21
1819,12,10
1820,8,10
1821,3,6
1822,9,7
1823,5,11
1824,5,6
1825,12,9
1826,5,7
1827,17,10
1828,12,6
1829,17,14
1830,3,22
1831,16,7
1832,12,13
1833,12,21
1834,13,10
1835,13,21
1836,5,21
1837,22,7
1838,3,10
1839,22,7
1840,17,7
1841,10,21
1842,9,7
1843,3,7
1844,22,10
1845,22,1
1846,22,9
1847,5,2
1848,12,21
1849,1,10
1850,9,21
1851,12,10
1852,10,14
1853,16,7
1854,5,9
1855,12,13
1856,13,21
1857,17,21
1858,7,11
1859,23,14
1860,3,21
1861,3,21
1862,19,15
1863,19,3
1864,22,1
1865,19,21
1866,1,9
1867,21,6
1868,15,12
1869,9,6
1870,13,9
1871,2,2
1872,9,9
1873,9,1
1874,10,11
1875,22,7
1876,1,10
1877,6,9
1878,3,10
1879,10,9
1880,10,7
1881,22,7
1882,1,21
1883,20,8
1884,14,14
1885,22,15
1886,22,7
1887,5,17
1888,21,7
1889,9,7
1890,20,13
1891,22,6
1892,22,20
1893,9,7
1894,9,21
1895,22,7
1896,9,11
1897,9,9
1898,7,23
1899,7,16
1900,7,7
1901,22,21
1902,21,7
1903,7,3
1904,7,7
1905,7,21
1906,9,14
1907,14,10
1908,12,21
1909,15,11
1910,9,21
1911,0,21
1912,3,11
1913,22,7
1914,5,10
1915,22,7
1916,3,10
1917,5,7
1918,15,10
1919,22,7
1920,16,10
1921,12,21
1922,9,10
1923,3,12
1924,22,21
1925,3,21
1926,20,10
1927,1,21
1928,13,10
1929,9,6
1930,17,21
1931,17,7
1932,15,7
1933,16,9
1934,7,9
1935,9,7
1936,22,10
1937,10,7
1938,22,10
1939,3,22
1940,21,23
1941,22,23
1942,22,4
1943,20,10
1944,22,22
1945,19,15
1946,22,6
1947,19,3
1948,19,6
1949,10,3
1950,15,7
1951,10,15
1952,9,10
1953,22,2
1954,5,2
1955,19,23
1956,19,21
1957,19,21
1958,19,15
1959,19,22
1960,3,15
1961,19,22
1962,9,10
1963,2,23
1964,8,2
1965,9,14
1966,21,10
1967,12,11
1968,21,15
1969,12,21
1970,10,7
1971,10,10
1972,10,14
1973,13,11
1974,7,10
1975,7,9
1976,7,14
1977,12,1
1978,10,7
1979,7,10
1980,10,6
1981,21,10
1982,7,9
1983,3,21
1984,22,16
1985,22,0
1986,7,17
1987,7,21
1988,7,11
1989,5,2
1990,7,17
1991,1,6
1992,22,2
1993,9,16
1994,5,16
1995,7,23
1996,22,21
1997,22,21
1998,19,15
1999,19,21
2000,5,22
2001,7,21
2002,7,7
2003,21,7
2004,10,7
2005,7,23
2006,7,7
2007,13,7
2008,7,1
2009,6,10
2010,3,6
2011,10,3
2012,22,21
2013,21,10
2014,2,2
2015,16,10
2016,10,7
2017,10,10
2018,3,21
2019,19,22
2020,19,16
2021,19,21
2022,19,22
2023,19,16
2024,19,3
2025,19,12
2026,16,10
2027,12,22
2028,16,1
2029,12,12
2030,12,22
2031,12,6
2032,21,4
2033,22,14
2034,10,10
2035,5,21
2036,9,14
2037,21,21
2038,3,2
2039,23,4
2040,21,7
2041,23,14
2042,4,21
2043,4,13
2044,5,18
2045,3,6
2046,9,23
2047,7,10
2048,22,21
2049,5,7
2050,9,21
2051,4,23
2052,21,9
2053,3,14
2054,3,10
2055,6,21
2056,15,10
2057,7,1
2058,5,7
2059,9,1
2060,5,9
2061,5,16
2062,3,2
2063,16,7
2064,22,13
2065,13,10
2066,7,21
2067,10,9
2068,10,21
2069,9,7
2070,2,15
2071,7,14
2072,22,16
2073,17,9
2074,16,22
2075,4,3
2076,7,23
2077,1,21
2078,10,15
2079,17,6
2080,21,2
2081,2,8
2082,2,21
2083,2,21
2084,3,7
2085,6,7
2086,10,10
2087,1,7
2088,12,23
2089,9,23
2090,17,10
2091,16,23
2092,9,21
2093,7,14
2094,5,21
2095,5,20
2096,21,21
2097,5,14
2098,5,13
2099,13,21
2100,22,21
2101,22,14
2102,5,10
2103,8,20
2104,1,21
2105,13,2
2106,5,6
2107,5,2
2108,7,7
2109,5,21
2110,7,10
2111,13,7
2112,7,7
2113,7,7
2114,9,10
2115,7,21
2116,3,1
2117,19,15
2118,22,21
2119,19,21
2120,21,10
2121,9,2
2122,7,10
2123,17,16
2124,17,11
2125,5,7
2126,5,2
2127,3,21
2128,2,4
2129,9,10
2130,19,21
2131,22,22
2132,19,21
2133,16,21
2134,16,22
2135,13,7
2136,13,11
2137,21,10
2138,3,7
2139,2,21
2140,13,9
