,TESTO DELLA DOMANDA,REPERTORIO DELLA DOMANDA,STRALCIO,DENOMINAZIONE SENIOR,DENOMINAZIONE JUNIOR
1173,"Se la risposta data alla risposta precedente è per nulla efficaci/poco efficaci 0 efficaci/molto efficaci, ci potrebbe indicare le ragioni della sua scelta?",VALUTAZIONE,"il numero di offerte e il numero dei_detenuti vanifica l' offerta stessa, personale specifico oberato e frustrato, limitazioni orarie ",GIUDIZIO,DESCRIZIONE
4397,"Se la risposta data alla domanda precedente è per nulla efficaci/poco efficaci o efficaci/molto efficaci, ci potrebbe indicare le ragioni della sua scelta?",VALUTAZIONE,"l' opportunit… del_trattt_rieducativo
non_Š_sufficiente
",GIUDIZIO,GIUDIZIO
6345,Come ti descriverai una volta uscito dal carcere?,DESCRIZIONE,tornare da mia_moglie,DESCRIZIONE,RIFERIMENTO ALL'OBIETTIVO
6495,"Secondo lei, quali altre iniziative
potrebbero facilitare l’integrazione fra la popolazione detenuta italiana e straniera?",OPINIONE,bisogna fare sezioni ed aree diverse,PRESCRIZIONE,PRESCRIZIONE
5471,"Per sviluppare le competenze che il suo ruolo richiede, in che modo l’Amministrazione Penitenziaria fornisce occasioni che reputa efficaci rispetto agli obiettivi e alle competenze previste dal suo ruolo?",DESCRIZIONE,"sembrano 
comunque ancora interventi scoordinati e senza applicazione immediata.",OPINIONE,OPINIONE
5580,"Per sviluppare le competenze che il suo ruolo richiede, in che modo l’Amministrazione Penitenziaria fornisce occasioni che reputa efficaci rispetto agli obiettivi e alle competenze previste dal suo ruolo?",DESCRIZIONE,"l' amministrazione penitenziaria fornisce poche occasioni per sviluppare 
competenze_che_il_mio_ruolo richiede 
",CONFERMA,CONFERMA
2417,"Come si descrive come consumatore di sostanze legali (ad esempio alcol, psicofarmaci)?",DESCRIZIONE,mi_sento un_po_calmo,GIUDIZIO,sancire
6633,"Secondo lei, quali altre iniziative
potrebbero facilitare l’integrazione fra la popolazione detenuta italiana e straniera?",OPINIONE,non ci sono casi di discriminazione,COMMENTO,COMMENTO
5579,"Per sviluppare le competenze che il suo ruolo richiede, in che modo l’Amministrazione Penitenziaria fornisce occasioni che reputa efficaci rispetto agli obiettivi e alle competenze previste dal suo ruolo?",DESCRIZIONE,anche_se e impossibile che accedano tutti,RIDIMENSIONAMENTO,RIDIMENSIONAMENTO
5585,come descriverebbe le opportunità di trattamento rieducativo a cui può accedere in quanto persona detenuta?,DESCRIZIONE,lo descrivo veramente bene,GIUDIZIO,GIUDIZIO
3609,Come descriverebbe una persona che ha commesso lo stesso reato che è stato imputato anche a lei?,DESCRIZIONE,più era povero,GIUDIZIO,GIUDIZIO
4601,"Se la risposta data alla domanda precedente è per nulla efficaci/poco efficaci o efficaci/molto efficaci, ci potrebbe indicare le ragioni della sua scelta?",VALUTAZIONE,la risposta non Š utile,NON RISPOSTA,NON RISPOSTA
5139,Immagini di essere stato trasferito in un nuovo Istituto di pena. Dopo alcuni giorni dal suo arrivo pensa: “la popolazione detenuta italiana e straniera di questo Istituto è integrata”. Che cosa le permette di pensarlo?,DESCRIZIONE,il_fatto_che possano andare tutti a scuola e possiamo conoscerci,DESCRIZIONE,DESCRIZIONE
6961,"Secondo lei, quali altre iniziative
potrebbero facilitare l’integrazione fra la popolazione detenuta italiana e straniera?",OPINIONE,non_saprei,NON RISPOSTA,NON RISPOSTA
2406,"Come si descrive come consumatore di sostanze legali (ad esempio alcol, psicofarmaci)?",DESCRIZIONE,non consumo,Non risposta,COMMENTO
7369,Come ti descriveresti prima di entrare in carcere?,DESCRIZIONE,una_persona però_sono umano e bravo,GIUSTIFICAZIONE,GIUDIZIO
7373,Come ti descriveresti prima di entrare in carcere?,DESCRIZIONE,non_avevo avuto a_che_fare_con la giustizia,GIUSTIFICAZIONE,GIUSTIFICAZIONE
5564,"Per sviluppare le competenze che il suo ruolo richiede, in che modo l’Amministrazione Penitenziaria fornisce occasioni che reputa efficaci rispetto agli obiettivi e alle competenze previste dal suo ruolo?",DESCRIZIONE,"posso dire_che a_distanza_di sei anni e mezzo dall' assunzione da ottima 
infermiera, sono ora una caposala che ha a_che_fare solo con fatture, 
computer e ricettari e scatole di medicinali",COMMENTO,COMMENTO
5098,Immagini di essere stato trasferito in un nuovo Istituto di pena. Dopo alcuni giorni dal suo arrivo pensa: “la popolazione detenuta italiana e straniera di questo Istituto è integrata”. Che cosa le permette di pensarlo?,DESCRIZIONE,non_mi riesce pensare,NON RISPOSTA,NON RISPOSTA
5586,come descriverebbe le opportunità di trattamento rieducativo a cui può accedere in quanto persona detenuta?,DESCRIZIONE,senza commento,GENERALIZZAZIONE,GENERALIZZAZIONE
2698,Come descriverebbe una persona che “gode di salute”?,DESCRIZIONE,"che vive in buona
che ha una buona percezione bisogni",GIUDIZIO,GIUDIZIO
1817,"Se dovesse stabilire dei criteri per valutare la qualità di ciò che può offrire un Istituto di pena, quali elementi prenderebbe in considerazione ?",VALUTAZIONE,possibilità di fare il bagno,GIUDIZIO,DESCRIZIONE
6125,Quali sono le azioni che vengono intraprese per la presa in carico della persona straniera detenuta tenendo anche in considerazione l’attività svolta dai ser.t?,DESCRIZIONE,riescono a metterlo sulla buona strada e rieducarlo,COMMENTO,COMMENTO
3,Come descriverebbe un trattamento efficace?,DESCRIZIONE,"come ad_esempio (lavoro, scuola, attività fisica, eccetera eccetera)",PRESCRIZIONE,SPECIFICAZIONE
5080,Immagini di essere stato trasferito in un nuovo Istituto di pena. Dopo alcuni giorni dal suo arrivo pensa: “la popolazione detenuta italiana e straniera di questo Istituto è integrata”. Che cosa le permette di pensarlo?,DESCRIZIONE,no dubito che ritornando alla riconoscenza di_alcune etnie per il reato cerco i miei conterranei e stop,COMMENTO,COMMENTO
1001,Se dovesse stabilire dei criteri per valutare la qualità di ciò che può offrire un istituto di pena quali elementi prenderebbe in considerazione?,DESCRIZIONE,rispetto_regolamento,sancire,PRESCRIZIONE
5312,Come ti descriveresti prima di entrare in carcere?,DESCRIZIONE,è sempre la stessa .,sancire,sancire
5169,Immagini di essere stato trasferito in un nuovo Istituto di pena. Dopo alcuni giorni dal suo arrivo pensa: “la popolazione detenuta italiana e straniera di questo Istituto è integrata”. Che cosa le permette di pensarlo?,DESCRIZIONE,dal_fatto_che vedo buona socializzazione tra_le_detenute,GIUDIZIO,GIUDIZIO
7444,Come ti descriveresti prima di entrare in carcere?,DESCRIZIONE,"non_lo_so , perché_non vorrei dare o descrivere_me_stesso , sarei ipocrita",RIDIMENSIONAMENTO,RIDIMENSIONAMENTO
1047,Se dovesse stabilire dei criteri per valutare la qualità di ciò che può offrire un istituto di pena quali elementi prenderebbe in considerazione?,DESCRIZIONE,verifiche_periodiche sulla operativit… da_parte_di personale adeguato super-partes,PRESCRIZIONE,DESCRIZIONE
3073,Come descriverebbe una persona che “gode di salute”?,DESCRIZIONE,una persona manifesta uno stato di benessere che psichico,GIUDIZIO,GIUDIZIO
6390,Come ti descriverai una volta uscito dal carcere?,DESCRIZIONE,quando_uscirò la lunga strada spinata che devo correre con un peso cumulato durante questa prigionia,GENERALIZZAZIONE,GENERALIZZAZIONE
6636,"Secondo lei, quali altre iniziative
potrebbero facilitare l’integrazione fra la popolazione detenuta italiana e straniera?",OPINIONE,al_momento non potrei rispondere,NON RISPOSTA,NON RISPOSTA
2773,Come descriverebbe una persona che “gode di salute”?,DESCRIZIONE,che sta bene,GIUDIZIO,GIUDIZIO
6228,Come ti descriverai una volta uscito dal carcere?,DESCRIZIONE,quando_uscirò mi_descrivo che andrà a_lavorare ,DESCRIZIONE,DICHIARAZIONE DI INTENTI
3321,Come descriverebbe una persona che ha commesso lo stesso reato che è stato imputato anche a lei?,DESCRIZIONE,uno scemo,GIUDIZIO,GIUDIZIO
296,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,DESCRIZIONE,dalle-altre-deten,DESCRIZIONE,DESCRIZIONE
7469,Come ti descriveresti prima di entrare in carcere?,DESCRIZIONE,io stavo_bene perché avevo la libertà e stavo con_mia_famiglia,CAUSA,CAUSA
539,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,DESCRIZIONE,"la psicologa 
",GENERALIZZAZIONE,DESCRIZIONE
800,Come descriverebbe le opportunità di trattamento rieducativo a cui può accedere in quanto persona deternuta?,DESCRIZIONE,svolgendo un lavoro sociorinsementale con personale qualificato,GIUDIZIO,sancire
7466,Come ti descriveresti prima di entrare in carcere?,DESCRIZIONE,molto_bene . non_ho che sarei entrata in_carcere . non_ho_fatto niente . mi sembra strano essere qui,COMMENTO,COMMENTO
6117,Quali sono le azioni che vengono intraprese per la presa in carico della persona straniera detenuta tenendo anche in considerazione l’attività svolta dai ser.t?,DESCRIZIONE,"registrazione in matricola e successivamente all' 
uff_educatori 
",GENERALIZZAZIONE,GENERALIZZAZIONE
5147,Immagini di essere stato trasferito in un nuovo Istituto di pena. Dopo alcuni giorni dal suo arrivo pensa: “la popolazione detenuta italiana e straniera di questo Istituto è integrata”. Che cosa le permette di pensarlo?,DESCRIZIONE,"senz_altro l' aiuto che si è disponibili a dare,",sancire,sancire
1645,"Se dovesse stabilire dei criteri per valutare la qualità di ciò che può offrire un Istituto di pena, quali elementi prenderebbe in considerazione ?",VALUTAZIONE,"vitto 
attività_sportive 
medico",GIUDIZIO,DESCRIZIONE
3167,Come descriverebbe una persona che ha commesso lo stesso reato che è stato imputato anche a lei?,DESCRIZIONE,mi dispiace,COMMENTO,COMMENTO
3305,Come descriverebbe una persona che ha commesso lo stesso reato che è stato imputato anche a lei?,DESCRIZIONE,è una persona ci ha pensato due volte su prima di compiere quel reato,sancire,sancire
5446,"Per sviluppare le competenze che il suo ruolo richiede, in che modo l’Amministrazione Penitenziaria fornisce occasioni che reputa efficaci rispetto agli obiettivi e alle competenze previste dal suo ruolo?",DESCRIZIONE,"per cui_si da priorita ai_compiti essenziali 
",IMPLICAZIONI,IMPLICAZIONI
2978,Come descriverebbe una persona che “gode di salute”?,DESCRIZIONE,una persona attiva,GIUDIZIO,GIUDIZIO
2695,Come descriverebbe una persona che “gode di salute”?,DESCRIZIONE,"serena, pulita, cordiale",GIUDIZIO,GIUDIZIO
2999,Come descriverebbe una persona che “gode di salute”?,DESCRIZIONE,persona che vive in piena armonia il proprio corpo e con l'ambiente circostante,GIUDIZIO,GIUDIZIO
136,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,DESCRIZIONE,penso-che sia qualcosa di-molto buono,NON RISPOSTA,GIUDIZIO
6956,"Secondo lei, quali altre iniziative
potrebbero facilitare l’integrazione fra la popolazione detenuta italiana e straniera?",OPINIONE,non_è_possibile,sancire,sancire
5763,come descriverebbe le opportunità di trattamento rieducativo a cui può accedere in quanto persona detenuta?,DESCRIZIONE,cos�_cos� perch‚ mi fanno sgobbare e mi pagano poco,VALUTAZIONE,VALUTAZIONE
3720,Come descriverebbe una persona che ha commesso lo stesso reato che è stato imputato anche a lei?,DESCRIZIONE,sfortunata,GIUDIZIO,GIUDIZIO
3512,Come descriverebbe una persona che ha commesso lo stesso reato che è stato imputato anche a lei?,DESCRIZIONE,bisogna approfondire su certe cose essere superficiale,NON RISPOSTA,COMMENTO
6858,"Secondo lei, quali altre iniziative
potrebbero facilitare l’integrazione fra la popolazione detenuta italiana e straniera?",OPINIONE,facilitando il dialogo con dei corsi di lingua_straniera.,SPECIFICAZIONE,SPECIFICAZIONE
4079,"In quanto persona straniera detenuta, come pensa che un operatore dell’area socio-sanitaria di sesso diverso dal suo la descriverebbe?",DESCRIZIONE,"credo che essendo io per-loro 
solo-un-numero gli-sn-indifferente 
",OPINIONE,COMMENTO
1735,"Se dovesse stabilire dei criteri per valutare la qualità di ciò che può offrire un Istituto di pena, quali elementi prenderebbe in considerazione ?",VALUTAZIONE,"e poter girare 
per il carcere",COMMENTO,DESCRIZIONE
3107,Come descriverebbe una persona che “gode di salute”?,DESCRIZIONE,no patologie fisiche gravi e da situazioni psichiche che condizionano la sua autonomia e libertà di pensiero,GIUDIZIO,GIUDIZIO
7342,Come ti descriveresti prima di entrare in carcere?,DESCRIZIONE,"sono_stato un_uomo felice e ho_sbagliato , spero dio che questo_sbaglio è il primo e l' ultimo",VALUTAZIONE,VALUTAZIONE
4786,"Se la risposta data alla domanda precedente è per nulla efficaci/poco efficaci o efficaci/molto efficaci, ci potrebbe indicare le ragioni della sua scelta?",VALUTAZIONE,"la mia_scelta quando faccio una bella cosa
per_me stesso e cos� io mi sento bene per
le altre
",NON RISPOSTA,NON RISPOSTA
2765,Come descriverebbe una persona che “gode di salute”?,DESCRIZIONE,"Una persona che sente soddisfatti i bisogni in rapporto a tali disagi bisogni: di cura, di ascolto, di scelta, di espressione personale, di benessere",GIUDIZIO,GIUDIZIO
2282,"Come si descrive come consumatore di sostanze legali (ad esempio alcol, psicofarmaci)?",DESCRIZIONE,una_persona vuole_scapp_cosa_rea,GENERALIZZAZIONE,GENERALIZZAZIONE
2882,Come descriverebbe una persona che “gode di salute”?,DESCRIZIONE,che fisicamente e moralmente sta bene,GIUDIZIO,GIUDIZIO
5596,come descriverebbe le opportunità di trattamento rieducativo a cui può accedere in quanto persona detenuta?,DESCRIZIONE,lavoro e scuola e imparare qualche mestiere,DESCRIZIONE,DESCRIZIONE
7415,Come ti descriveresti prima di entrare in carcere?,DESCRIZIONE,a me mi_sembrava_che_tutto quello che facevo andava_bene,OPINIONE,OPINIONE
3113,Come descriverebbe una persona che “gode di salute”?,DESCRIZIONE,una persona che fisicamente e psicologicamente è sana,GIUDIZIO,GIUDIZIO
6924,"Secondo lei, quali altre iniziative
potrebbero facilitare l’integrazione fra la popolazione detenuta italiana e straniera?",OPINIONE,nessuna,sancire,sancire
4606,"Se la risposta data alla domanda precedente è per nulla efficaci/poco efficaci o efficaci/molto efficaci, ci potrebbe indicare le ragioni della sua scelta?",VALUTAZIONE,"il trattt_rieducativo molto_efficace serve
per preparare una_persona per una
imminente uscita nella societ…",PRESCRIZIONE,PRESCRIZIONE
3431,Come descriverebbe una persona che ha commesso lo stesso reato che è stato imputato anche a lei?,DESCRIZIONE,"tutti possiamo cadere, non è per il tipo di persona.",sancire,GENERALIZZAZIONE
5989,Quali sono le azioni che vengono intraprese per la presa in carico della persona straniera detenuta tenendo anche in considerazione l’attività svolta dai ser.t?,DESCRIZIONE,non seguo questi,GIUSTIFICAZIONE,NON RISPOSTA
2264,"Come si descrive come consumatore di sostanze legali (ad esempio alcol, psicofarmaci)?",DESCRIZIONE,"mi diverto all_inizio poi dopo tre tiri di cocaina ti_arrabbi/ ma all_inizio mi 
aiuta_a_dimenticare
perché pensi chi_aiuta_me
io non_dipendo da queste_sostanze però",CONTRAPPOSIZIONE,DESCRIZIONE
4584,"Se la risposta data alla domanda precedente è per nulla efficaci/poco efficaci o efficaci/molto efficaci, ci potrebbe indicare le ragioni della sua scelta?",VALUTAZIONE,"perch‚ anche_se le opportunit… ci sono non
ce lo permettono di beneficiarne
",DERESPONSABILIZZAZIONE,DERESPONSABILIZZAZIONE
2227,"Come si descrive come consumatore di sostanze legali (ad esempio alcol, psicofarmaci)?",DESCRIZIONE,non uso sostanze,NON RISPOSTA,COMMENTO
3535,Come descriverebbe una persona che ha commesso lo stesso reato che è stato imputato anche a lei?,DESCRIZIONE,commetttere questo reato per sbaglio,CAUSA,COMMENTO
990,Se dovesse stabilire dei criteri per valutare la qualità di ciò che può offrire un istituto di pena quali elementi prenderebbe in considerazione?,DESCRIZIONE,offerta di lavoro,sancire,PRESCRIZIONE
2274,"Come si descrive come consumatore di sostanze legali (ad esempio alcol, psicofarmaci)?",DESCRIZIONE,perché nessuno è perfetto,COMMENTO,COMMENTO
1429,"Se dovesse stabilire dei criteri per valutare la qualità di ciò che può offrire un Istituto di pena, quali elementi prenderebbe in considerazione ?",VALUTAZIONE,"che non manchi l' acqua nella doccia; selezionare la 
nazionalità dei_detenuti",GIUDIZIO,DESCRIZIONE
3101,Come descriverebbe una persona che “gode di salute”?,DESCRIZIONE,una persona,GENERALIZZAZIONE,GENERALIZZAZIONE
280,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,DESCRIZIONE,da un-altro,GENERALIZZAZIONE,GENERALIZZAZIONE
6501,"Secondo lei, quali altre iniziative
potrebbero facilitare l’integrazione fra la popolazione detenuta italiana e straniera?",OPINIONE,nel_senso questo carcere soffruisce di 6 sezioni di cui 1 è alta sicurezza e 5 sono comuni,SPECIFICAZIONE,SPECIFICAZIONE
2414,"Come si descrive come consumatore di sostanze legali (ad esempio alcol, psicofarmaci)?",DESCRIZIONE,queste sostanze_illecite e no_devono_usate perché ti rovinano_salute,COMMENTO,CAUSA
5692,come descriverebbe le opportunità di trattamento rieducativo a cui può accedere in quanto persona detenuta?,DESCRIZIONE,importante,GIUDIZIO,GIUDIZIO
1905,Come descriverebbe le opportunità di trattamento rieducativo a cui può accedere una persona Detenuta?,DESCRIZIONE,"buone ed uguali per tutti 
",GIUDIZIO,GIUDIZIO
5106,Immagini di essere stato trasferito in un nuovo Istituto di pena. Dopo alcuni giorni dal suo arrivo pensa: “la popolazione detenuta italiana e straniera di questo Istituto è integrata”. Che cosa le permette di pensarlo?,DESCRIZIONE,non_penso_niente!!!,NON RISPOSTA,NON RISPOSTA
371,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,DESCRIZIONE,la-mia-professione e lo sport,NON RISPOSTA,sancire
57,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,DESCRIZIONE,ness-risposta perche non-ho-capito il significato,GIUSTIFICAZIONE,GIUSTIFICAZIONE
3946,"In quanto persona straniera detenuta, come pensa che un operatore dell’area socio-sanitaria di sesso diverso dal suo la descriverebbe?",DESCRIZIONE,ci-descrive come-descr-le-ital,sancire,sancire
17,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,DESCRIZIONE,importante,GIUDIZIO,GIUDIZIO
715,Come descriverebbe le opportunità di trattamento rieducativo a cui può accedere in quanto persona deternuta?,DESCRIZIONE,cioe un educatore,SPECIFICAZIONE,SPECIFICAZIONE
3705,Come descriverebbe una persona che ha commesso lo stesso reato che è stato imputato anche a lei?,DESCRIZIONE,è una persona poco responsabile di ciò che ha fatto e dei propri sbagli,GIUDIZIO,GIUDIZIO
3843,"In quanto persona straniera detenuta, come pensa che un operatore dell’area socio-sanitaria di sesso diverso dal suo la descriverebbe?",DESCRIZIONE,come-quals-alt-detenuto,sancire,sancire
1734,"Se dovesse stabilire dei criteri per valutare la qualità di ciò che può offrire un Istituto di pena, quali elementi prenderebbe in considerazione ?",VALUTAZIONE,aprire le porte (perché con le porte chiuse si litiga),GIUDIZIO,CAUSA
1712,"Se dovesse stabilire dei criteri per valutare la qualità di ciò che può offrire un Istituto di pena, quali elementi prenderebbe in considerazione ?",VALUTAZIONE,mi_piacerebbe avessimo la doccia_in_cella perché è_più igienico,sancire,VALUTAZIONE
923,Se dovesse stabilire dei criteri per valutare la qualità di ciò che può offrire un istituto di pena quali elementi prenderebbe in considerazione?,DESCRIZIONE,possibilit… di accesso a corsi_formativi e culturali e all'attivit... Lavorativa;,DESCRIZIONE,PRESCRIZIONE
5310,Come ti descriveresti prima di entrare in carcere?,DESCRIZIONE,"prima_che entravo non_avevo quei pensieri che ho adesso , vedevo la mia_vita diversa e qui_dentro la",VALUTAZIONE,VALUTAZIONE
5980,Quali sono le azioni che vengono intraprese per la presa in carico della persona straniera detenuta tenendo anche in considerazione l’attività svolta dai ser.t?,DESCRIZIONE,"ric_risorse_est ( abitazione , lavoro ) che non_esistono 
progetto individualizzato 
sostegno individuale e sostegno_soc
",DESCRIZIONE,sancire
3188,Come descriverebbe una persona che ha commesso lo stesso reato che è stato imputato anche a lei?,DESCRIZIONE,mi allontano da questa strada,COMMENTO,COMMENTO
264,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,DESCRIZIONE,da-altri-deten,DESCRIZIONE,DESCRIZIONE
6397,Come si descriverebbe come persona straniera detenuta,DESCRIZIONE,normale,GIUDIZIO,GIUDIZIO
2757,Come descriverebbe una persona che “gode di salute”?,DESCRIZIONE,una persona di nessun tipo di farmaco nell'arco della giornata,DESCRIZIONE,sancire
7459,Come ti descriveresti prima di entrare in carcere?,DESCRIZIONE,bene tutto al suo posto,sancire,sancire
1642,"Se dovesse stabilire dei criteri per valutare la qualità di ciò che può offrire un Istituto di pena, quali elementi prenderebbe in considerazione ?",VALUTAZIONE,efficienza della_direzione e degli_educatori,CONSIDERAZIONE,GIUDIZIO
6371,Come ti descriverai una volta uscito dal carcere?,DESCRIZIONE,come_una_persona tranquilla che deve iniziare una_nuova normale lavorando,GIUDIZIO,GIUDIZIO
4045,"In quanto persona straniera detenuta, come pensa che un operatore dell’area socio-sanitaria di sesso diverso dal suo la descriverebbe?",DESCRIZIONE,Fa-suo-lavoro non-pensa-ad-altro,sancire,COMMENTO
4567,"Se la risposta data alla domanda precedente è per nulla efficaci/poco efficaci o efficaci/molto efficaci, ci potrebbe indicare le ragioni della sua scelta?",VALUTAZIONE,"perch‚_qui in_questo_istituto funzionano le
attivit…_rieducative , anzi hanno l'
effetto contrario : ti
mettono nella stessa cella con delle
persone malate ed l' attivit… di lavoro non
va per_niente bene ,
quindi impatto zero .
",DESCRIZIONE,GIUDIZIO
6147,Quali sono le azioni che vengono intraprese per la presa in carico della persona straniera detenuta tenendo anche in considerazione l’attività svolta dai ser.t?,DESCRIZIONE,"colloq_pr_ingr e qualora dovesse 
emerg_stato_tosdip segnalazione del caso al competente sert",DESCRIZIONE,DESCRIZIONE
2841,Come descriverebbe una persona che “gode di salute”?,DESCRIZIONE,non sintomatologia evidente,sancire,sancire
6664,"Secondo lei, quali altre iniziative
potrebbero facilitare l’integrazione fra la popolazione detenuta italiana e straniera?",OPINIONE,alla educazione_italiana,GENERALIZZAZIONE,GENERALIZZAZIONE
1320,"Se dovesse stabilire dei criteri per valutare la qualità di ciò che può offrire un Istituto di pena, quali elementi prenderebbe in considerazione ?",VALUTAZIONE,"cibo; attività_sportive; cabina_telefonica; 
",GIUDIZIO,DESCRIZIONE
4124,"In quanto persona straniera detenuta, come pensa che un operatore dell’area socio-sanitaria di sesso diverso dal suo la descriverebbe?",DESCRIZIONE,"mi-descriverebbe nello-stesso-modo che descrive gli-altri-detenuti 
",sancire,sancire
3255,Come descriverebbe una persona che ha commesso lo stesso reato che è stato imputato anche a lei?,DESCRIZIONE,"pazienza, essere utile ed amare il prossimo",COMMENTO,COMMENTO
