,Unnamed: 0,TESTO DELLA DOMANDA,REPERTORIO DELLA DOMANDA,STRALCIO,DENOMINAZIONE SENIOR
5573,5573,"Per sviluppare le competenze che il suo ruolo richiede, in che modo l’Amministrazione Penitenziaria fornisce occasioni che reputa efficaci rispetto agli obiettivi e alle competenze previste dal suo ruolo?",DESCRIZIONE,assenza_di_ausili_tecnici,DESCRIZIONE
1241,1241,"Se dovesse stabilire dei criteri per valutare la qualità di ciò che può offrire un Istituto di pena, quali elementi prenderebbe in considerazione ?",VALUTAZIONE,da_noi non c' è il vino,GIUDIZIO
5791,5791,come descriverebbe le opportunità di trattamento rieducativo a cui può accedere in quanto persona detenuta?,DESCRIZIONE,quasi_tutto,CONFERMA
5575,5575,"Per sviluppare le competenze che il suo ruolo richiede, in che modo l’Amministrazione Penitenziaria fornisce occasioni che reputa efficaci rispetto agli obiettivi e alle competenze previste dal suo ruolo?",DESCRIZIONE,"l' amministrazione penitenziaria offre molteplici opportunita 
di_formazione ai_propri dipendenti 
",CONFERMA
3936,3936,"In quanto persona straniera detenuta, come pensa che un operatore dell’area socio-sanitaria di sesso diverso dal suo la descriverebbe?",DESCRIZIONE,si-comporta male,GIUDIZIO
5262,5262,Come ti descriveresti prima di entrare in carcere?,DESCRIZIONE,prima_d_entrare_in_prigione ero_fuori ogni_giorno con una macchina nuova avevo tanti soldi .,SPECIFICAZIONE
6154,6154,Quali sono le azioni che vengono intraprese per la presa in carico della persona straniera detenuta tenendo anche in considerazione l’attività svolta dai ser.t?,DESCRIZIONE,precedente o attuale stato_salute,NON RISPOSTA
4143,4143,"In quanto persona straniera detenuta, come pensa che un operatore dell’area socio-sanitaria di sesso diverso dal suo la descriverebbe?",DESCRIZIONE,non-c-e-ness-differ,sancire
4169,4169,"In quanto persona straniera detenuta, come pensa che un operatore dell’area socio-sanitaria di sesso diverso dal suo la descriverebbe?",DESCRIZIONE,"penso-che mi-descriverebbe un bel-ragazzo che sta-pass-brut-mom nella sua-vita 
",OPINIONE
3812,3812,Come descriverebbe una persona che ha commesso lo stesso reato che è stato imputato anche a lei?,DESCRIZIONE,sfortunato,GIUDIZIO
2673,2673,Come descriverebbe una persona che “gode di salute”?,DESCRIZIONE,che richiede la visita medica per consigli medici,DESCRIZIONE
2133,2133,"Come si descrive come consumatore di sostanze legali (ad esempio alcol, psicofarmaci)?",DESCRIZIONE,fallito,GIUDIZIO
4203,4203,"In quanto persona straniera detenuta, come pensa che un operatore dell’area socio-sanitaria di sesso diverso dal suo la descriverebbe?",DESCRIZIONE,nn-poss-legg-s-pens,NON RISPOSTA
2928,2928,Come descriverebbe una persona che “gode di salute”?,DESCRIZIONE,"strutturata capace di rispondere con lucidità ad un esame di realtà e di rielaborare, anche aiutato, un progetto di crescita personale",DESCRIZIONE
2008,2008,"Come si descrive come consumatore di sostanze legali (ad esempio alcol, psicofarmaci)?",DESCRIZIONE,034) tossici,sancire
2678,2678,Come descriverebbe una persona che “gode di salute”?,DESCRIZIONE,una persona fisica e mentale,sancire
2219,2219,"Come si descrive come consumatore di sostanze legali (ad esempio alcol, psicofarmaci)?",DESCRIZIONE,non consumo,NON RISPOSTA
1665,1665,"Se dovesse stabilire dei criteri per valutare la qualità di ciò che può offrire un Istituto di pena, quali elementi prenderebbe in considerazione ?",VALUTAZIONE,lavorare tutti_i_detenuti al pari,GIUDIZIO
2291,2291,"Come si descrive come consumatore di sostanze legali (ad esempio alcol, psicofarmaci)?",DESCRIZIONE,"sempre i_problemi di essere_estraneo, la causa_il_carcere",CAUSA
4483,4483,"Se la risposta data alla domanda precedente è per nulla efficaci/poco efficaci o efficaci/molto efficaci, ci potrebbe indicare le ragioni della sua scelta?",VALUTAZIONE,perch‚_non_ho fatto niente,GENERALIZZAZIONE
5972,5972,Quali sono le azioni che vengono intraprese per la presa in carico della persona straniera detenuta tenendo anche in considerazione l’attività svolta dai ser.t?,DESCRIZIONE,il detenuto viene_seguito dal_personale assegnato alla sezione di_appartenenza del detenuto .,COMMENTO
7306,7306,Come ti descriveresti prima di entrare in carcere?,DESCRIZIONE,ero_tranquillo e molto_buono e generoso,GIUDIZIO
2850,2850,Come descriverebbe una persona che “gode di salute”?,DESCRIZIONE,che ringraziando il signore sta bene,GIUDIZIO
1831,1831,"Se dovesse stabilire dei criteri per valutare la qualità di ciò che può offrire un Istituto di pena, quali elementi prenderebbe in considerazione ?",VALUTAZIONE,"non saprei dire niente, so solo_che ci_condannano senza colpa",GENERALIZZAZIONE
952,952,Se dovesse stabilire dei criteri per valutare la qualità di ciò che può offrire un istituto di pena quali elementi prenderebbe in considerazione?,DESCRIZIONE,in_primis orario_di_lavoro,COMMENTO
2235,2235,"Come si descrive come consumatore di sostanze legali (ad esempio alcol, psicofarmaci)?",DESCRIZIONE,non me ne intendo,NON RISPOSTA
5135,5135,Immagini di essere stato trasferito in un nuovo Istituto di pena. Dopo alcuni giorni dal suo arrivo pensa: “la popolazione detenuta italiana e straniera di questo Istituto è integrata”. Che cosa le permette di pensarlo?,DESCRIZIONE,inserimento in_cella,DESCRIZIONE
6058,6058,Quali sono le azioni che vengono intraprese per la presa in carico della persona straniera detenuta tenendo anche in considerazione l’attività svolta dai ser.t?,DESCRIZIONE,non_so dare una spiegazione,GIUSTIFICAZIONE
6919,6919,"Secondo lei, quali altre iniziative
potrebbero facilitare l’integrazione fra la popolazione detenuta italiana e straniera?",OPINIONE,che siano nelle varie celle,SPECIFICAZIONE
2679,2679,Come descriverebbe una persona che “gode di salute”?,DESCRIZIONE,una persona si alza al mattino fa colazione e poi va a lavorare,DESCRIZIONE
1082,1082,"Se dovesse stabilire dei criteri per valutare la qualità di ciò che può offrire un istituto di pena, quali elementi prenderebbe in considerazione",VALUTAZIONE,le caratteristiche specifiche di ciascun detenuto,sancire
63,63,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,DESCRIZIONE,"dai deten-sono-con-me 
",DESCRIZIONE
4824,4824,Immagini di essere stato trasferito in un nuovo Istituto di pena. Dopo alcuni giorni dal suo arrivo pensa: “la popolazione detenuta italiana e straniera di questo Istituto è integrata”. Che cosa le permette di pensarlo?,DESCRIZIONE,l' integrazione sportiva e culturale è tutto ciò che mi fa pensare ,DESCRIZIONE
5021,5021,Immagini di essere stato trasferito in un nuovo Istituto di pena. Dopo alcuni giorni dal suo arrivo pensa: “la popolazione detenuta italiana e straniera di questo Istituto è integrata”. Che cosa le permette di pensarlo?,DESCRIZIONE,", le attività_lavorative vengono svolte.",DESCRIZIONE
437,437,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,DESCRIZIONE,"perche gli altri-deten mi-hanno-fat-conosqueste-opport 
",DESCRIZIONE
3284,3284,Come descriverebbe una persona che ha commesso lo stesso reato che è stato imputato anche a lei?,DESCRIZIONE,"non so cosa dire perché il detenuto è come l'uccello in gabbia, non sa niente, sa solo cantare",COMMENTO
1127,1127,"Se dovesse stabilire dei criteri per valutare la qualità di ciò che può offrire un istituto di pena, quali elementi prenderebbe in considerazione",VALUTAZIONE,non_so rispondere trovare qualità in_carcere è impossibile. basta dire_che in_una_cella lunga poco_più_di 4 mt e larga 3 metri devono vivere 3 persone ,sancire
5461,5461,"Per sviluppare le competenze che il suo ruolo richiede, in che modo l’Amministrazione Penitenziaria fornisce occasioni che reputa efficaci rispetto agli obiettivi e alle competenze previste dal suo ruolo?",DESCRIZIONE,"regolamenti che non vengono applicati, 
",GENERALIZZAZIONE
6087,6087,Quali sono le azioni che vengono intraprese per la presa in carico della persona straniera detenuta tenendo anche in considerazione l’attività svolta dai ser.t?,DESCRIZIONE,somministr_metad,DESCRIZIONE
4123,4123,"In quanto persona straniera detenuta, come pensa che un operatore dell’area socio-sanitaria di sesso diverso dal suo la descriverebbe?",DESCRIZIONE,come-tutti-altri,sancire
2904,2904,Come descriverebbe una persona che “gode di salute”?,DESCRIZIONE,una persona ha dalla sua parte la buona sorte,sancire
5359,5359,Come ti descriveresti prima di entrare in carcere?,DESCRIZIONE,i corsi_di_formazione sono pochissimi e non c' e aggiornamento,DESCRIZIONE
717,717,Come descriverebbe le opportunità di trattamento rieducativo a cui può accedere in quanto persona deternuta?,DESCRIZIONE,c'e solo un po' po' di passaggio e poi in cella chiusi,SPECIFICAZIONE
1825,1825,"Se dovesse stabilire dei criteri per valutare la qualità di ciò che può offrire un Istituto di pena, quali elementi prenderebbe in considerazione ?",VALUTAZIONE,e da dieci anni che sono in_carcere e non godo di nessun diritto,GENERALIZZAZIONE
4568,4568,"Se la risposta data alla domanda precedente è per nulla efficaci/poco efficaci o efficaci/molto efficaci, ci potrebbe indicare le ragioni della sua scelta?",VALUTAZIONE,"non_ci_sono persone che possono aiutare i
detenuti stranieri
",DESCRIZIONE
3822,3822,Come descriverebbe una persona che ha commesso lo stesso reato che è stato imputato anche a lei?,DESCRIZIONE,non posso descriverlo per la seconda volta,NON RISPOSTA
3130,3130,Come descriverebbe una persona che “gode di salute”?,DESCRIZIONE,una persona lamenta problematiche fisiche,sancire
6698,6698,"Secondo lei, quali altre iniziative
potrebbero facilitare l’integrazione fra la popolazione detenuta italiana e straniera?",OPINIONE,parità tra i due,GENERALIZZAZIONE
1069,1069,Se dovesse stabilire dei criteri per valutare la qualità di ciò che può offrire un istituto di pena quali elementi prenderebbe in considerazione?,DESCRIZIONE,rapporto detenuti (numero) / agente,sancire
5187,5187,Immagini di essere stato trasferito in un nuovo Istituto di pena. Dopo alcuni giorni dal suo arrivo pensa: “la popolazione detenuta italiana e straniera di questo Istituto è integrata”. Che cosa le permette di pensarlo?,DESCRIZIONE,non_è_integrata,NON RISPOSTA
6875,6875,"Secondo lei, quali altre iniziative
potrebbero facilitare l’integrazione fra la popolazione detenuta italiana e straniera?",OPINIONE,attraverso uno scambio culturale tra di loro,GENERALIZZAZIONE
2779,2779,Come descriverebbe una persona che “gode di salute”?,DESCRIZIONE,una persona con un buon sociale,GIUDIZIO
5766,5766,come descriverebbe le opportunità di trattamento rieducativo a cui può accedere in quanto persona detenuta?,DESCRIZIONE,lavoro . Medio,GIUDIZIO
4379,4379,"Se la risposta data alla domanda precedente è per nulla efficaci/poco efficaci o efficaci/molto efficaci, ci potrebbe indicare le ragioni della sua scelta?",VALUTAZIONE,"poco_efficaci abbiamo bisogno di
informazioni precise ed efficaci , abbiamo
bisogno di_tante
altre cose come corsi che ci aiutino a
trovare un_lavoro subito una_volta usciti
da_qui
",GIUDIZIO
1830,1830,"Se dovesse stabilire dei criteri per valutare la qualità di ciò che può offrire un Istituto di pena, quali elementi prenderebbe in considerazione ?",VALUTAZIONE,"il servizio_medico 
possibilità di parlare con l' educatrice",GENERALIZZAZIONE
4898,4898,Immagini di essere stato trasferito in un nuovo Istituto di pena. Dopo alcuni giorni dal suo arrivo pensa: “la popolazione detenuta italiana e straniera di questo Istituto è integrata”. Che cosa le permette di pensarlo?,DESCRIZIONE,ne incontriamo solo quando usciamo fuori ,COMMENTO
1415,1415,"Se dovesse stabilire dei criteri per valutare la qualità di ciò che può offrire un Istituto di pena, quali elementi prenderebbe in considerazione ?",VALUTAZIONE,"c' è bisogno d' acqua 
perché_non funziona bene l' impianto",sancire
4128,4128,"In quanto persona straniera detenuta, come pensa che un operatore dell’area socio-sanitaria di sesso diverso dal suo la descriverebbe?",DESCRIZIONE,non-so,NON RISPOSTA
2644,2644,Come descriverebbe una persona che “gode di salute”?,DESCRIZIONE,"che ha curiosità e interessi
che sa di poter contare su sé stesso e sugli altri
che gestisce frustrazioni
che ha mantenuto un certo grado di autostima",sancire
7315,7315,Come ti descriveresti prima di entrare in carcere?,DESCRIZIONE,molto allegro aiuto persone bisognose,VALUTAZIONE
7083,7083,Come ti descriveresti prima di entrare in carcere?,DESCRIZIONE,piccolo spacciatore,GIUDIZIO
4785,4785,"Se la risposta data alla domanda precedente è per nulla efficaci/poco efficaci o efficaci/molto efficaci, ci potrebbe indicare le ragioni della sua scelta?",VALUTAZIONE,gli assistenti troppo assenti,DESCRIZIONE
6782,6782,"Secondo lei, quali altre iniziative
potrebbero facilitare l’integrazione fra la popolazione detenuta italiana e straniera?",OPINIONE,fare attività culturale insieme e renderci più partecipi in_tutto.,DESCRIZIONE
6825,6825,"Secondo lei, quali altre iniziative
potrebbero facilitare l’integrazione fra la popolazione detenuta italiana e straniera?",OPINIONE,non_saprei,NON RISPOSTA
4916,4916,Immagini di essere stato trasferito in un nuovo Istituto di pena. Dopo alcuni giorni dal suo arrivo pensa: “la popolazione detenuta italiana e straniera di questo Istituto è integrata”. Che cosa le permette di pensarlo?,DESCRIZIONE,quando si rispettano uno con l'altro ,DESCRIZIONE
5104,5104,Immagini di essere stato trasferito in un nuovo Istituto di pena. Dopo alcuni giorni dal suo arrivo pensa: “la popolazione detenuta italiana e straniera di questo Istituto è integrata”. Che cosa le permette di pensarlo?,DESCRIZIONE,"forse in_un_altro_istituto avranno più spazi, qui non_si_può fare un discorso del_genere",COMMENTO
1283,1283,"Se dovesse stabilire dei criteri per valutare la qualità di ciò che può offrire un Istituto di pena, quali elementi prenderebbe in considerazione ?",VALUTAZIONE,che anche una_persona innocente si trova anche colpevole,sancire
3033,3033,Come descriverebbe una persona che “gode di salute”?,DESCRIZIONE,cura del proprio aspetto fisico,sancire
792,792,Come descriverebbe le opportunità di trattamento rieducativo a cui può accedere in quanto persona deternuta?,DESCRIZIONE,scadenti,GIUDIZIO
6128,6128,Quali sono le azioni che vengono intraprese per la presa in carico della persona straniera detenuta tenendo anche in considerazione l’attività svolta dai ser.t?,DESCRIZIONE,le azioni che vengono_intraprese per la persona_stran_det presa_carico sono_le_stesse intraprese per un detenuto_italiano,COMMENTO
6950,6950,"Secondo lei, quali altre iniziative
potrebbero facilitare l’integrazione fra la popolazione detenuta italiana e straniera?",OPINIONE,continuare se possibile manifestazioni che possano coinvolgere italiani_e_stranieri,DESCRIZIONE
3306,3306,Come descriverebbe una persona che ha commesso lo stesso reato che è stato imputato anche a lei?,DESCRIZIONE,una persona o che è stata a sbagliare,sancire
4966,4966,Immagini di essere stato trasferito in un nuovo Istituto di pena. Dopo alcuni giorni dal suo arrivo pensa: “la popolazione detenuta italiana e straniera di questo Istituto è integrata”. Che cosa le permette di pensarlo?,DESCRIZIONE,nessuno,sancire
4108,4108,"In quanto persona straniera detenuta, come pensa che un operatore dell’area socio-sanitaria di sesso diverso dal suo la descriverebbe?",DESCRIZIONE,"E-difficile-rispond a-questa-domanda perche il pensiero della-Persona E-diversoda-1-pers-all-altra , 
",COMMENTO
5653,5653,come descriverebbe le opportunità di trattamento rieducativo a cui può accedere in quanto persona detenuta?,DESCRIZIONE,comunque sono buoni,GIUDIZIO
60,60,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,DESCRIZIONE,non-rispondo perche non-capisco la domanda,GIUSTIFICAZIONE
6701,6701,"Secondo lei, quali altre iniziative
potrebbero facilitare l’integrazione fra la popolazione detenuta italiana e straniera?",OPINIONE,dare più opportunità all_interno_dei carceri farci socializzare.,GENERALIZZAZIONE
