,Unnamed: 0,TESTO DELLA DOMANDA,REPERTORIO DELLA DOMANDA,STRALCIO,DENOMINAZIONE SENIOR
5392,5392,Come ti descriveresti prima di entrare in carcere?,DESCRIZIONE,"spesso e volentieri si ha l_impressione_che si facciano le cose tanto_per 
farle e non per i risultati che si potrebbero ottenere!! 
",COMMENTO
2337,2337,"Come si descrive come consumatore di sostanze legali (ad esempio alcol, psicofarmaci)?",DESCRIZIONE,mai_usato,Non risposta
6742,6742,"Secondo lei, quali altre iniziative
potrebbero facilitare l’integrazione fra la popolazione detenuta italiana e straniera?",OPINIONE,uno scambio culturale supportato da operatori e custodia. alimentazione musica e l' arte in_generale,DESCRIZIONE
6384,6384,Come ti descriverai una volta uscito dal carcere?,DESCRIZIONE,come_libero,GIUDIZIO
2648,2648,Come descriverebbe una persona che “gode di salute”?,DESCRIZIONE,vorrei essere come lui,COMMENTO
6469,6469,"Secondo lei, quali altre iniziative
potrebbero facilitare l’integrazione fra la popolazione detenuta italiana e straniera?",OPINIONE,operatori capaci di facilitare l' incontro tra le due comunità detenute,GIUDIZIO
1697,1697,"Se dovesse stabilire dei criteri per valutare la qualità di ciò che può offrire un Istituto di pena, quali elementi prenderebbe in considerazione ?",VALUTAZIONE,"più_lavoro 
più_attività",sancire
1546,1546,"Se dovesse stabilire dei criteri per valutare la qualità di ciò che può offrire un Istituto di pena, quali elementi prenderebbe in considerazione ?",VALUTAZIONE,"non lasciano dormire battono fuori_dalle celle 
mi_fanno_male le guardie del_carcere",GIUDIZIO
2415,2415,"Come si descrive come consumatore di sostanze legali (ad esempio alcol, psicofarmaci)?",DESCRIZIONE,queste sostanze_proibite,COMMENTO
1970,1970,Come descriverebbe una persona che è stata condannata per lo stesso reato che è stato imputato anche a lei?,DESCRIZIONE,"----028 
mi_sento troppo male dalla sofferenza",COMMENTO
6699,6699,"Secondo lei, quali altre iniziative
potrebbero facilitare l’integrazione fra la popolazione detenuta italiana e straniera?",OPINIONE,una buona campagna educativa del problema da_parte_dello stato,GIUDIZIO
3608,3608,Come descriverebbe una persona che ha commesso lo stesso reato che è stato imputato anche a lei?,DESCRIZIONE,penso che se c'è qualcuno che gli possa fare capire che sta sbagliando e questo lo farà soffrire troppo e penso che solo dio può fare camminare per la strada giusta,COMMENTO
4216,4216,"In quanto persona straniera detenuta, come pensa che un operatore dell’area socio-sanitaria di sesso diverso dal suo la descriverebbe?",DESCRIZIONE,"tranquilla e rispettosa , educata",GIUDIZIO
3892,3892,"In quanto persona straniera detenuta, come pensa che un operatore dell’area socio-sanitaria di sesso diverso dal suo la descriverebbe?",DESCRIZIONE,normale,GIUDIZIO
1454,1454,"Se dovesse stabilire dei criteri per valutare la qualità di ciò che può offrire un Istituto di pena, quali elementi prenderebbe in considerazione ?",VALUTAZIONE,; lavoro,GIUDIZIO
2604,2604,Come descriverebbe una persona che “gode di salute”?,DESCRIZIONE,in armonia con se stesso,GIUDIZIO
4977,4977,Immagini di essere stato trasferito in un nuovo Istituto di pena. Dopo alcuni giorni dal suo arrivo pensa: “la popolazione detenuta italiana e straniera di questo Istituto è integrata”. Che cosa le permette di pensarlo?,DESCRIZIONE,penso che lo psicologo e l'educatore ti aiutano a inserirti,OPINIONE
5386,5386,Come ti descriveresti prima di entrare in carcere?,DESCRIZIONE,"ma_spesso_si e chiamati a investire ruoli che non 
corrispondono al profilo professionale per la mancanza di profili 
necessariamente sottoposti ai_corsi 
",CONTRAPPOSIZIONE
6915,6915,"Secondo lei, quali altre iniziative
potrebbero facilitare l’integrazione fra la popolazione detenuta italiana e straniera?",OPINIONE,ci_sono_persone pagate per fare funzionare questa giusta integrazione.,DERESPONSABILIZZAZIONE
5177,5177,Immagini di essere stato trasferito in un nuovo Istituto di pena. Dopo alcuni giorni dal suo arrivo pensa: “la popolazione detenuta italiana e straniera di questo Istituto è integrata”. Che cosa le permette di pensarlo?,DESCRIZIONE,perchénon_parliamo_la_stessa e a_volte può_succedere che non_ci_capiamo e possiamo litigare e io_non voglio questo,COMMENTO
6889,6889,"Secondo lei, quali altre iniziative
potrebbero facilitare l’integrazione fra la popolazione detenuta italiana e straniera?",OPINIONE,la possibilità di corsi stranieri per facilitare entrambe le popolazioni al dialogo,RIFERIMENTO ALL'OBIETTIVO
4659,4659,"Se la risposta data alla domanda precedente è per nulla efficaci/poco efficaci o efficaci/molto efficaci, ci potrebbe indicare le ragioni della sua scelta?",VALUTAZIONE,"le opportunit… di trattt_rieducativo Š
abbastanza efficace_perch‚ i diritti
non_ci_sono
",VALUTAZIONE
6452,6452,"Secondo lei, quali altre iniziative
potrebbero facilitare l’integrazione fra la popolazione detenuta italiana e straniera?",OPINIONE,colloqui fra italiani e stranieri con la presenza di un coordinatore,sancire
2026,2026,"Come si descrive come consumatore di sostanze legali (ad esempio alcol, psicofarmaci)?",DESCRIZIONE,058) ci_sono orientano verso_questo,DERESPONSABILIZZAZIONE
5433,5433,Come ti descriveresti prima di entrare in carcere?,DESCRIZIONE,"si sono attuati incontri per informare i docenti su diversi aspetti delle 
problematiche presenti all_interno_della struttura carceraria 
",DESCRIZIONE
5259,5259,Come ti descriveresti prima di entrare in carcere?,DESCRIZIONE,sono da_poco qui in_questo_paese e non_so la sua legge soffrivo perché_non ne casa ne un_entrata mensile sono_arrivato a modena per il_lavoro perché ho sentito che c' era un_lavoro senza_documenti,DESCRIZIONE
1163,1163,"Se la risposta data alla risposta precedente è per nulla efficaci/poco efficaci 0 efficaci/molto efficaci, ci potrebbe indicare le ragioni della sua scelta?",VALUTAZIONE,perché vi è una diversità di culture e che gli stranieri sanno di non poter accedere alle m. a. d. in_quanto_ il più_delle volte_sono irregolari e non_hanno casa o lavoro all_esterno. ,GIUDIZIO
7320,7320,Come ti descriveresti prima di entrare in carcere?,DESCRIZIONE,"ero_una_ragazza allegra , piena_voglia_vivere .",DESCRIZIONE
2620,2620,Come descriverebbe una persona che “gode di salute”?,DESCRIZIONE,persona che tiene al proprio corpo,GIUDIZIO
2765,2765,Come descriverebbe una persona che “gode di salute”?,DESCRIZIONE,"Una persona che sente soddisfatti i bisogni in rapporto a tali disagi bisogni: di cura, di ascolto, di scelta, di espressione personale, di benessere",GIUDIZIO
3121,3121,Come descriverebbe una persona che “gode di salute”?,DESCRIZIONE,"stabilire rapporti
avere interessi
desiderio di conoscere cose nuove
discutere i problemi e riconoscere le proprie difficoltà e i propri limiti per facilitare i rapporti con gli altri",sancire
812,812,Come descriverebbe le opportunità di trattamento rieducativo a cui può accedere in quanto persona deternuta?,DESCRIZIONE,capitache spesso vengono rigettati i possibili benefici richiesti logi camente in molti isttuti manca la condizione con l' esterno o lo stesso e valutata con difficoltà le lungaggioni buricratiche talvolta arrecano vari danni tangibili,GIUDIZIO
4514,4514,"Se la risposta data alla domanda precedente è per nulla efficaci/poco efficaci o efficaci/molto efficaci, ci potrebbe indicare le ragioni della sua scelta?",VALUTAZIONE,"perch‚ tanti hanno_bisogno anche di_parlare
che sia anche bravo ad ascoltare non_solo per_passare_il_tempo e per chiudergli la
bocca quando uno chiede di_avere un po' di
sostegno morale

",GIUDIZIO
4657,4657,"Se la risposta data alla domanda precedente è per nulla efficaci/poco efficaci o efficaci/molto efficaci, ci potrebbe indicare le ragioni della sua scelta?",VALUTAZIONE,"la mia_scelta ha un significato il rapporto
tra gli italiani e noi Š di odio
",DESCRIZIONE
4020,4020,"In quanto persona straniera detenuta, come pensa che un operatore dell’area socio-sanitaria di sesso diverso dal suo la descriverebbe?",DESCRIZIONE,non-m-interessa,NON RISPOSTA
3050,3050,Come descriverebbe una persona che “gode di salute”?,DESCRIZIONE,che può alzarsi ogni mattina dal proprio letto,DESCRIZIONE
987,987,Se dovesse stabilire dei criteri per valutare la qualità di ciò che può offrire un istituto di pena quali elementi prenderebbe in considerazione?,DESCRIZIONE,"uno dei punti principali Š il luogo dove vivono questi signori, corsi di istruzione, attivit… di vario livello",sancire
6728,6728,"Secondo lei, quali altre iniziative
potrebbero facilitare l’integrazione fra la popolazione detenuta italiana e straniera?",OPINIONE,io penso_che più passano gli anni e più si andrà d_accordo tra razze diverse io penso_che al confronto negli_anni_passati si stia facendo il possibile per la pari integrazione,OPINIONE
433,433,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,DESCRIZIONE,certe le-ho-viste,DESCRIZIONE
7422,7422,Come ti descriveresti prima di entrare in carcere?,DESCRIZIONE,vivevo in jugoslavia e sono qui per vedere i miei_figli e nipoti,sancire
5013,5013,Immagini di essere stato trasferito in un nuovo Istituto di pena. Dopo alcuni giorni dal suo arrivo pensa: “la popolazione detenuta italiana e straniera di questo Istituto è integrata”. Che cosa le permette di pensarlo?,DESCRIZIONE,i rapporti che si sono ed il modo come vengono trattato,DESCRIZIONE
6678,6678,"Secondo lei, quali altre iniziative
potrebbero facilitare l’integrazione fra la popolazione detenuta italiana e straniera?",OPINIONE,facilitando lo scambio_culturale attraverso iniziative che io non_ho mai visto,COMMENTO
231,231,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,DESCRIZIONE,tr-amici,GENERALIZZAZIONE
4874,4874,Immagini di essere stato trasferito in un nuovo Istituto di pena. Dopo alcuni giorni dal suo arrivo pensa: “la popolazione detenuta italiana e straniera di questo Istituto è integrata”. Che cosa le permette di pensarlo?,DESCRIZIONE,"che ci si allontana dalla famiglia senza avere notizie e senza sapere niente, senza conoscere qualcuno ",NON RISPOSTA
5794,5794,Quali sono le azioni che vengono intraprese per la presa in carico della persona straniera detenuta tenendo anche in considerazione l’attività svolta dai ser.t?,DESCRIZIONE,riferiscono di segnarsi_sert per poter accedere a qualche misura_alternativa,COMMENTO
1123,1123,"Se dovesse stabilire dei criteri per valutare la qualità di ciò che può offrire un istituto di pena, quali elementi prenderebbe in considerazione",VALUTAZIONE,lavoro,sancire
3453,3453,Come descriverebbe una persona che ha commesso lo stesso reato che è stato imputato anche a lei?,DESCRIZIONE,ma non sa che prima o poi finità qui,sancire
5541,5541,"Per sviluppare le competenze che il suo ruolo richiede, in che modo l’Amministrazione Penitenziaria fornisce occasioni che reputa efficaci rispetto agli obiettivi e alle competenze previste dal suo ruolo?",DESCRIZIONE,"mancano corsi specifici offerti dal dipartimento amministrazione 
penitenziaria, tutto, o quasi, e lasciato alla volonta ed al totale carico 
economico del singolo operatore 
",DESCRIZIONE
3868,3868,"In quanto persona straniera detenuta, come pensa che un operatore dell’area socio-sanitaria di sesso diverso dal suo la descriverebbe?",DESCRIZIONE,non-so-come-sono i Maschi-italiani,COMMENTO
330,330,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,DESCRIZIONE,chied-ai-prepost,DESCRIZIONE
6949,6949,"Secondo lei, quali altre iniziative
potrebbero facilitare l’integrazione fra la popolazione detenuta italiana e straniera?",OPINIONE,nessuna,sancire
1451,1451,"Se dovesse stabilire dei criteri per valutare la qualità di ciò che può offrire un Istituto di pena, quali elementi prenderebbe in considerazione ?",VALUTAZIONE,cibo,GIUDIZIO
6312,6312,Come ti descriverai una volta uscito dal carcere?,DESCRIZIONE,cerco_un_lavoro onesto per mia_vita,GENERALIZZAZIONE
7131,7131,Come ti descriveresti prima di entrare in carcere?,DESCRIZIONE,facevo_una_vita,GENERALIZZAZIONE
5930,5930,Quali sono le azioni che vengono intraprese per la presa in carico della persona straniera detenuta tenendo anche in considerazione l’attività svolta dai ser.t?,DESCRIZIONE,"le_stesse che per la persona_italiana : 
1 apertura_cartella 
2 disintossicazione 
3 anamnesi e consulenza legale 
4 psicotera_sost 
5 progetto terapeutico o di reinserimento 
",DESCRIZIONE
6955,6955,"Secondo lei, quali altre iniziative
potrebbero facilitare l’integrazione fra la popolazione detenuta italiana e straniera?",OPINIONE,non_so,NON RISPOSTA
391,391,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,DESCRIZIONE,non-so,sancire
2672,2672,Come descriverebbe una persona che “gode di salute”?,DESCRIZIONE,"una persona libera, serena e in pace se stessa",GIUDIZIO
3126,3126,Come descriverebbe una persona che “gode di salute”?,DESCRIZIONE,"stare bene fisicamente e nella mente, una che non è detenuta",sancire
345,345,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,DESCRIZIONE,dall-educ e,DESCRIZIONE
5552,5552,"Per sviluppare le competenze che il suo ruolo richiede, in che modo l’Amministrazione Penitenziaria fornisce occasioni che reputa efficaci rispetto agli obiettivi e alle competenze previste dal suo ruolo?",DESCRIZIONE,essendo io volontaria io posso fare una attenzione umana ma null' altro,COMMENTO
4044,4044,"In quanto persona straniera detenuta, come pensa che un operatore dell’area socio-sanitaria di sesso diverso dal suo la descriverebbe?",DESCRIZIONE,mi-considera meglio-d-1-donna,sancire
1100,1100,"Se dovesse stabilire dei criteri per valutare la qualità di ciò che può offrire un istituto di pena, quali elementi prenderebbe in considerazione",VALUTAZIONE,"la cella tutta la sua_strutturazione 
i pavimenti 
l' igiene generale 
lavoro 
sovraffollamento",sancire
4720,4720,"Se la risposta data alla domanda precedente è per nulla efficaci/poco efficaci o efficaci/molto efficaci, ci potrebbe indicare le ragioni della sua scelta?",VALUTAZIONE,"ho detto molto_efficaci . prima ci_vuole l'
inserimento tra le mura deve ottenere una
buona
osservazione psicologica nell' istituto
",GENERALIZZAZIONE
5521,5521,"Per sviluppare le competenze che il suo ruolo richiede, in che modo l’Amministrazione Penitenziaria fornisce occasioni che reputa efficaci rispetto agli obiettivi e alle competenze previste dal suo ruolo?",DESCRIZIONE,liberta di agire,GENERALIZZAZIONE
3589,3589,Come descriverebbe una persona che ha commesso lo stesso reato che è stato imputato anche a lei?,DESCRIZIONE,una persona abituale purtroppo,GIUDIZIO
1365,1365,"Se dovesse stabilire dei criteri per valutare la qualità di ciò che può offrire un Istituto di pena, quali elementi prenderebbe in considerazione ?",VALUTAZIONE,"quello che riguarda il 
mangiare si mangia bene",sancire
7019,7019,"Secondo lei, quali altre iniziative
potrebbero facilitare l’integrazione fra la popolazione detenuta italiana e straniera?",OPINIONE,"ci dovrebbero stare insieme più tempo, ci devono aprire di_più le celle, così possiamo parlare con loro",PRESCRIZIONE
7376,7376,Come ti descriveresti prima di entrare in carcere?,DESCRIZIONE,ho_sempre_lavorato e guadagnato grazie_al mio_lavoro,sancire
5785,5785,come descriverebbe le opportunità di trattamento rieducativo a cui può accedere in quanto persona detenuta?,DESCRIZIONE,"il concetto Š_buono , ma ! sempre si_pu• di_pi—",CONTRAPPOSIZIONE
5318,5318,Come ti descriveresti prima di entrare in carcere?,DESCRIZIONE,molto sicuro di_me_stesso ma la_verità_è_che mi sbagliavo,VALUTAZIONE
1465,1465,"Se dovesse stabilire dei criteri per valutare la qualità di ciò che può offrire un Istituto di pena, quali elementi prenderebbe in considerazione ?",VALUTAZIONE,nessuna,GIUDIZIO
158,158,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,DESCRIZIONE,"me-lo-ha-detto mio-marito c
",DESCRIZIONE
6704,6704,"Secondo lei, quali altre iniziative
potrebbero facilitare l’integrazione fra la popolazione detenuta italiana e straniera?",OPINIONE,"perché ciò avvenga in un sistema carcerario deve esserci un maggior scambio di culture, ripeto, sostenuto da assistenti e psicologi",COMMENTO
2626,2626,Come descriverebbe una persona che “gode di salute”?,DESCRIZIONE,"oltre no patologie invalidanti una buona condizione del tono umore, predisposizione alla collaborazione ed al dialogo con operatori ed altri detenuti, adesione ai programmi ed intrattenimento positivo/propositivo",sancire
630,630,"Come si descrive come consumatore di sostanze legali (ad esempio alcol, psicofarmaci)?",DESCRIZIONE,non ne faccio uso,sancire
6137,6137,Quali sono le azioni che vengono intraprese per la presa in carico della persona straniera detenuta tenendo anche in considerazione l’attività svolta dai ser.t?,DESCRIZIONE,"dopo l' effettuazione della visita_medica ed il colloq_pr_ingr , i detenuti_tosdip vengono segnalati_sert per un eventuale progr_riab",DESCRIZIONE
2814,2814,Come descriverebbe una persona che “gode di salute”?,DESCRIZIONE,"serena, ben nutrita, energica",GIUDIZIO
385,385,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,DESCRIZIONE,solo a facilit-la-detenz per-se e per-propria-famig,CONTRAPPOSIZIONE
3882,3882,"In quanto persona straniera detenuta, come pensa che un operatore dell’area socio-sanitaria di sesso diverso dal suo la descriverebbe?",DESCRIZIONE,1-persona-cattiva,GIUDIZIO
2129,2129,"Come si descrive come consumatore di sostanze legali (ad esempio alcol, psicofarmaci)?",DESCRIZIONE,qualche_volta cannabis,SPECIFICAZIONE
7447,7447,Come ti descriveresti prima di entrare in carcere?,DESCRIZIONE,"stavo_bene , lavoravo come_muratore , abitavo con mio_fratello e mia_sorella",sancire
4144,4144,"In quanto persona straniera detenuta, come pensa che un operatore dell’area socio-sanitaria di sesso diverso dal suo la descriverebbe?",DESCRIZIONE,come-tutti-gli-altri,sancire
29,29,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,DESCRIZIONE,"e tutti qui-in-prig dicono che x-stran-e-imposs

",DERESPONSABILIZZAZIONE
2926,2926,Come descriverebbe una persona che “gode di salute”?,DESCRIZIONE,"una persona, strutturata, non meccanismi difesa,",sancire
6974,6974,"Secondo lei, quali altre iniziative
potrebbero facilitare l’integrazione fra la popolazione detenuta italiana e straniera?",OPINIONE,provare ad educare gli stranieri con le nostre culture,POSSIBILITÀ
6387,6387,Come ti descriverai una volta uscito dal carcere?,DESCRIZIONE,sarò_più_felice perché mi_troverò accanto ai miei_figli .,CAUSA
4835,4835,Immagini di essere stato trasferito in un nuovo Istituto di pena. Dopo alcuni giorni dal suo arrivo pensa: “la popolazione detenuta italiana e straniera di questo Istituto è integrata”. Che cosa le permette di pensarlo?,DESCRIZIONE,parlare e confidarsi ,GENERALIZZAZIONE
5017,5017,Immagini di essere stato trasferito in un nuovo Istituto di pena. Dopo alcuni giorni dal suo arrivo pensa: “la popolazione detenuta italiana e straniera di questo Istituto è integrata”. Che cosa le permette di pensarlo?,DESCRIZIONE,è un pensiero che dipende da_carcere_a_carcere,COMMENTO
6354,6354,Come ti descriverai una volta uscito dal carcere?,DESCRIZIONE,pensare alla mia_famiglia,DICHIARAZIONE DI INTENTI
5938,5938,Quali sono le azioni che vengono intraprese per la presa in carico della persona straniera detenuta tenendo anche in considerazione l’attività svolta dai ser.t?,DESCRIZIONE,metadone e psicofarmaci,DESCRIZIONE
5193,5193,Immagini di essere stato trasferito in un nuovo Istituto di pena. Dopo alcuni giorni dal suo arrivo pensa: “la popolazione detenuta italiana e straniera di questo Istituto è integrata”. Che cosa le permette di pensarlo?,DESCRIZIONE,stando nell' istituto in_cui ti trovi e venendo trasferito ad un altro_che trovi persone tutte straniere in_cui non trovi dialogo su_tutto inoltre non sai se sono persone che abbiano problemi di salute,COMMENTO
2055,2055,"Come si descrive come consumatore di sostanze legali (ad esempio alcol, psicofarmaci)?",DESCRIZIONE,093) uomo incompleto,GIUDIZIO
67,67,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,DESCRIZIONE,"ho-conosciuto delle-opport di trat-rieduc dalla-massmedia, dall-istituto",DESCRIZIONE
5168,5168,Immagini di essere stato trasferito in un nuovo Istituto di pena. Dopo alcuni giorni dal suo arrivo pensa: “la popolazione detenuta italiana e straniera di questo Istituto è integrata”. Che cosa le permette di pensarlo?,DESCRIZIONE,il vedere che non_sono riunite in_gruppo ma sono mescolate con altre razze e culture,CONTRAPPOSIZIONE
837,837,Come descriverebbe le opportunità di trattamento rieducativo a cui può accedere in quanto persona deternuta?,DESCRIZIONE,pessimo,GIUDIZIO
3537,3537,Come descriverebbe una persona che ha commesso lo stesso reato che è stato imputato anche a lei?,DESCRIZIONE,chi ha sbagliato essere punito e non deve ripetere l'errore un'altra volta,PRESCRIZIONE
