,TESTO DELLA DOMANDA,REPERTORIO DELLA DOMANDA,STRALCIO,DENOMINAZIONE SENIOR,DENOMINAZIONE JUNIOR
5361,Come ti descriveresti prima di entrare in carcere?,DESCRIZIONE,mettendo in_difficolta lo svolgimento delle attivita,IMPLICAZIONI,IMPLICAZIONI
3761,Come descriverebbe una persona che ha commesso lo stesso reato che è stato imputato anche a lei?,DESCRIZIONE,descrivo la persona lo stesso reato ha sbagliato,sancire,sancire
4393,"Se la risposta data alla domanda precedente è per nulla efficaci/poco efficaci o efficaci/molto efficaci, ci potrebbe indicare le ragioni della sua scelta?",VALUTAZIONE,"perch‚ quando finisce la pena non trovo
nulla che mi fa stare tranquillo oppure
bene
",PREVISIONE,PREVISIONE
5556,"Per sviluppare le competenze che il suo ruolo richiede, in che modo l’Amministrazione Penitenziaria fornisce occasioni che reputa efficaci rispetto agli obiettivi e alle competenze previste dal suo ruolo?",DESCRIZIONE,mancanza_di_corsi adeguati.,DESCRIZIONE,VALUTAZIONE
2165,"Come si descrive come consumatore di sostanze legali (ad esempio alcol, psicofarmaci)?",DESCRIZIONE,non lo so,NON RISPOSTA,COMMENTO
691,Come descriverebbe le opportunità di trattamento rieducativo a cui può accedere in quanto persona deternuta?,DESCRIZIONE,comunque come corsi interni va abbastanza bene,GIUDIZIO,GIUDIZIO
1696,"Se dovesse stabilire dei criteri per valutare la qualità di ciò che può offrire un Istituto di pena, quali elementi prenderebbe in considerazione ?",VALUTAZIONE,"bisogna che: 
ci permettano di stare più_a_lungo in aria_aperta 
che ci_sia_più rispetto verso di_noi 
che ci sia una_palestra 
che ci_diano lavoro",GIUDIZIO,PRESCRIZIONE
7483,Come ti descriveresti prima di entrare in carcere?,DESCRIZIONE,una_persona che non_pensava a quello_che_faceva,GENERALIZZAZIONE,GENERALIZZAZIONE
224,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,DESCRIZIONE,(4) xche-faccio-sport;,DESCRIZIONE,CAUSA
6055,Quali sono le azioni che vengono intraprese per la presa in carico della persona straniera detenuta tenendo anche in considerazione l’attività svolta dai ser.t?,DESCRIZIONE,"verifica_tossdip 
predisp_progetto ( intramurario , domiciliare o comunitario ) 
",DESCRIZIONE,sancire
2898,Come descriverebbe una persona che “gode di salute”?,DESCRIZIONE,"molto espansiva, collaborativa",GIUDIZIO,GIUDIZIO
2528,Come descriverebbe una persona che è stata condannata per lo stesso reato che è stato imputato anche a lei?,DESCRIZIONE,"----092 
ci_sono condannato aver fatto nintema gli hanno_condannato",CONTRAPPOSIZIONE,CONTRAPPOSIZIONE
493,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,DESCRIZIONE,"le attiv-trattam-rieduc sono adatte alla vita-del-carc 
",GIUDIZIO,COMMENTO
743,Come descriverebbe le opportunità di trattamento rieducativo a cui può accedere in quanto persona deternuta?,DESCRIZIONE,(disumano),COMMENTO,COMMENTO
2475,"Come si descrive come consumatore di sostanze legali (ad esempio alcol, psicofarmaci)?",DESCRIZIONE,ogni_tanto un_po'_di marjiuana non_fa_male,COMMENTO,COMMENTO
707,Come descriverebbe le opportunità di trattamento rieducativo a cui può accedere in quanto persona deternuta?,DESCRIZIONE,"non ci sono'dentro n' fuori dato che ti buttano fuori non certo "" rieducata"" ma macchiata a vista nonostante una persona s' impegni a rientare in societa",sancire,CONFERMA
6184,Quali sono le azioni che vengono intraprese per la presa in carico della persona straniera detenuta tenendo anche in considerazione l’attività svolta dai ser.t?,DESCRIZIONE,colloqui_con_assist ; psicologo ; educatori ; ( qualora necessario con psichiatra ) ; con operatori_sert equivalenti; con personale dirig_carcere,DESCRIZIONE,sancire
5835,Quali sono le azioni che vengono intraprese per la presa in carico della persona straniera detenuta tenendo anche in considerazione l’attività svolta dai ser.t?,DESCRIZIONE,distrib_metadone,sancire,sancire
759,Come descriverebbe le opportunità di trattamento rieducativo a cui può accedere in quanto persona deternuta?,DESCRIZIONE,buone,CONTRAPPOSIZIONE,GIUDIZIO
3045,Come descriverebbe una persona che “gode di salute”?,DESCRIZIONE,tranquilla con obiettivi,GIUDIZIO,GIUDIZIO
149,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,DESCRIZIONE,ho-conosc-info dalla completa-esp che ho-av all-est-della prigione e dagli studi-completi che ho-fatto,DESCRIZIONE,DESCRIZIONE
943,Se dovesse stabilire dei criteri per valutare la qualità di ciò che può offrire un istituto di pena quali elementi prenderebbe in considerazione?,DESCRIZIONE,modalit… di svolgimento dei colloqui con i familiari,sancire,DESCRIZIONE
2826,Come descriverebbe una persona che “gode di salute”?,DESCRIZIONE,attiva e partecipe,GIUDIZIO,GIUDIZIO
5356,Come ti descriveresti prima di entrare in carcere?,DESCRIZIONE,"non_ho avuto occasione di poter frequentare_corsi che mi 
permetterebbero di_migliorare_le_mie_competenze professionali 
",DESCRIZIONE,CONFERMA
3382,Come descriverebbe una persona che ha commesso lo stesso reato che è stato imputato anche a lei?,DESCRIZIONE,"non lo so, ma penso che sbagliando una seconda volta sarei stupido e senza cervello",GENERALIZZAZIONE,GENERALIZZAZIONE
256,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,DESCRIZIONE,attr i resp e gli avvisi,DESCRIZIONE,DESCRIZIONE
3895,"In quanto persona straniera detenuta, come pensa che un operatore dell’area socio-sanitaria di sesso diverso dal suo la descriverebbe?",DESCRIZIONE,"non-c-E-ness-differ tra arabo e occidentale solo la fede 
",COMMENTO,COMMENTO
7125,Come ti descriveresti prima di entrare in carcere?,DESCRIZIONE,""" normale """,DESCRIZIONE,GIUDIZIO
2421,"Come si descrive come consumatore di sostanze legali (ad esempio alcol, psicofarmaci)?",DESCRIZIONE,tutto sballato,sancire,sancire
107,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,DESCRIZIONE,"xche-lo-so che queste-cose in-carc 
",COMMENTO,sancire
6451,Come si descriverebbe come persona straniera detenuta,DESCRIZIONE,non_mi_sento vivere in questo mondo come_resto_gente,sancire,sancire
2371,"Come si descrive come consumatore di sostanze legali (ad esempio alcol, psicofarmaci)?",DESCRIZIONE,la_descrivo che_aiuta la persona a ridere e al dimenticare,COMMENTO,sancire
4495,"Se la risposta data alla domanda precedente è per nulla efficaci/poco efficaci o efficaci/molto efficaci, ci potrebbe indicare le ragioni della sua scelta?",VALUTAZIONE,no perch‚ soffro,sancire,COMMENTO
2522,Come descriverebbe una persona che è stata condannata per lo stesso reato che è stato imputato anche a lei?,DESCRIZIONE,"----087 
non_Š_buono,",GIUDIZIO,GIUDIZIO
2685,Come descriverebbe una persona che “gode di salute”?,DESCRIZIONE,buona,GIUDIZIO,GIUDIZIO
5111,Immagini di essere stato trasferito in un nuovo Istituto di pena. Dopo alcuni giorni dal suo arrivo pensa: “la popolazione detenuta italiana e straniera di questo Istituto è integrata”. Che cosa le permette di pensarlo?,DESCRIZIONE,la forte familiarità tra_detenuti italiani_e_stranieri,GIUDIZIO,GIUDIZIO
2013,"Come si descrive come consumatore di sostanze legali (ad esempio alcol, psicofarmaci)?",DESCRIZIONE,"044) superiore_a_tutti, offensivo, credo che nessuno mi può toccare, sono aggressivo",GIUDIZIO,DESCRIZIONE
3501,Come descriverebbe una persona che ha commesso lo stesso reato che è stato imputato anche a lei?,DESCRIZIONE,e che solo dio opera su di lei,sancire,sancire
3312,Come descriverebbe una persona che ha commesso lo stesso reato che è stato imputato anche a lei?,DESCRIZIONE,"normale dal punto di vista mentale,",GIUDIZIO,GIUDIZIO
4835,Immagini di essere stato trasferito in un nuovo Istituto di pena. Dopo alcuni giorni dal suo arrivo pensa: “la popolazione detenuta italiana e straniera di questo Istituto è integrata”. Che cosa le permette di pensarlo?,DESCRIZIONE,parlare e confidarsi ,GENERALIZZAZIONE,GENERALIZZAZIONE
5412,Come ti descriveresti prima di entrare in carcere?,DESCRIZIONE,"ad_esempio di ha dato l' autorizzazione ad uscire e visitare una stazione 
elettrica con gli studenti dell' alta sicurezza mettendo in_essere tutte le 
azioni atte a consentirlo, anche in_termini_di sicurezza 
",GENERALIZZAZIONE,GENERALIZZAZIONE
5358,Come ti descriveresti prima di entrare in carcere?,DESCRIZIONE,"noi medici avremmo diritto a fare dei corsi educazione continua in 
medicina pagati dall' amministrazione penitenziaria 
",COMMENTO,GENERALIZZAZIONE
2597,Come descriverebbe una persona che “gode di salute”?,DESCRIZIONE,"che quando l'incontro non si lamenta del medico e della sua fruibilità, ma di un piccolo dolore che chiarirà e curerà in settimana",CONTRAPPOSIZIONE,CONTRAPPOSIZIONE
1975,Come descriverebbe una persona che è stata condannata per lo stesso reato che è stato imputato anche a lei?,DESCRIZIONE,"----039 
deve_avere un po' di pazienza",PRESCRIZIONE,PRESCRIZIONE
5876,Quali sono le azioni che vengono intraprese per la presa in carico della persona straniera detenuta tenendo anche in considerazione l’attività svolta dai ser.t?,DESCRIZIONE,"affidamento 
affidamento per tossicodip 
",DESCRIZIONE,sancire
1799,"Se dovesse stabilire dei criteri per valutare la qualità di ciò che può offrire un Istituto di pena, quali elementi prenderebbe in considerazione ?",VALUTAZIONE,"attività 
lavori",GENERALIZZAZIONE,GENERALIZZAZIONE
6700,"Secondo lei, quali altre iniziative
potrebbero facilitare l’integrazione fra la popolazione detenuta italiana e straniera?",OPINIONE,l' educazione esterna,GENERALIZZAZIONE,GENERALIZZAZIONE
216,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,DESCRIZIONE,dialogando con la poliz-penit,DESCRIZIONE,DESCRIZIONE
4024,"In quanto persona straniera detenuta, come pensa che un operatore dell’area socio-sanitaria di sesso diverso dal suo la descriverebbe?",DESCRIZIONE,non-so,NON RISPOSTA,NON RISPOSTA
6609,"Secondo lei, quali altre iniziative
potrebbero facilitare l’integrazione fra la popolazione detenuta italiana e straniera?",OPINIONE,socialità tra detenute,GENERALIZZAZIONE,GENERALIZZAZIONE
4410,"Se la risposta data alla domanda precedente è per nulla efficaci/poco efficaci o efficaci/molto efficaci, ci potrebbe indicare le ragioni della sua scelta?",VALUTAZIONE,"prima_di tutto il tratt_rieducativo
a_livello psicologico , allontana lo stress
e i brutti
pensieri che causano malintesi ecc
",CAUSA,CAUSA
7177,Come ti descriveresti prima di entrare in carcere?,DESCRIZIONE,io non_avevo idea perché è la_prima_volta ma è stata bruttissima,NON RISPOSTA,NON RISPOSTA
7089,Come ti descriveresti prima di entrare in carcere?,DESCRIZIONE,"non_pensavo di_entrare in_carcere , non c' era da mangiare , dabere , da vestirsi , dovevo fare_qualcosa . andavo da una_persona a chiedere cibo . bisogna fare_qualcosa",PRESCRIZIONE,PRESCRIZIONE
1885,Come descriverebbe le opportunità di trattamento rieducativo a cui può accedere una persona Detenuta?,DESCRIZIONE,"da arricchire, da incentivare la programmazione e la riflessione su cio che si_propone per evitare interventi incoerenti e non troppo utili",IMPLICAZIONI,IMPLICAZIONI
7356,Come ti descriveresti prima di entrare in carcere?,DESCRIZIONE,una_persona persa che non_sapeva,sancire,sancire
3433,Come descriverebbe una persona che ha commesso lo stesso reato che è stato imputato anche a lei?,DESCRIZIONE,come una persona che ha commesso dovuto all'ambiente sociale che frequenta,GIUSTIFICAZIONE,GIUSTIFICAZIONE
6491,"Secondo lei, quali altre iniziative
potrebbero facilitare l’integrazione fra la popolazione detenuta italiana e straniera?",OPINIONE,"usufruendo di spazi più grandi, di avere socializzazioni più frequenti",GIUDIZIO,GIUDIZIO
5454,"Per sviluppare le competenze che il suo ruolo richiede, in che modo l’Amministrazione Penitenziaria fornisce occasioni che reputa efficaci rispetto agli obiettivi e alle competenze previste dal suo ruolo?",DESCRIZIONE,"il personale e considerato unita e 
non persona",COMMENTO,COMMENTO
236,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,DESCRIZIONE,"comp-di-cella, pers-deten",DESCRIZIONE,DESCRIZIONE
1934,Come descriverebbe le opportunità di trattamento rieducativo a cui può accedere una persona Detenuta?,DESCRIZIONE,scarse o poco efficaci,GIUDIZIO,GIUDIZIO
1155,"Se la risposta data alla risposta precedente è per nulla efficaci/poco efficaci 0 efficaci/molto efficaci, ci potrebbe indicare le ragioni della sua scelta?",VALUTAZIONE,dipende dal_tipo_di persona_detenuta ,NON RISPOSTA,GENERALIZZAZIONE
3475,Come descriverebbe una persona che ha commesso lo stesso reato che è stato imputato anche a lei?,DESCRIZIONE,lo vedo normale,GIUDIZIO,GIUDIZIO
4575,"Se la risposta data alla domanda precedente è per nulla efficaci/poco efficaci o efficaci/molto efficaci, ci potrebbe indicare le ragioni della sua scelta?",VALUTAZIONE,per_nulla efficaci,CONFERMA,NON RISPOSTA
7324,Come ti descriveresti prima di entrare in carcere?,DESCRIZIONE,"disperato , sono_stato_fregato",GIUSTIFICAZIONE,sancire
4339,"Se la risposta data alla domanda precedente è per nulla efficaci/poco efficaci o efficaci/molto efficaci, ci potrebbe indicare le ragioni della sua scelta?",VALUTAZIONE,che mi_serve per tirarmi su,DESCRIZIONE,GIUDIZIO
1143,"Se la risposta data alla risposta precedente è per nulla efficaci/poco efficaci 0 efficaci/molto efficaci, ci potrebbe indicare le ragioni della sua scelta?",VALUTAZIONE,per_me il detenuto o la maggior_parte_dei_detenuti non_vogliono essere rieducati ,COMMENTO,OPINIONE
4975,Immagini di essere stato trasferito in un nuovo Istituto di pena. Dopo alcuni giorni dal suo arrivo pensa: “la popolazione detenuta italiana e straniera di questo Istituto è integrata”. Che cosa le permette di pensarlo?,DESCRIZIONE,"non sono stato trasferito, quindi non so dire",GIUSTIFICAZIONE,NON RISPOSTA
857,Come descriverebbe le opportunità di trattamento rieducativo a cui può accedere in quanto persona deternuta?,DESCRIZIONE,aiutano a trascorrere il tempo in modo costruttivo,GIUDIZIO,SPECIFICAZIONE
7105,Come ti descriveresti prima di entrare in carcere?,DESCRIZIONE,che era una_persona controllo,DESCRIZIONE,GIUDIZIO
2540,Come descriverebbe una persona che è stata condannata per lo stesso reato che è stato imputato anche a lei?,DESCRIZIONE,sbagliare_Š_umano perseverare_Š_diabolico,COMMENTO,COMMENTO
245,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,DESCRIZIONE,dalle pers-erano-in-carc.,PRESCRIZIONE,DESCRIZIONE
3499,Come descriverebbe una persona che ha commesso lo stesso reato che è stato imputato anche a lei?,DESCRIZIONE,"una persona come me, ma con sentimenti e con desiderio di dare ai suoi figli ciò che non ha avuto.",CONTRAPPOSIZIONE,CONTRAPPOSIZIONE
1594,"Se dovesse stabilire dei criteri per valutare la qualità di ciò che può offrire un Istituto di pena, quali elementi prenderebbe in considerazione ?",VALUTAZIONE,"scuola, lavoro",GIUDIZIO,DESCRIZIONE
4991,Immagini di essere stato trasferito in un nuovo Istituto di pena. Dopo alcuni giorni dal suo arrivo pensa: “la popolazione detenuta italiana e straniera di questo Istituto è integrata”. Che cosa le permette di pensarlo?,DESCRIZIONE,"già con il fatto che le suore distribuiscono dei vestiti ad entrambe, italiane e straniere nello stesso egual modo",SPECIFICAZIONE,IMPLICAZIONI
6711,"Secondo lei, quali altre iniziative
potrebbero facilitare l’integrazione fra la popolazione detenuta italiana e straniera?",OPINIONE,non_è_possibile nulla,sancire,sancire
4031,"In quanto persona straniera detenuta, come pensa che un operatore dell’area socio-sanitaria di sesso diverso dal suo la descriverebbe?",DESCRIZIONE,normale,GIUDIZIO,sancire
3876,"In quanto persona straniera detenuta, come pensa che un operatore dell’area socio-sanitaria di sesso diverso dal suo la descriverebbe?",DESCRIZIONE,non-lo-so,NON RISPOSTA,NON RISPOSTA
11,Come descriverebbe un trattamento efficace?,DESCRIZIONE,utile_per_la_popolaz detenuta,GIUDIZIO,GENERALIZZAZIONE
5406,Come ti descriveresti prima di entrare in carcere?,DESCRIZIONE,"vi sono normative e decreti legge che tendono alla rieducazione e al 
reiserimento di soggetti non rispettosi della legge 
",COMMENTO,COMMENTO
4757,"Se la risposta data alla domanda precedente è per nulla efficaci/poco efficaci o efficaci/molto efficaci, ci potrebbe indicare le ragioni della sua scelta?",VALUTAZIONE,forse ti_fa_ripensare,POSSIBILITÀ,POSSIBILITÀ
6152,Quali sono le azioni che vengono intraprese per la presa in carico della persona straniera detenuta tenendo anche in considerazione l’attività svolta dai ser.t?,DESCRIZIONE,dare_metad ai detenuti già seguiti dal sert,DESCRIZIONE,sancire
7357,Come ti descriveresti prima di entrare in carcere?,DESCRIZIONE,mi_descrivo libero e pentito per gli sbagli,sancire,sancire
2373,"Come si descrive come consumatore di sostanze legali (ad esempio alcol, psicofarmaci)?",DESCRIZIONE,la persona che consuma l' eroina è una_persona che non_esiste nella vita,sancire,sancire
1969,Come descriverebbe una persona che è stata condannata per lo stesso reato che è stato imputato anche a lei?,DESCRIZIONE,"----025 
che ha_perso la famiglia il paese d' origine, parenti e amici",sancire,DESCRIZIONE
228,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,DESCRIZIONE,abbo-semp-av-dialog con il resp-dell-istit,sancire,sancire
905,Se dovesse stabilire dei criteri per valutare la qualità di ciò che può offrire un istituto di pena quali elementi prenderebbe in considerazione?,DESCRIZIONE,possi_attivit…_lavora; possi_spazio_celle; possi_sale_comune_; ,DESCRIZIONE,COMMENTO
7022,"Secondo lei, quali altre iniziative
potrebbero facilitare l’integrazione fra la popolazione detenuta italiana e straniera?",OPINIONE,"ogni individuo ha il diritto di credere e vivere come vuole e quindi non permettere agli stranieri senza permesso_di_soggiorno di rimanere in italia,",COMMENTO,COMMENTO
6107,Quali sono le azioni che vengono intraprese per la presa in carico della persona straniera detenuta tenendo anche in considerazione l’attività svolta dai ser.t?,DESCRIZIONE,"osservazione detenuto , colloqui , verif_sul_territ , contatti_servizi e istituzioni e privato_sociale , partecipaz_equipe e diagnosi trattamentale",DESCRIZIONE,sancire
